Dataset,VarID,Code,VarID_Code,CodeDescription,ShortName
Binford,1,NA,1_NA,Missing data,Missing data
Binford,2,NA,2_NA,Missing data,Missing data
Binford,3,NA,3_NA,Missing data,Missing data
Binford,4,NA,4_NA,Missing data,Missing data
Binford,4,1,4_1,Majority of a group's nutritional intake comes from terrestrial animal resources,Hunting
Binford,4,2,4_2,Majority of a group's nutritional intake comes from terrestrial plant resources,Gathering
Binford,4,3,4_3,Majority of a group's nutritional intake comes from aquatic resources,Fishing (aquatic)
Binford,5,NA,5_NA,Missing data,Missing data
Binford,5,1,5_1,"Normal HGF group: at time of contact, subsistence was based exclusively on hunting, gathering and/or fishing. No domesticated resources were exploited, except perhas the dog or plant substance such as tobacco.",Normal
Binford,5,2,5_2,"Suspect: altrough the group may be organized similarly to hunter-gatherer-fishers, some subsistence may come from exchanges with non-HGF groups",Suspect
Binford,6,NA,6_NA,Missing data,Missing data
Binford,7,NA,7_NA,Missing data,Missing data
Binford,8,NA,8_NA,Missing data,Missing data
Binford,9,NA,9_NA,Missing data,Missing data
Binford,9,1,9_1,Group is mobile and moves entire population from camp to camp as they go about the subsistence round,Mobile
Binford,9,2,9_2,Group is completely sedentary or group moves into and out of a central location that is maintained for more than one year,Sedentary
Binford,10,NA,10_NA,Missing data,Missing data
Binford,11,NA,11_NA,Missing data,Missing data
Binford,12,NA,12_NA,Missing data,Missing data
Binford,13,NA,13_NA,Missing data,Missing data
Binford,14,NA,14_NA,Missing data,Missing data
Binford,15,NA,15_NA,Missing data,Missing data
Binford,16,NA,16_NA,Missing data,Missing data
Binford,17,NA,17_NA,Missing data,Missing data
Binford,17,1,17_1,Independent nuclear families with monogamy,"Nuclear, monogamous"
Binford,17,2,17_2,Independent nuclear families with occasional or limited polygyny,"Nuclear, limited polygyny"
Binford,17,3,17_3,Independent polyandrous families,Polyandrous
Binford,17,4,17_4,"Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters ","Polygyny, atypical cowives pattern"
Binford,17,5,17_5,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters) ","Polygyny, typical cowives pattern"
Binford,17,6,17_6,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations",Minimal extended
Binford,17,7,17_7,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",Small extended
Binford,17,8,17_8,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations",Large extended
Binford,18,NA,18_NA,Missing data,Missing data
Binford,18,1,18_1,Monogamous,Monogamous
Binford,18,2,18_2,"Polygynous, with polygyny occasional or limited",Limited polygyny
Binford,18,3,18_3,"Polygynous, with polygyny common and preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, sororal cohabit"
Binford,18,4,18_4,"Polygynous, with polygyny common and preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, sororal separate"
Binford,18,5,18_5,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, non-sororal cohabit"
Binford,18,6,18_6,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, non-sororal separate"
Binford,18,7,18_7,Polyandrous,Polyandrous
Binford,19,NA,19_NA,Missing data,Missing data
Binford,20,NA,20_NA,Missing data,Missing data
Binford,21,NA,21_NA,Missing data,Missing data
Binford,22,NA,22_NA,Missing data,Missing data
Binford,23,NA,23_NA,Missing data,Missing data
Binford,24,NA,24_NA,Missing data,Missing data
Binford,25,NA,25_NA,Missing data,Missing data
Binford,27,NA,27_NA,Missing data,Missing data
Binford,29,NA,29_NA,Missing data,Missing data
Binford,29,1,29_1,"Local autonomy, senior male ""guidance""",Autonomous
Binford,29,2,29_2,"Local autonomy with performance-based leadership, leaders are acknowledged",Local autonomy with leader
Binford,29,3,29_3,Local autonomy with a formal council and a leader who assembles the council and has other group duties,Local autonomy with leader and council
Binford,29,4,29_4,Neighbourhoods of villages/settlements/large camps integrated into an overarching leadership and decision making organization,Regional leaders
Binford,30,NA,30_NA,Missing data,Missing data
Binford,30,1,30_1,Group is autonomous and exists in a matrix of similarly scaled hunter-gatherer systems,"Autonomous, matrix of similar HG groups"
Binford,30,2,30_2,Group is autonomous but is articularted to a socially or politically more complex group of hunter-gatherers,"Autonomous, articulated to more complex HG group(s)"
Binford,30,3,30_3,"Group exists in a culturally heterogeneous region and is articulated to a non-hunter gatherer society, either mutualistically or in a patron-client relationship",Articulated to a non-HG society
Binford,31,NA,31_NA,Missing data,Missing data
Binford,31,1,31_1,Absence of any significant class distinctions,Absence of distinctions
Binford,31,2,31_2,Wealth distinctions only,Wealth distinctions only
Binford,31,3,31_3,Dual stratification into a hereditary aristocracy and a lower class of ordinary people,Dual: hereditary aristocracy and lower class
Binford,32,NA,32_NA,Missing data,Missing data
Binford,32,1,32_1,No special prerogatives,No special prerogatives
Binford,32,2,32_2,"No relief from subsistence and no special dress prerogatives, but messengers as regular assistants",No subsistence relief; some assistants
Binford,32,3,32_3,"No relief from subsistence and only minor dress prerogatives, but both messengers and a talking chief or speaker for the leader",No subsistence relief; some assistants and dress
Binford,32,4,32_4,"Some regular relief from subsistence, in-kind contributions to the leader from the ""people,"" sometimes special roles for the leader's wife",Some subsistence relief
