Dataset,soc_id,SubCase,Year,VarID_Code,VarID,Code,Comment,EthnoReferences,SourceCodedData,AdminComment
Binford,B1,,1970,1_continuous,1,65,,"Avadhani, 1975; Brosius, 1986; Harrison, 1949; Kedit, 1982; Oldrey, 1975; Sellato, 1994; Urquhart, 1951",Binford_2001_Table_5.01,
Binford,B10,,1900,1_continuous,1,65,,"Bailey, 1863; Seligmann and Seligmann, 1911; Skeat and Blagden, 1906; Spittel, 1945",Binford_2001_Table_5.01,
Binford,B100,,NA,1_continuous,1,60,,"Blundell, 1975; Blundell, 1980; Love, 1917; Love, 1936",Binford_2001_Table_5.01,
Binford,B101,,1934,1_continuous,1,60,,"Kaberry, 1939",Binford_2001_Table_5.01,
Binford,B102,,1909,1_continuous,1,35,,"Memmott, 1983a; Memmott, 1983b",Binford_2001_Table_5.01,
Binford,B103,,1928,1_continuous,1,13,,"Tindale, 1962a; Tindale, 1962b",Binford_2001_Table_5.01,
Binford,B104,,NA,1_continuous,1,55,,,Binford_2001_Table_5.01,
Binford,B105,,1900,1_continuous,1,68,,"Birdsell, 1967; Harris, 1978; Harris, 1982; Roth, 1909",Binford_2001_Table_5.01,
Binford,B106,,1910,1_continuous,1,55,,"Clement, 1903; Radcliffe-Brown, 1912",Binford_2001_Table_5.01,
Binford,B107,,1870,1_continuous,1,24,,"Brayshaw, 1990; Lumholtz, 1889",Binford_2001_Table_5.01,
Binford,B108,,1934,1_continuous,1,65,,"Kaberry, 1939; Nind, 1831",Binford_2001_Table_5.01,
Binford,B109,,1965,1_continuous,1,70,,"Abbie, 1957; Meggitt pers. comm., 1973; Meggitt, 1962",Binford_2001_Table_5.01,
Binford,B11,,1972,1_continuous,1,82,,"Morris, 1982a",Binford_2001_Table_5.01,
Binford,B110,,1880,1_continuous,1,65,,"Peterson and Long, 1986; Tonkinson, 1978",Binford_2001_Table_5.01,
Binford,B111,,1960,1_continuous,1,70,,"Harris, 1978; Peterson and Long, 1986",Binford_2001_Table_5.01,
Binford,B112,,1968,1_continuous,1,80,,"Peterson and Long, 1986",Binford_2001_Table_5.01,
