dataset,soc_id,xd_id,soc_name,alternate_names,main_focal_year
LRB,B1,xd758,Punan,,1970
LRB,B2,xd900,Batek,"Batak, Batek (Palawan )",1968
LRB,B3,xd757,Kubu,,1900
LRB,B4,xd901,Shompen,,1989
LRB,B5,xd902,Onge,Andaman Islands (Onge),1952
LRB,B6,xd903,Jarwa,Andaman Islands (Jarwa),1906
LRB,B7,xd904,Ayta (Pinatubo),,1903
LRB,B8,xd686,Big Andaman Island,Andamanese,1870
LRB,B9,xd725,Semang,,1920
LRB,B10,xd690,Vedda,Veddah,1900
LRB,B11,xd905,Hill Pandaran,Hill Pandaram,1972
LRB,B12,xd906,Agta (Casiguran),,1965
LRB,B13,xd907,Agta (Isabela),,1979
LRB,B14,xd908,Agta (Cagayan),,1924
LRB,B15,xd672,Chenchu,,1940
LRB,B16,xd909,Mrabri,,1963
LRB,B17,xd910,Paliyans,,1963
LRB,B18,xd911,Birhor,,1963
LRB,B19,xd912,Kadar,,1946
LRB,B20,xd913,Cholanaickan,,1974
LRB,B21,xd914,Nayaka,,1978
LRB,B22,xd635,Ainu,Ainu (Hokkaido),1900
LRB,B23,xd915,Orogens,,1900
LRB,B24,xd636,Ket,,1900
LRB,B25,xd617,Gilyak,,1920
LRB,B26,xd634,Yukaghir,,1900
LRB,B27,xd620,Nganasan,,1933
LRB,B28,xd622,Siberian Eskimo,,1860
LRB,B35,xd1330,Paraujano,,1950
LRB,B36,xd1358,Shiriana,,1960
LRB,B37,xd916,Akuriyo,,1968
LRB,B38,xd1345,Yaruro-Pume,,1989
LRB,B39,xd1347,Guahibo,,1960
LRB,B40,xd917,Nukak,Macu Nukak,1990
LRB,B41,xd1397,Bororo,,1920
LRB,B42,xd1403,Guato,,1901
LRB,B43,xd1362,Siriono,,1940
LRB,B44,xd918,Yuqui,,1968
LRB,B45,xd1401,Nambikwara,,1938
LRB,B46,xd919,Calusa,,1600
LRB,B47,xd920,Guayaki (Ache),,1975
LRB,B48,xd1413,Botocudo,,1880
LRB,B49,xd921,Heta,,1954
LRB,B50,xd1411,Aweikomo,,1910
LRB,B51,xd1386,Tehuelche,,1870
LRB,B52,xd922,Chono,,1880
LRB,B53,xd1387,Alacaluf,,1900
LRB,B54,xd1385,Ona,,1880
LRB,B55,xd1383,Yaghan,,1870
LRB,B60,xd923,Aka,,1980
LRB,B61,xd924,Bayaka,,1976
LRB,B62,xd925,Bambote,,1977
LRB,B63,xd926,Baka,Baka Pygmies,1980
LRB,B64,xd927,Efe,,1980
LRB,B65,xd5,Mbuti,,1930
LRB,B66,xd928,Mikea,,
LRB,B67,xd929,Hukwe,,1950
LRB,B68,xd930,Hai//om,,1920
LRB,B69,xd9,Hadza,,1910
LRB,B70,xd2,Dorobo,,1920
LRB,B71,xd931,Sekele,,1928
LRB,B72,xd1,!Kung,!Kung (Was Nyae),1950
LRB,B73,xd7,Nharo,,1910
LRB,B74,xd932,G/wi,,1962
LRB,B75,xd933,Kua,,1976
LRB,B76,xd934,!Ko,,1968
LRB,B77,xd935,/Auni-Khomani,,1920
LRB,B78,xd936,//Xegwi,Batwa (Lake Chrissie),1950
LRB,B79,xd8,/Xam,,
LRB,B82,xd937,Kaurareg,,1848
LRB,B83,xd938,Larikia,,1900
LRB,B84,xd939,Gunwinggu,,1978
LRB,B85,xd940,Mirrngadja,,1970
LRB,B86,xd941,Anbarra,,1973
LRB,B87,xd774,Gidjingali,,1950
LRB,B88,xd777,Murngin,,1930
LRB,B89,xd942,Jeidji,,1920
LRB,B90,xd781,Wikmunkan,Wikmunkun,1920
LRB,B91,xd943,Kakadu,,1920
LRB,B92,xd944,Nunggubuyu,,1960
LRB,B93,xd945,Yintjingga,,1930
LRB,B94,xd775,Yir-yoront,,1937
LRB,B95,xd778,Tiwi,,1920
LRB,B96,xd946,Kuku (Yalanji),Yuku,1880
LRB,B97,xd776,Groote Eylandt,Groote Eyelandt,1930
LRB,B98,xd947,Walmbaria,,1926
LRB,B99,xd948,Mulluk,,1900
LRB,B100,xd949,Worora,,
LRB,B101,xd950,Lungga,,1934
LRB,B102,xd951,Lardil,,1909
LRB,B103,xd952,Kaiadilt,,1928
LRB,B104,xd953,Karadjeri,,
LRB,B105,xd954,Mamu,,1900
LRB,B106,xd780,Kariera,,1910
LRB,B107,xd955,Warunggu,,1870
LRB,B108,xd956,Djaru,,1934
LRB,B109,xd773,Walbiri,,1965
LRB,B110,xd957,Ngatjan,,1880
LRB,B111,xd958,Mardudjara,Ngatjan,1960
LRB,B112,xd959,Ildawongga,,1968
LRB,B113,xd960,Pintubi,,1936
LRB,B114,xd961,Undanbi,Undambi,1848
LRB,B115,xd962,Jinibarra,,1840
LRB,B116,xd963,Karuwali,,1900
