Dataset,soc_id,xd_id,SpecRef,Year,DND.VarID_Code,VarID,Code,Comment,References,DND.SourceCodedData,DND.Display,DND.AdminComment
LRB,B1,xd758,,1970,5_2,5,2,,,,,
LRB,B2,xd900,,1968,5_2,5,2,,,,,
LRB,B3,xd757,,1900,5_2,5,2,,,,,
LRB,B4,xd901,,1989,5_1,5,1,,,,,
LRB,B5,xd902,,1952,5_1,5,1,,,,,
LRB,B6,xd903,,1906,5_1,5,1,,,,,
LRB,B7,xd904,,1903,5_2,5,2,,,,,
LRB,B8,xd686,,1870,5_1,5,1,,,,,
LRB,B9,xd725,,1920,5_2,5,2,,,,,
LRB,B10,xd690,,1900,5_2,5,2,,,,,
LRB,B11,xd905,,1972,5_2,5,2,,,,,
LRB,B12,xd906,,1965,5_2,5,2,,,,,
LRB,B13,xd907,,1979,5_2,5,2,,,,,
LRB,B14,xd908,,1924,5_2,5,2,,,,,
LRB,B15,xd672,,1940,5_2,5,2,,,,,
LRB,B16,xd909,,1963,5_2,5,2,,,,,
LRB,B17,xd910,,1963,5_2,5,2,,,,,
LRB,B18,xd911,,1963,5_2,5,2,,,,,
LRB,B19,xd912,,1946,5_2,5,2,,,,,
LRB,B20,xd913,,1974,5_2,5,2,,,,,
LRB,B21,xd914,,1978,5_2,5,2,,,,,
LRB,B22,xd635,,1900,5_1,5,1,,,,,
LRB,B23,xd915,,1900,5_1,5,1,,,,,
LRB,B24,xd636,,1900,5_1,5,1,,,,,
LRB,B25,xd617,,1920,5_1,5,1,,,,,
LRB,B26,xd634,,1900,5_1,5,1,,,,,
LRB,B27,xd620,,1933,5_1,5,1,,,,,
LRB,B28,xd622,,1860,5_1,5,1,,,,,
LRB,B35,xd1330,,1950,5_1,5,1,,,,,
LRB,B36,xd1358,,1960,5_2,5,2,,,,,
LRB,B37,xd916,,1968,5_1,5,1,,,,,
LRB,B38,xd1345,,1989,5_2,5,2,,,,,
LRB,B39,xd1347,,1960,5_2,5,2,,,,,
LRB,B40,xd917,,1990,5_1,5,1,,,,,
LRB,B41,xd1397,,1920,5_2,5,2,,,,,
LRB,B42,xd1403,,1901,5_2,5,2,,,,,
LRB,B43,xd1362,,1940,5_2,5,2,,,,,
LRB,B44,xd918,,1968,5_2,5,2,,,,,
LRB,B45,xd1401,,1938,5_2,5,2,,,,,
LRB,B46,xd919,,1600,5_1,5,1,,,,,
LRB,B47,xd920,,1975,5_2,5,2,,,,,
LRB,B48,xd1413,,1880,5_2,5,2,,,,,
LRB,B49,xd921,,1954,5_1,5,1,,,,,
LRB,B50,xd1411,,1910,5_2,5,2,,,,,
LRB,B51,xd1386,,1870,5_1,5,1,,,,,
LRB,B52,xd922,,1880,5_1,5,1,,,,,
LRB,B53,xd1387,,1900,5_1,5,1,,,,,
LRB,B54,xd1385,,1880,5_1,5,1,,,,,
LRB,B55,xd1383,,1870,5_1,5,1,,,,,
LRB,B60,xd923,,1980,5_2,5,2,,,,,
LRB,B61,xd924,,1976,5_2,5,2,,,,,
LRB,B62,xd925,,1977,5_2,5,2,,,,,
LRB,B63,xd926,,1980,5_2,5,2,,,,,
LRB,B64,xd927,,1980,5_2,5,2,,,,,
LRB,B65,xd5,,1930,5_2,5,2,,,,,
LRB,B66,xd928,,NA,5_2,5,2,,,,,
LRB,B67,xd929,,1950,5_1,5,1,,,,,
LRB,B68,xd930,,1920,5_2,5,2,,,,,
LRB,B69,xd9,,1910,5_1,5,1,,,,,
LRB,B70,xd2,,1920,5_2,5,2,,,,,
