dataset,soc_id,xd_id,pref_name_for_society,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,EA_society_equivalent1,EA_society_equivalent2,SCCS_society_equivalent,CHIRILA_society_equivalent,HRAF_name_ID,HRAF_link,WNAI_society_equivalent1,WNAI_society_equivalent2,WNAI_society_equivalent3
Binford,B72,xd1,!Kung,!Kung (B72),"Kung Bushmen, !Kung (Was Nyae), Was Nyae",1950,Kung (Aa1),,Kung (SCCS2),,San (FX10),http://ehrafworldcultures.yale.edu/collection?owc=FX10,,,
Binford,B296,xd1000,Kuskowagmut,Kuskowagmut (B296),,1850,,,,,,,,,
Binford,B322,xd1001,Syilx,Okanagan (B322),Okanagan,1860,,,,,,,Southern Okanagon (J99),,
Binford,B335,xd1003,Round Lake Ojibwa,Round Lake Ojibwa (B335),"Weagamow, North Caribou Lake, Round Lake",1900,,,,,,,,,
Binford,B339,xd1004,North Albany Ojibwa,North Albany Ojibwa (B339),North Albany,1850,,,,,,,,,
Binford,B340,xd1005,Waswanipi Cree,Waswanipi Cree (B340),Waswanipi,1900,,,,,,,,,
Binford,B341,xd1006,Wegamon Ojibwa,Wegamon Ojibwa (B341),Wegamon,1890,,,,,,,,,
Binford,B350,xd1007,Mountain Dene,Mountain (B350),"Mountain, Sahaptin, Sahtu, Sahtu Dene",1800,,,,,,,,,
Binford,B351,xd1008,Hän,Han (B351),Han,1880,,,,,,,,,
Binford,B352,xd1009,Hare,Hare (B352),"K'ahsho Got'ine, Sahtu, Sahtu Dene",1860,,,,,,,,,
Binford,B354,xd1010,Koyukon,Koyukon (B354),,1880,,,,,,,,,
Binford,B360,xd1011,Waskaganish,Rupert House Cree (B360),"Rupert House Cree, Rupert House",1900,,,,,,,,,
Binford,B363,xd1012,Tutchone,Tutchone (B363),,1890,,,,,,,,,
Binford,B364,xd1013,Holikachuk,Holikachuk (B364),,1860,,,,,,,,,
Binford,B369,xd1014,Norton Sound Inuit,Norton Sound Inuit (B369),Norton Sound Eskimo,1870,,,,,,,,,
Binford,B370,xd1015,Kobuk Inuit,Kobuk Inuit (B370),Kobuk Eskimo,1890,,,,,,,,,
Binford,B371,xd1016,Kotzebue Sound Inuit,Kotzebue Sound Inuit (B371),Kotzebue Sound,1880,,,,,,,,,
Binford,B373,xd1017,Great Whale Inuit,Great Whale Inuit (B373),"Great Whale Eskimo, Kuujjuarapik",1890,,,,,,,,,
Binford,B375,xd1018,Noatak Inuit,Noatak Inuit (B375),"Nuataaq Inupiaq, Nuataagmiut, Noatak Eskimo",1900,,,,,,,,,
Binford,B378,xd1019,Inuvialuit,Mackenzie Inuit (B378),"Western Canadian Inuit, Mackenzie Eskimo, Mackenzie Inuit",1910,,,,,,,,,
Binford,B379,xd1020,Sivokamiut Inuit,Sivokamiut Inuit (B379),Sivokamiut Eskimo,1920,,,,,,,,,
Binford,B380,xd1021,Inupiat,Point Hope Inuit (B380),"Tikigagmiut, Inupiat, Point Hope Inuit, Point Hope Eskimo",1880,,,,,,,,,
Binford,B381,xd1022,Copper Inuit,Copper Inuit (B381),"Kitlinermiut, Copper Eskimo",1920,Copper Eskimo (Na3),,Copper Eskimo (SCCS124),,Copper Eskimo (ND08),http://ehrafworldcultures.yale.edu/collection?owc=ND08,,,
Binford,B382,xd1023,Utkuhikhalingmiut,Utkuhikhalingmiut (B382),,1920,,,,,,,,,
Binford,B383,xd1024,Aivilingmiut Inuit,Aivilingmiut Inuit (B383),Aivilingmiut Eskimo,1880,,,,,,,,,
Binford,B384,xd1025,Iglulik Inuit,Iglulik Inuit (B384),"Igloolik, Iglulingmiut",1920,Iglulik (Na22),,,,,,,,
Binford,B359,xd1026,Nabesna,Nabesna (B359),Upper Tanana Indians,1930,Nabesna (Na1),,,,,,,,
