Dataset,IndexCategory,VarID,VarTitle,VarDefinition,VarType,MainCategory,Source,ChangesToGray1999,UserNotes
EA,"Subsistence, Economy",1,Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",Ordinal,Subsistence,Murdock (1962-1971); Gray (1999),,
EA,"Subsistence, Economy",2,Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",Ordinal,Subsistence,Murdock (1962-1971); Gray (1999),,
EA,"Subsistence, Economy",3,Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",Ordinal,Subsistence,Murdock (1962-1971); Gray (1999),,
EA,"Subsistence, Economy",4,Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",Ordinal,Subsistence,Murdock (1962-1971); Gray (1999),,
EA,"Subsistence, Economy",5,Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",Ordinal,Subsistence,Murdock (1962-1971); Gray (1999),,
EA,"Marriage, Kinship, Wealth Transactions, Economy",6,Transactions at marriage: prevailing type,Prevailing type of transfer or exchange at marriage.,Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),,
EA,"Marriage, Kinship, Wealth Transactions, Economy",7,Transactions at marriage: alternate type,"Alternative types of transfer or exchange at marriage, or supplementary practices.",Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),,
EA,"Marriage, Kinship",8,Domestic organization,The prevailing form of domestic or familial organization.,Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),,
EA,"Marriage, Kinship",9,Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),,
EA,"Marriage, Kinship",10,Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. ","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocalï¾…it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12. "
EA,"Marriage, Kinship",201,Marital residence with kin: change after first years,Indicates whether or not the pattern of marital residence differs in the first years of marriage relative to later years.,Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),"Added because of the recoding of v10, to allow users to quickly identify societies where marital residence in early years differs from that in later years.",
EA,"Marriage, Kinship",11,Transfer of residence at marriage: prevailing pattern,"The prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,Marriage and Kinship,Gray (1999),"Revised codes for avunculocal cases, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). ","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA,"Marriage, Kinship",12,Marital residence with kin: prevailing pattern,The prevailing profile of marital residence in the society.,Categorical,Marriage and Kinship,Murdock (1962-1971); Gray (1999),"Two codes added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]"". He further specifies that these are cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. Given this specific definition, we decided these two cases should be ""stand alone"" codes under v12, rather than cases where a prevailing pattern (v12) is accompanied by an alternative pattern (v14).",
EA,"Marriage, Kinship",13,Transfer of residence at marriage: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,Marriage and Kinship,Gray (1999),"Revised codes for avunculocal cases here and for variable EA011, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). Because codes for this variable are dependent on EA011, adjusted all codes for this variable after adjusting EA011 and this variable for avunculocal cases.","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
