dataset,soc_id,xd_id,soc_name,alternate_names,main_focal_year
EA,Ei11,xd698,Aimol,,1910
EA,Aa3,xd3,Nama Hottentot,"Nama, Nama Hottentot",1840
EA,Ie11,xd787,Kakoli,,1950
EA,Ie38,xd816,Dani,,1960
EA,Ie18,xd794,Kimam,Frederik-Hendrik Islanders,1940
EA,Ie26,xd803,Ngarawapum,,1940
EA,Ih3,xd869,Bunlap,Pentecost,1950
EA,Ae1,xd127,Amba,"Awamba, Baamba, Bamba",1950
EA,Ae51,xd173,Banen,,1940
EA,Ai1,xd337,Banda,,1920
EA,Ae33,xd153,Ndaka Babali,"Bandaka, Bali, Babali, Mabali, Mobale (formerly erroneously called Ndaka)",1920
EA,Ee4,xd656,Tibetans,,1920
EA,Ea13,xd600,"Punjabi, West","Punjabi, West",1950
EA,Af2,xd197,Kissi,Ghizi,1950
EA,Sc18,xd1344,Djuka,Bush Negroes,1960
EA,Eg13,xd676,Muria Gond,,1941
EA,Ei2,xd707,Lhota,,1920
EA,Ej1,xd716,Lamet,,1940
EA,Ia4,xd744,Subanun,,1950
EA,Ic6,xd768,Tanimbarese,,1930
EA,Ae10,xd128,Ruanda,Banyaruanda,1910
EA,Ih7,xd873,Lifu,Lifu Islanders,1910
EA,Nf11,xd1231,Oto,,1870
EA,Sc6,xd1349,Saramacca,Bush Negroes,1920
EA,Ad11,xd78,Bena,Wabena,1930
EA,Ad14,xd81,Luguru,,1930
EA,Ad15,xd82,Iwa,"Awiwa, Wawiwa, Wiwa",1900
EA,Ad17,xd84,Safwa,Wassafwa,1920
EA,Ad19,xd86,Fipa,Wafipa,1910
EA,Af1,xd186,Fon,Dahomey,1890
EA,Af15,xd192,Kpelle,"Guerse, Kpese",1920
EA,Ca8,xd456,Gurage,,1940
EA,Af20,xd198,Ibibio,,1910
EA,Af6,xd240,Oyo Yoruba,,1950
EA,Af23,xd201,Afikpo,,1950
EA,Af25,xd203,Isoko,,1930
EA,Af32,xd211,Egba,,1920
EA,Af36,xd215,Ewe,,1900
EA,Af57,xd238,Temne,Time,1910
EA,Ag1,xd244,Bambara,,1920
EA,Ag19,xd254,Diola,,1930
EA,Ag22,xd258,Serer,Kegueme,1920
EA,Ag31,xd268,Minianka,,1910
EA,Ag32,xd269,Senufo,"Sene, Siena",1900
EA,Ag4,xd277,Tallensi,,1930
EA,Ag41,xd279,Kusasi,Kusal,1920
EA,Ag48,xd286,Basari,,1890
EA,Ag5,xd288,Birifor,Birifon,1930
EA,Ag6,xd294,Futajalonke,Foutadjallonke,1890
EA,Ag7,xd295,Bozo,,1930
EA,Ag9,xd297,Malinke,"Mandingo, Wangara",1930
EA,Ah14,xd303,Kamuku,,1920
EA,Ah15,xd304,Reshe,"Bareshe, Gungawa, Yauri",1920
EA,Ah30,xd321,Longuda,Nunguda,1920
EA,Ah31,xd322,Mumuye,,1910
EA,Ah33,xd324,Yungur,Binna,1920
EA,Ah39,xd330,Podokwo,Podogo,1950
EA,Ai12,xd340,Fali,,1950
EA,Ai3,xd359,Azande,,1920
