Source,soc_ID,Orig.latitude,Orig.longitude,latitude,longitude,AnnualMeanTemperature,AnnualTemperatureVariance,TemperatureConstancy,TemperatureContingency,TemperaturePredictability,MonthlyMeanPrecipitation,MonthlyPrecipitationVariance,PrecipitationConstancy,PrecipitationContingency,PrecipitationPredictability,BirdRichness,MammalRichness,AmphibianRichness,VascularPlantsRichness,EcoRegion,Elevation,Slope,Coastal,NetPrimaryProduction,DurationOfGrowingSeason,MeanGrowingSeasonNPP,Inter-YearVarianceGrowingSeasonNPP
Binford,1,3,114,3,114,24.73816667,0.112680303,0.789500312,0.07495254,0.864452852,305.9693333,11556.79086,0.662595631,0.053623538,0.716219168,273.3128027,143.5639144,40.79132865,5383.57,Borneo lowland rain forests,236.2100067,3.340376228,NO,3.337144168,12,3.337144168,0.591781834
Binford,2,10,119.11,10.15,119.11,26.40833333,0.402478788,0.685503066,0.078036083,0.763539149,161.4846667,21663.3486,0.300222277,0.312000577,0.612222854,NA,56,9.100034469,3335.61,Palawan rain forests,219.3476257,4.885465282,YES,3.701695956,12,3.701695956,0.804686898
Binford,3,-3.04,102.69,-3.04,102.69,25.67466667,0.108193939,0.773031976,0.065491531,0.838523507,219.2363333,10245.42739,0.578377362,0.150157543,0.728534905,298.2926656,134.8134143,29.76093144,3315.61,Sumatran lowland rain forests,437.1191711,2.211279346,NO,3.047925494,12,3.047925494,0.064958313
Binford,4,7,93.77,7,93.77,27.54933333,0.269736364,0.70138701,0.063463611,0.764850622,223.3823333,15215.09012,0.525907746,0.149379171,0.675286917,75,8,4.73539526,2732.57,NA,84.32532501,3.073819795,YES,2.238188977,12,2.238188977,0.290382385
Binford,5,10.7,92.47,10.7,92.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.78445053,1.260781768,YES,NA,NA,NA,NA
Binford,6,12.19,92.37,12.19,92.79,27.55966667,0.67999697,0.627363237,0.078858446,0.706221683,252.4491667,54450.36073,0.276599566,0.337943412,0.614542978,100.9338188,7,2,2502.56,Andaman Islands rain forests,14.67896938,1.486439783,YES,2.85258934,12,2.85258934,0.751598498
Binford,7,15.5,120.33,15.5,120.33,25.842,1.175706061,0.598041588,0.147884284,0.745925872,232.9628333,87309.87723,0.170147593,0.461954174,0.632101767,223.033031,42.61091772,11.07232586,2491.01,Luzon rain forests,420.478241,11.12141782,YES,1.474068746,12,1.474068746,0.012366336
Binford,8,13.32,92.89,13.32,92.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.55828857,NA,YES,NA,NA,NA,NA
Binford,9,5.86,101,5.86,101,25.01433333,0.356036364,0.683969819,0.081633675,0.765603494,235.3905,17940.34381,0.526369161,0.12619341,0.652562571,296.9581707,151.6344241,51.48011034,3073.12,Peninsular Malaysian rain forests,520.1116943,4.280301119,NO,3.680685957,12,3.680685957,0.669773032
Binford,10,8.58,81.25,8.28,81.25,27.6115,2.350307576,0.554646428,0.188918089,0.743564517,136.7475,23308.57951,0.265214259,0.178010398,0.443224657,187.8196037,51.76625276,13,2209.06,Sri Lanka dry-zone dry evergreen forests,20.55995941,1,YES,3.065528478,12,3.065528478,0.122404992
