"id","society_name","Reported_Lat","Reported_Lon","source","iso","longitude","latitude","AnnualMeanTemperature","AnnualTemperatureVariance","TemperatureConstancy","TemperatureContingency","TemperaturePredictability","AnnualMeanPrecipitation","AnnualPrecipitationVariance","PrecipitationConstancy","PrecipitationContingency","PrecipitationPredictability","MeanGrowingSeason_duration","NetPrimaryProductivity","BirdDiversity","MammalDiversity","AmphibianDiversity","PlantDiversity","Elevation","Slope"
"Id7","Murinbata",-14,130,"EA","mwf",130,-14,26.8281666666667,7.93497424242424,0.444455949303094,0.216666895153868,0.661122844456962,92.0896666666667,15174.5591272727,0.184961108250436,0.46650080609667,0.651461914347106,5,359861092352,180.347250540266,42.4269847438952,22,883.953,217.304992675781,1.12872688770588
"Ig15","Bakovi",-5,150,"EA","bnp",150,-5,25.7235,0.24765,0.725600446292338,0.0644524929544241,0.790052939246762,386.772,33934.7411333333,0.600246868279867,0.0563368940744616,0.656583762354329,12,64209670144,NA,42,NA,NA,235.840576171875,NA
"Eh10","Betsileo",-22,47,"EA","plt",47,-22,21.3375,6.60805606060606,0.480313603487796,0.248665076174979,0.728978679662775,124,6288.55550606061,0.540111017371594,0.272139690426695,0.812250707798289,12,835622076416,88.6629686578048,59.9053291287088,14.0617905636444,4212.26,588.24609375,8.89809629074337
"Ia17","Bilaan",6,125,"EA",NA,125,6,24.5931666666667,0.241410606060606,0.721818328391183,0.0915678722906749,0.813386200681858,120.856166666667,2878.20409848485,0.577086218768889,0.0582228885097263,0.635309107278615,12,74292600832,232.570095572846,47.3955073853485,NA,2603.16,359.736389160156,12.2960206642859
"Ia18","Bisayan",10,123,"EA",NA,123,10,25.2111666666667,0.460665151515152,0.652589225751733,0.0812775029106703,0.733866728662403,165.202333333333,12682.6738666667,0.418799617136984,0.196054389368949,0.614854006505933,10,64882479104,186.823461032159,48,10.3024162336424,2658.41,377.287780761719,1.50950831258096
"Ig16","Bwaidoga",-9,150,"EA","bwd",150,-9,23.6883333333333,0.911124242424242,0.621000112556915,0.132019646750867,0.753019759307782,268.051666666667,18849.0111424242,0.534415135786502,0.0517453358025085,0.586160471589011,12,69615501312,NA,NA,NA,NA,426.961608886719,NA
"Ih12","Eromangans",-19,169,"EA","erg",169.13,-18.87,23.4788333333333,3.11694393939394,0.542184007801734,0.256575577230766,0.798759585032499,181.790666666667,7149.86803939394,0.622838599145793,0.170184825776311,0.793023424922104,12,69566054400,62,4,NA,NA,186.786865234375,3.97204791054094
"Ic13","Kodi",-10,119,"EA",NA,119.14,-9.6,25.7521666666667,0.474437878787879,0.695470024240595,0.195463574894596,0.890933599135191,161.766166666667,20243.1302106061,0.320494546293174,0.265777864498296,0.58627241079147,9,580939546624,136.07433147763,22,4,2260.67,283.237670898438,2.87251950313097
"Ig17","Koobe",-5,149,"EA",NA,149,-5.55,26.4431666666667,0.393119696969697,0.685747333843082,0.0873067333839775,0.77305406722706,276.3645,11630.8614015152,0.633270484406395,0.0350184378632199,0.668288922269615,12,898031091712,129.02569837109,42,7,3294.52,174.193161010742,5.25616638122024
"Ei20","Kuki",23,92,"EA",NA,92,23,24.6926666666667,10.5594909090909,0.493734256449954,0.229086294023899,0.722820550473853,213.704166666667,45856.74495,0.246535691708409,0.363819465707591,0.610355157416,7,531938279424,197.86584419771,59.8029402436494,16,2629.04,80.6624984741211,1.41114438426233
"Ig18","Kwaio",-9,161,"EA","kwd",161,-9,25.4706666666667,0.464993939393939,0.707733817020433,0.172432532913651,0.880166349934084,268.583333333333,2617.35606060606,0.75,0.25,1,12,69615501312,90.8344656244558,19,NA,NA,298.91162109375,6.81803104438003
"Ig19","Molima",-10,151,"EA","mox",151,-10,25.4663333333333,0.936975757575758,0.621667348031638,0.145694717416083,0.767362065447721,285.103666666667,21869.4176727273,0.524597097567891,0.0462687246784017,0.570865822246292,12,67702710272,NA,21,NA,NA,310.662139892578,5.9939432834364
