id,society_name,lat,long,source,iso
Id7,Murinbata,-14,130,EA,mwf
Ig15,Bakovi,-5,150,EA,bnp
Eh10,Betsileo,-22,47,EA,plt
Ia17,Bilaan,6,125,EA,NA
Ia18,Bisayan,10,123,EA,NA
Ig16,Bwaidoga,-9,150,EA,bwd
Ih12,Eromangans,-19,169,EA,erg
Ic13,Kodi,-10,119,EA,NA
Ig17,Koobe,-5,149,EA,NA
Ei20,Kuki,23,92,EA,NA
Ig18,Kwaio,-9,161,EA,kwd
Ig19,Molima,-10,151,EA,mox
If10,Nomoians,6,153,EA,mrl
Ib9,Punan,3,115,EA,sge
Ig8,Simboese,-8,157,EA,NA
Ie34,Bgu,-2,140,EA,bpg
Ih11,Epi,-17,168,EA,lmu
Ih13,Ranon,-16,168,EA,mmg
Ie36,Samarokena,-3,140,EA,tmj
Ie37,Star Mountain,-5,141,EA,NA
Ab21b,Bomvana,-32,28,EA,xho
Ac43,Mambwe,9,32,EA,mgr
Ef10,Bihari,25,86,EA,mai
Ca43,Hadendowa,18,36,EA,NA
Ee7,Kachari,27,90,EA,NA
Ch10,Romanians,45,26,EA,ron
Ni8,Opata,30,-110,EA,NA
Ni9,Tepehuan,27,-107,EA,ntp
Ng13,Abnaki,46,-70,EA,NA
Ef3,Aryans,30,75,EA,NA
Si9,Aueto,-12,-54,EA,awe
Ed16,Cantonese,23,113,EA,yue
Ng14,Chickasaw,35,-85,EA,cic
Ng15,Chitimacha,30,-90,EA,ctm
Ab22,Chopi,-25,35,EA,cce
Ne21,Coahuilteco,29,-99,EA,xcw
Sa14,Guaymi,8,-81,EA,gym
Nj11,Huastec,22,-99,EA,NA
Ai4,Ingassana,11,34,EA,tbi
Ed13,Ishigakians,24,124,EA,rys
Sa15,Jacaltec,14,-90,EA,jac
Sa16,Jicaque,15,-87,EA,jic
Aj30,Karamojong,2,34,EA,kdj
Eg12,Khond,18,82,EA,kxu
Nf15,Kickapoo,43,-90,EA,kic
Ed14,Man,22,105,EA,NA
Nj5,Mazateco,18,-97,EA,mau
Ei17,Mikir,26,94,EA,mjw
