ISO 693-3 code,Language name,FAMILY-REVISED,Class2,Class3,Ethnologue Classification (unrevised),
auj,Awjilah,Afro-Asiatic,Berber,Eastern,"Afro-Asiatic, Berber, Eastern, Awjila-Sokna",
swn,Sawknah,Afro-Asiatic,Berber,Eastern,"Afro-Asiatic, Berber, Eastern, Awjila-Sokna",
siz,Siwi,Afro-Asiatic,Berber,Eastern,"Afro-Asiatic, Berber, Eastern, Siwa",
cnu,Chenoua,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern",
jbe,Judeo-Berber,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Atlas",
shi,Tachelhit,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Atlas",
tzm,"Tamazight, Central Atlas",Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Atlas",
zgh,"Tamazight, Standard Moroccan",Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Atlas",
kab,Kabyle,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Kabyle",
gha,Ghadamès,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, East",
jbn,Nafusi,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, East",
sds,Sened,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, East",
gho,Ghomara,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Ghomara",
grr,Taznatit,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",
mzb,Tumzabt,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",
oua,Tagargrent,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",
tjo,"Tamazight, Temacine",Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",
rif,Tarifit,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Riff",
sjs,Senhaja Berber,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Riff",
shy,Tachawit,Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Shawiya",
tia,"Tamazight, Tidikelt",Afro-Asiatic,Berber,Northern,"Afro-Asiatic, Berber, Northern, Zenati, Tidikelt",
thv,"Tamahaq, Tahaggart",Afro-Asiatic,Berber,Tamasheq,"Afro-Asiatic, Berber, Tamasheq, Northern",
