ISO 693-3 code,Language name,FAMILY-CORRECTED,Classification,Class1,Class2,Class3,,,
auj,Awjilah,Afro-Asiatic,"Afro-Asiatic, Berber, Eastern, Awjila-Sokna",Afro-Asiatic,Berber,Eastern,,,
swn,Sawknah,Afro-Asiatic,"Afro-Asiatic, Berber, Eastern, Awjila-Sokna",Afro-Asiatic,Berber,Eastern,,,
siz,Siwi,Afro-Asiatic,"Afro-Asiatic, Berber, Eastern, Siwa",Afro-Asiatic,Berber,Eastern,,,
cnu,Chenoua,Afro-Asiatic,"Afro-Asiatic, Berber, Northern",Afro-Asiatic,Berber,Northern,,,
jbe,Judeo-Berber,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Atlas",Afro-Asiatic,Berber,Northern,,,
shi,Tachelhit,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Atlas",Afro-Asiatic,Berber,Northern,,,
tzm,"Tamazight, Central Atlas",Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Atlas",Afro-Asiatic,Berber,Northern,,,
zgh,"Tamazight, Standard Moroccan",Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Atlas",Afro-Asiatic,Berber,Northern,,,
kab,Kabyle,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Kabyle",Afro-Asiatic,Berber,Northern,,,
gha,Ghadamès,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, East",Afro-Asiatic,Berber,Northern,,,
jbn,Nafusi,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, East",Afro-Asiatic,Berber,Northern,,,
sds,Sened,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, East",Afro-Asiatic,Berber,Northern,,,
gho,Ghomara,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Ghomara",Afro-Asiatic,Berber,Northern,,,
grr,Taznatit,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",Afro-Asiatic,Berber,Northern,,,
mzb,Tumzabt,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",Afro-Asiatic,Berber,Northern,,,
oua,Tagargrent,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",Afro-Asiatic,Berber,Northern,,,
tjo,"Tamazight, Temacine",Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Mzab-Wargla",Afro-Asiatic,Berber,Northern,,,
rif,Tarifit,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Riff",Afro-Asiatic,Berber,Northern,,,
sjs,Senhaja Berber,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Riff",Afro-Asiatic,Berber,Northern,,,
shy,Tachawit,Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Shawiya",Afro-Asiatic,Berber,Northern,,,
tia,"Tamazight, Tidikelt",Afro-Asiatic,"Afro-Asiatic, Berber, Northern, Zenati, Tidikelt",Afro-Asiatic,Berber,Northern,,,
thv,"Tamahaq, Tahaggart",Afro-Asiatic,"Afro-Asiatic, Berber, Tamasheq, Northern",Afro-Asiatic,Berber,Tamasheq,,,
taq,Tamasheq,Afro-Asiatic,"Afro-Asiatic, Berber, Tamasheq, Southern",Afro-Asiatic,Berber,Tamasheq,,,
ttq,"Tamajaq, Tawallammat",Afro-Asiatic,"Afro-Asiatic, Berber, Tamasheq, Southern",Afro-Asiatic,Berber,Tamasheq,,,
thz,"Tamajeq, Tayart",Afro-Asiatic,"Afro-Asiatic, Berber, Tamasheq, Southern",Afro-Asiatic,Berber,Tamasheq,,,
zen,Zenaga,Afro-Asiatic,"Afro-Asiatic, Berber, Zenaga",Afro-Asiatic,Berber,Zenaga,,,
bvw,Boga,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",Afro-Asiatic,Chadic,Biu-Mandara,,,
gqa,Ga’anda,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",Afro-Asiatic,Chadic,Biu-Mandara,,,
hwo,Hwana,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Eastern",Afro-Asiatic,Chadic,Biu-Mandara,,,
jaf,Jara,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western",Afro-Asiatic,Chadic,Biu-Mandara,,,
ttr,Tera,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.1, Western",Afro-Asiatic,Chadic,Biu-Mandara,,,
ngx,Nggwahyi,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2",Afro-Asiatic,Chadic,Biu-Mandara,,,
bwr,Bura-Pabir,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",Afro-Asiatic,Chadic,Biu-Mandara,,,
ckl,Cibak,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",Afro-Asiatic,Chadic,Biu-Mandara,,,
kso,Kofa,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",Afro-Asiatic,Chadic,Biu-Mandara,,,
mfl,Putai,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 1",Afro-Asiatic,Chadic,Biu-Mandara,,,
hbb,Huba,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",Afro-Asiatic,Chadic,Biu-Mandara,,,
mrt,Marghi Central,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",Afro-Asiatic,Chadic,Biu-Mandara,,,
mfm,Marghi South,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.2, 2",Afro-Asiatic,Chadic,Biu-Mandara,,,
bcw,Bana,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",Afro-Asiatic,Chadic,Biu-Mandara,,,
fkk,Kirya-Konzel,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",Afro-Asiatic,Chadic,Biu-Mandara,,,
hig,Kamwe,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",Afro-Asiatic,Chadic,Biu-Mandara,,,
hya,Hya,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",Afro-Asiatic,Chadic,Biu-Mandara,,,
kvj,Psikye,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.3",Afro-Asiatic,Chadic,Biu-Mandara,,,
hia,Lamang,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",Afro-Asiatic,Chadic,Biu-Mandara,,,
vem,Vemgo-Mabas,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",Afro-Asiatic,Chadic,Biu-Mandara,,,
xed,Hdi,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Lamang",Afro-Asiatic,Chadic,Biu-Mandara,,,
cie,Cineni,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",Afro-Asiatic,Chadic,Biu-Mandara,,,
dgh,Dghwede,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",Afro-Asiatic,Chadic,Biu-Mandara,,,
glw,Glavda,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",Afro-Asiatic,Chadic,Biu-Mandara,,,
gdf,Guduf-Gava,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",Afro-Asiatic,Chadic,Biu-Mandara,,,
ngs,Gvoko,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda",Afro-Asiatic,Chadic,Biu-Mandara,,,
mfi,Wandala,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Mandara",Afro-Asiatic,Chadic,Biu-Mandara,,,
pbi,Parkwa,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Podoko",Afro-Asiatic,Chadic,Biu-Mandara,,,
bdn,Baldemu,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
cuv,Cuvok,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
dme,Dugwor,Afro-Asiatic,"Afro-Asiatic, Chadic, Biu-Mandara, A, A.5",Afro-Asiatic,Chadic,Biu-Mandara,,,
