ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B1,Punan,sge,Segai,sge,Segai,Austronesian,Malayo-Polynesian,North Borneo,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B2,Batek,bya,Batak,bya,Batak,Austronesian,Malayo-Polynesian,Philippine,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B3,Kubu,kvb,Kubu,kvb,Kubu,Austronesian,Malayo-Polynesian,Malayo-Chamic,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0
B4,Shompen,sii,Shom Peng,sii,Shom Peng,Austro-Asiatic,Mon-Khmer,Nicobar,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B5,Onge,oon,Öñge,oon,Onge,South Andamanese,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B6,Jarwa,anq,Jarawa,anq,Jarawa,South Andamanese,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B7,Ayta (Pinatubo),abp,"Ayta, Abellen",abp,"Ayta, Abellen",Austronesian,Malayo-Polynesian,Philippine,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B8,Big Andaman Island,aci,Aka-Cari,aci,Aka-Cari,Great Andamanese,Northern,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B9,Semang,kns,Kensiu,kns,Kensiu,Austro-Asiatic,Mon-Khmer,Aslian,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B10,Vedda,ved,Veddah,ved,Veddah,Indo-European,Indo-Iranian,Indo-Aryan,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
B11,Hill Pandaran,mjp,Malapandaram,mjp,Malapandaram,Dravidian,Southern,Tamil-Kannada,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B12,Agta (Casiguran),dgc,"Agta, Casiguran Dumagat",dgc,"Agta, Casiguran Dumagat",Austronesian,Malayo-Polynesian,Philippine,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B13,Agta (Isabela),ibg,Ibanag,ibg,Ibanag,Austronesian,Malayo-Polynesian,Philippine,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B14,Agta (Cagayan),agt,"Agta, Central Cagayan",agt,"Agta, Central Cagayan",Austronesian,Malayo-Polynesian,Philippine,NA,NA,Check,NA,NA,NA,0,0,1,0,0,0
B15,Chenchu,cde,Chenchu,cde,Chenchu,Dravidian,South-Central,Telugu,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
