ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B1,Punan,PUNAN,PUNAN,PUNAN,PUNAN,Punan,,
B2,Batek,BATEK (PALAWAN),BATEK (PALAWAN),BATEK (PALAWAN),BATAK,Batek,,
B3,Kubu,KUBU,0,KUBU,KUBU,Kubu,,
B4,Shompen,SHOMPEN,SHOMPEN,,SHOMPEN,Shompen,,
B5,Onge,ANDAMAN ISLANDS (ONGE),ANDAMAN ISLANDS (ONGE),ANDMAN ISLANDS (ONGE),ANDAMAN ISLANDS,Onge,,
B6,Jarwa,ANDAMAN ISLANDS (JARWA),0,ANDAMAN ISLANDS (JARWA),,Jarwa,,
B7,Ayta (Pinatubo),AYTA (PINATUBO),AYTA (PINATUBO),AYTA (PINATUBO),AYTA (PINATUBO),Ayta (Pinatubo),,
B8,Big Andaman Island,BIG ANDAMAN ISLAND,ANDAMAN ISLANDS,BIG ANDAMAN ISLAND,,Andaman,,
B9,Semang,SEMANG,SEMANG,SEMANG,SEMANG,Semang,,
B10,Vedda,VEDDAH,VEDDAH,VBDDAH,VEDDA,Vedda,,
B11,Hill Pandaran,HILL PANDARAM,HILL PANDARAM,HILL PANDARAM,,Hill Pandaran,,
B12,Agta (Casiguran),AGTA (CASIGURAN),AGTA (CASIGURAN),AGTA (CASIGURAN),AGTA (CASIGURAN),Agta (Casiguran),,
B13,Agta (Isabela),AGTA (ISABELA),AGTA (ISABELA),AGTA (ISABELA),AGTA (ISABELA),Agta (Isabela),,
B14,Agta (Cagayan),AGTA (CAGAYAN),AGTA (CAGAYAN),AGTA (CAGAYAN),AGTA (CAGAYAN),Agta (Kagayan),,
B15,Chenchu,CHENOHU,CHENCHU,CHENCHU,CHENCHU,Chenchu,,
B16,Mrabri,MRABRI,MRABRI,MRABRI,MRABRI,Mrabri,,
B17,Paliyans,PALIYANS,PALIYANS,PALIYANS,,Paliyans,,
B18,Birhor,BIRHOR,BIRHOR,BIRHOR,,Birhor,,
B19,Kadar,KADAR,KADAR,KADAR,KADAR,Kadar,,
B20,Cholanaickan,CHOLANAICKAN,0,CHOLANAICKAN,,Cholanaickan,,
B21,Nayaka,NAYAKA,NAYAKA,NAYAKA,,Nayaka,,
B22,Ainu,AINU,AINU,AINU (HOKKAIDO),AINU,Ainu,,
B23,Orogens,OROGENS,OROGENS,OROGENS,,Orogens,,
B24,Ket,KET,KET,KET,KET,Ket,,
B25,Gilyak,GILYAK,GILYAK,GILYAKA,,Gilyak,,
B26,Yukaghir,YUKAGHIR,YUKAGHIR,YUKAGHIR,YUKAGHIR,Yukaghir,,
B27,Nganasan,NGANASAN,0,NGANASAN,,Nganasan,,
B28,Siberian Eskimo,SIBERIAN ESKIMO,SIBERIAN ESKIMO,SIBERIAN ESKIMO,SIBERIAN ESKIMO,Siberian Eskimo,,
B35,Paraujano,#N/A,#N/A,,,Paraujano,,
B36,Shiriana,SHIRIANA,0,SHIRIANA,,Shiriana,,
B37,Akuriyo,AKURIYO,AKURIYO,AKURIYO,,Akuriyo,,
B38,Yaruro-Pume,YARURO-PUME,YARURO-PUME,YARURO-PUMB,YARUROS (FUME),Pume,,
B39,Guahibo,GUAHIBO,GUAHIBO,GUAHIBO,GUIHIBO,Guahibo,,
B40,Nukak,NUKAK,NUKAK,MACU NUKAK,,Nukak,,
B41,Bororo,BORORO,BORORO,BORORO,BORORO,Bororo,,
B42,Guato,GUATO,GUATO,,,Guato,,
B43,Siriono,SIRIONO,SIRIONO,SIRIONO,SIRIONO,Siriono,,
B44,Yuqui,YUQUI,YUQUI,YUQUI,,Yuqui,,
B45,Nambikwara,NAMBIKWARA,NAMBIKWARA,NAMBIKWARA,NAMBIKWARA,Nambikwara,,
B46,Calusa,CALUSA,CALUSA,CALUSA,,Calusa,,
B47,Guayaki (Ache),GUAYAKI (ACHE),GUAYAKI (ACHE),GUAYAKI,GUAYAKI (ACHE),Guayaki (Ache),,
