ID,Name,Orig.latitude,Orig. longitude,revised.latitude,revised.longitude,B501_SUBPOP,B501_TLPOP,B501_Area,B501_Density,B501_Gather,B501_Hunt,B501_Fish,B501_SUBSP,B501_GRPPAT,B501_GROUP1,B501_GROUP2,B501_GROUP3,B501_NOMOV,B501_DISMOV,B501_VEGNU,B501_SOIL,B603_NoDataPts,B603_MHt,B603_FHt,B603_HtQual,B603_MWt,B603_FWt,B603_WtQual,B603_References,B801_NoDataPts,B801_Grp1_Disp,B801_Grp2_Agg,B801_PeriodicAgg,B801_References,B804_NoDataPts,B804_NoMovesYear,B804_DistMoved,B804_Ref,B807_NoDataPts,B807_PctPolygyny,B807_PctPolygynyQual,B807_MMarrAge,B807_FMarrAge,B807_References,B901_NoDataPts,B901_SYSTATE3,B901_MHSSET,B901_MHSET2,B901_FAMHOUS,B901_G2MHS,B901_G2MHSET2,B901_G2MHSET3,B901_G2BASORD,B901_PREVALUE,B901_PREDG2MH,B901_G1FAMSZ,B901_G2FAMSZ,B901_G1MHS,B901_POLYSCAL,B901_POLPOS,B901_CLASS,B901_PEROGAT,B901_MONEY,B901_OCCSPE,B901_COMMON,B901_COMSTFUN,B901_OWNERS
B1,Punan,3.00,114.00,3.00,114.00,x,349.00,29.60,11.80,65.00,30.00,5.00,2,1,22.00,30.00,62.00,45.00,240.00,1,U,2,1532.5,1468,NA,52.9,37.9,NA,Urquhart 1951:501; Oldrey 1975:155,3,22,28.66666667,62,"Harrison 1949:135, 139; Urquart 1951:515,505; Brosius 1986:174; Sellato 1994:143-44",1,45,240,"Harrison 1949:135, 139; Urquart 1951:505, 515",1,4,NA,NA,NA,Kedit 1982:261-64,1,5,2,3,1.68,4.93,1,1,3,7.98,6.35,6.09,8.31,NA,2,3,1,2,1,1,4,1,1
B2,Batek,10.00,119.11,10.15,119.11,x,424.00,9.80,43.00,65.00,30.00,5.00,2,2,19.00,58.00,0.00,6.00,50.00,1,H,1,1531,1432,NA,46.5,40.6,NA,Eder 1987:140,1,19,58,NA,"Eder 1978:56, 1987:105",1,6,50,Eder 1984:843,1,5,NA,19.9,15.1,"Cadelina 1982:72-74; Warren 1964:28, 76",1,2,5,1,1.3,11.46,5,3,6,4.21,4.21,4.88,14.91,3.752,2,3,1,1,1,1,2,1,4
B3,Kubu,-3.04,102.69,-3.04,102.69,x,11800.00,1282.60,9.20,70.00,25.00,5.00,2,1,12.00,0.00,0.00,7.00,140.00,1,U,1,1578,1462,NA,NA,NA,NA,Volz 1909:92,1,12,NA,NA,Hagen 1908:25-28; Persoon 1989:511,1,7,140,Persoon 1989:512; Volz 1909:96-101,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,1,1,5,1,1
B4,Shompen,7.00,93.77,7.00,93.77,n,342.00,8.60,39.54,50.00,15.00,35.00,2,1,19.30,31.00,0.00,0.00,0.00,1,O,2,1594,1480.5,NA,57.9,26.355,NA,Rizvi 1990:35; Agrawal 1967:84-87,1,19.3,31,NA,Rizvi 1990:8,NA,NA,NA,NA,1,7,NA,18,15,"Rizvi 1990:20,41",1,3,5,1,0.84,10.16,6,3,4,3.75,3.75,5.33,8.56,6.332,2,3,1,1,1,1,3,1,2
B5,Onge,10.70,92.47,10.70,92.47,n,393.00,9.80,40.10,35.00,20.00,45.00,3,1,10.00,23.00,70.00,8.00,40.00,1,O,2,1491,1382,NA,44,40.9,NA,Temple 1903:54; Man 1883:73,1,10,23,70,Bose 1964:305,1,8,40,Cooper 1991,1,0,NA,NA,NA,Temple 1903:65,1,4,1,2,8.5,0.88,2,4,3,6.61,NA,3.27,7.52,0.882,2,1,1,1,1,1,1,1,1
B6,Jarwa,12.19,92.37,12.19,92.79,n,255.00,5.70,44.65,50.00,20.00,30.00,2,1,8.60,25.80,65.00,9.00,59.00,1,O,NA,NA,NA,NA,NA,NA,NA,NA,1,8.6,25.8,65,"Temple 1903:62, 77, 84",1,9,59,Temple 1903:69-90,NA,NA,NA,NA,NA,NA,1,4,1,2,NA,0.81,2,4,3,7.16,NA,NA,NA,0.272,2,1,1,1,1,1,1,1,1
B7,Ayta (Pinatubo),15.50,120.33,15.50,120.33,x,1645.00,17.90,91.89,87.00,8.00,5.00,2,2,11.00,35.00,200.00,0.10,0.00,1,H,1,1464,1388,NA,NA,NA,NA,Reed 1904:75-77,1,11,35,200,"Fox, 1952:188; Reed 1904:19",1,0.1,0.1,Reed 1904:39-43,1,8,NA,14,12,"Reed 1904:57, 60",1,2,5,1,1.04,8.33,5,3,4,3.82,3.82,2.72,8.66,2.622,2,3,1,1,1,1,1,1,3
B8,Big Andaman Island,13.32,92.89,13.32,92.89,n,464.00,13.90,33.38,60.00,35.00,5.00,2,1,11.00,43.00,80.00,12.00,76.00,1,O,NA,NA,NA,NA,NA,NA,NA,NA,1,11,43,80,Radcliffe-Brown 1948:28,1,12,,Radcliffe-Brown 1948:28,1,0,NA,20,18,Man 1883:81; Whiting 1964:529,1,4,5,1,1.09,10.49,5,3,5,3.95,3.95,2.92,11.41,4.392,2,1,1,1,1,1,4,1,1
B9,Semang,5.86,101.00,5.86,101.00,x,366.00,20.80,17.57,50.00,40.00,10.00,2,1,17.00,34.00,71.00,36.00,147.00,1,U,1,1491,1408,NA,NA,NA,NA,Skeat and Blagden 1906:575,1,17,34,71,"Schebesta 1962a:17, 220; Rambo 1985:4, 33; Brandt 1961:131-33",1,36,147,Schebesta 1962a:143-44,1,3,NA,19,14.5,"Evans 1937:250; Whiting 1964:529; Schebesta 1962a:220, 239",1,3,1,2,8.77,1.19,2,4,4,8.77,NA,5.21,10.43,0.592,2,3,1,1,1,1,4,1,1
B10,Vedda,8.58,81.25,8.28,81.25,x,72.00,3.90,18.50,65.00,30.00,5.00,2,1,14.00,29.00,72.00,3.00,36.00,2,O,2,1484,1402,NA,NA,NA,NA,Skeat and Blagden 1906:574; Bailey 1863:283,1,14,29,72,"Bailey 1863:296, 308; Seligmann and Seligmann 1911:43-44",1,3,36,Seligmann and Seligmann 1911:43-44,1,5,<,NA,14,"Spittel 1945:8,65",1,4,5,1,1.1,6.86,4,2,3,5.07,5.07,3.64,7.53,3.312,2,3,1,1,1,1,5,1,1
B11,Hill Pandaran,9.25,77.25,9.25,77.25,x,556.00,7.90,70.37,82.00,16.00,2.00,2,1,10.00,34.10,141.00,45.00,150.00,6,A3,NA,NA,NA,NA,NA,NA,NA,NA,1,10,34,141,"Morris 1982a:36-37, 174",1,45,150,"Morris 1982a:136, 174-80",1,9,NA,15,9,"Morris 1982a:150, 250",1,3,5,1,1.39,7.35,4,2,4,5.41,5.41,NA,10.24,2.161,1,3,1,1,1,1,3,1,1
B12,Agta (Casiguran),17.33,122.13,17.33,122.13,x,609.00,7.00,87.00,45.00,15.00,40.00,2,1,17.00,30.00,82.00,27.00,135.00,1,H,1,1520,1457,NA,44,37.5,NA,Headland 1986:544,1,17,30,82,Headland pers. comm. 1993,1,27,135,Headland pers. comm. 1992,1,5,<,21.7,18.4,"Headland 1986:146, 366-67",1,3,5,1,1.21,6.93,4,2,3,5.14,5.14,4.76,8.4,3.931,1,3,1,1,1,1,1,1,1
B13,Agta (Isabela),17.48,122.05,17.48,122.05,x,1644.00,39.10,42.00,35.00,20.00,45.00,3,1,12.00,21.00,70.00,10.00,170.00,1,H,1,1530,1450,NA,41,34,NA,Wastl 1957:805,1,12,21,70,"Rai 1982:63, 66, 119",1,10,170,"Rai 1982:105, 107",1,2,NA,NA,NA,Rai 1982:67,1,3,2,3,NA,5.11,1,1,2,6.22,4.48,NA,NA,2.921,1,3,1,1,1,1,1,1,1
