ID,STANDARD SOCIETY NAME Binford,Name_EA_society,EA_match_Note,HRAF_ID (OWC),eHRAF Name,# in SCCS (same time/place focus)?,# in SCCS (different time/place focus),SCCS Name,StdLng_ID_Claire_Bowern_Aus_database,Name_Claire_Bowern_Aus_database
B1,Punan,NA,"Not matched with EA society Ib9 ""Punan"" because EA society is agricultural, whereas Binford's describes HG only; refs also do not line up.",,,,,,,
B2,Batek,NA,NA,,,,,,,
B3,Kubu,Kubu,NA,,,,,,,
B4,Shompen,NA,NA,,,,,,,
B5,Onge,NA,NA,,,,,,,
B6,Jarwa,NA,NA,,,,,,,
B7,Ayta (Pinatubo),NA,NA,,,,,,,
B8,Big Andaman Island,NA,NA,,,,,,,
B9,Semang,Semang,NA,,,,,,,
B10,Vedda,Vedda,NA,,,,,,,
B11,Hill Pandaran,NA,NA,,,,,,,
B12,Agta (Casiguran),NA,NA,,,,,,,
B13,Agta (Isabela),NA,NA,,,,,,,
B14,Agta (Cagayan),NA,NA,,,,,,,
B15,Chenchu,Chenchu,NA,,,,,,,
B16,Mrabri,NA,NA,,,,,,,
B17,Paliyans,NA,NA,,,,,,,
B18,Birhor,NA,NA,,,,,,,
B19,Kadar,NA,NA,,,,,,,
B20,Cholanaickan,NA,NA,,,,,,,
B21,Nayaka,NA,NA,,,,,,,
B22,Ainu,Ainu,NA,,,,,,,
B23,Orogens,NA,NA,,,,,,,
B24,Ket,Ket,NA,,,,,,,
B25,Gilyak,Gilyak,NA,,,,,,,
B26,Yukaghir,Yukaghir,NA,,,,,,,
B27,Nganasan,Nganasan,NA,,,,,,,
B28,Siberian Eskimo,Ungazikmit,"Some uncertainty re: EA society match, but Krupnik reference used for both",,,,,,,
B35,Paraujano,Paraujano,NA,,,,,,,
B36,Shiriana,Shiriana,NA,,,,,,,
B37,Akuriyo,NA,NA,,,,,,,
B38,Yaruro-Pume,Yaruro,NA,,,,,,,
B39,Guahibo,Guahibo,NA,,,,,,,
B40,Nukak,NA,NA,,,,,,,
B41,Bororo,Bororo,NA,,,,,,,
B42,Guato,Guato,NA,,,,,,,
B43,Siriono,Siriono,NA,,,,,,,
B44,Yuqui,NA,NA,,,,,,,
B45,Nambikwara,Nambicura,NA,,,,,,,
B46,Calusa,NA,NA,,,,,,,
B47,Guayaki (Ache),NA,NA,,,,,,,
B48,Botocudo,Botocudo,NA,,,,,,,
B49,Heta,NA,NA,,,,,,,
B50,Aweikomo,Aweikoma,NA,,,,,,,
B51,Tehuelche,Tehuelche,NA,,,,,,,
B52,Chono,NA,NA,,,,,,,
B53,Alacaluf,Alacaluf,NA,,,,,,,
B54,Ona,Ona,NA,,,,,,,
B55,Yaghan,Yahgan,NA,,,,,,,
B60,Aka,NA,NA,,,,,,,
B61,Bayaka,NA,NA,,,,,,,
B62,Bambote,NA,NA,,,,,,,
B63,Baka,NA,NA,,,,,,,
B64,Efe,NA,NA,,,,,,,
B65,Mbuti,Mbuti,NA,,,,,,,
B66,Mikea,NA,NA,,,,,,,
B67,Hukwe,NA,NA,,,,,,,
B68,Hai//om,NA,NA,,,,,,,
B69,Hadza,Hatsa Kindiga,NA,,,,,,,
B70,Dorobo,Dorobo,NA,,,,,,,
B71,Sekele,NA,NA,,,,,,,
B72,!Kung,NA,NA,,,,,,,
B73,Nharo,Naron,NA,,,,,,,
B74,G/wi,NA,NA,,,,,,,
B75,Kua,NA,NA,,,,,,,
B76,!Ko,NA,NA,,,,,,,
B77,/Auni-Khomani,NA,NA,,,,,,,
B78,//Xegwi,NA,NA,,,,,,,
B79,/Xam,Xam,NA,,,,,,,
B82,Kaurareg,NA,NA,,,,,,,
B83,Larikia,NA,NA,,,,,,,
B84,Gunwinggu,NA,NA,,,,,,,
B85,Mirrngadja,NA,NA,,,,,,,
B86,Anbarra,NA,NA,,,,,,,
B87,Gidjingali,Gidjingali,NA,,,,,,,
B88,Murngin,Murngin,NA,,,,,,,
B89,Jeidji,NA,NA,,,,,,,
B90,Wikmunkan,Wikmunkan,NA,,,,,,,
B91,Kakadu,NA,NA,,,,,,,
B92,Nunggubuyu,NA,NA,,,,,,,
B93,Yintjingga,NA,NA,,,,,,,
B94,Yir-yoront,Yir Yoront,NA,,,,,,,
B95,Tiwi,Tiwi,NA,,,,,,,
B96,Kuku (Yalanji),NA,NA,,,,,,,
B97,Groote Eylandt,Groote Eylandt,NA,,,,,,,
B98,Walmbaria,NA,NA,,,,,,,
B99,Mulluk,NA,NA,,,,,,,
B100,Worora,NA,NA,,,,,,,
B101,Lungga,NA,NA,,,,,,,
B102,Lardil,NA,NA,,,,,,,
B103,Kaiadilt,NA,NA,,,,,,,
B104,Karadjeri,NA,NA,,,,,,,
B105,Mamu,NA,NA,,,,,,,
B106,Kariera,Kariera,NA,,,,,,,
B107,Warunggu,NA,NA,,,,,,,
B108,Djaru,NA,NA,,,,,,,
B109,Walbiri,Walbiri,NA,,,,,,,
B110,Ngatjan,NA,NA,,,,,,,
B111,Mardudjara,NA,NA,,,,,,,
B112,Ildawongga,NA,NA,,,,,,,
B113,Pintubi,NA,NA,,,,,,,
B114,Undanbi,NA,NA,,,,,,,
B115,Jinibarra,NA,NA,,,,,,,
B116,Karuwali,NA,NA,,,,,,,
B117,Alyawara,NA,NA,,,,,,,
B118,Ngatatjara,NA,NA,,,,,,,
B119,Badjalang,NA,NA,,,,,,,
B120,Pitjandjara,NA,NA,,,,,,,
B121,Dieri,Dieri,NA,,,,,,,
B122,Southern Arenda,NA,NA,,,,,,,
B123,Jankundjara,NA,NA,,,,,,,
B124,Northern Arenda,Aranda,NA,,,,,,,
B125,Ualarai,NA,NA,,,,,,,
B126,Nakako,NA,NA,,,,,,,
B127,Ooldea,NA,NA,,,,,,,
B128,Barkindji,NA,NA,,,,,,,
B129,Kaurna,NA,NA,,,,,,,
B130,Wongaibon,Wongaibon,NA,,,,,,,
B131,Jaralde,NA,NA,,,,,,,
B132,Mineng,NA,NA,,,,,,,
B133,Tjapwurong,NA,NA,,,,,,,
B134,Bunurong,NA,NA,,,,,,,
B135,Kurnai,NA,NA,,,,,,,
B136,Tasmanians (eastern),NA,"Some uncertainty - not clear which tasmanian society should be matched to ""Tasmanians"" in EA; done based on GIS",,,,,,,
B137,Tasmanians (western),Tasmanians,"Some uncertainty - not clear which tasmanian society should be matched to ""Tasmanians"" in EA; done based on GIS",,,,,,,
B143,Seri,Seri,NA,,,,,,,
B144,Cahuilla,Cahuilla,NA,,,,,,,
B145,Cupeno,Cupeno,NA,,,,,,,
B146,Kiliwa,Kiliwa,NA,,,,,,,
B147,Diegueno,Diegueno,NA,,,,,,,
B148,Lake Yokuts,Lake Yokuts,NA,,,,,,,
B149,Serrano,Serrano,NA,,,,,,,
B150,Luiseno,Luiseno,NA,,,,,,,
B151,Wukchumi,Wukchumni,NA,,,,,,,
B152,Tubatulabal,Tubatulabal,NA,,,,,,,
B153,Nomlaki,Nomlaki,NA,,,,,,,
B154,Yokuts (northern foothill),NA,NA,,,,,,,
B155,Patwin,Patwin,NA,,,,,,,
B156,Gabrieleno,Gabrielo,NA,,,,,,,
B157,Monache,Monachi,NA,,,,,,,
B158,Eastern Pomo,Eastern Pomo,NA,,,,,,,
B159,Clear Lake Pomo,NA,"Some uncertainty, could be matched to EA society ""Eastern Mono"", but that was assigned to Binford's ""Eastern Mono""",,,,,,,
B160,Wintu,Wintu,NA,,,,,,,
B161,Chumash,Chumash,NA,,,,,,,
B162,Chimariko,Chimariko,NA,,,,,,,
B163,Nisenan,Nisenan,NA,,,,,,,
B164,Salinan,Salinan,NA,,,,,,,
B165,Southern Pomo,Southern Pomo,NA,,,,,,,
B166,Sinkyone,Sinkyone,NA,,,,,,,
B167,Lassik,Lassik,NA,,,,,,,
B168,Coast Miwok,NA,NA,,,,,,,
B169,Mattole,Mattole,NA,,,,,,,
B170,Lake Miwok,Lake Miwok,NA,,,,,,,
B171,Yuki Proper,NA,NA,,,,,,,
B172,Wappo,Wappo,NA,,,,,,,
B173,Nothern Pomo,Northern Pomo,NA,,,,,,,
B174,Northern Yana,Yana,NA,,,,,,,
B175,Sierra Miwok,Miwok,NA,,,,,,,
B176,Tekelma,Takelma,NA,,,,,,,
B177,Coast Yuki,Yuki,NA,,,,,,,
B178,Tolowa,Tolowa,NA,,,,,,,
B179,Shasta,Shasta,NA,,,,,,,
B180,Hupa,Hupa,NA,,,,,,,
B181,Tututni,Tututni,NA,,,,,,,
B182,Karok,Karok,NA,,,,,,,
B183,Atsugewi,Atsugewi,NA,,,,,,,
B184,Wiyot,Wiyot,NA,,,,,,,
B185,Mountain Maidu,Maidu,NA,,,,,,,
B186,Yurok,Yurok,NA,,,,,,,
B187,Achomawi,Achomawi,NA,,,,,,,
B188,Modoc,Modoc,NA,,,,,,,
B189,Klamath,Klamath,NA,,,,,,,
B190,Guaicura,NA,NA,,,,,,,
B191,Chichimec,Chichimec,NA,,,,,,,
B192,Death Valley Shoshoni,NA,NA,,,,,,,
B193,Karankawa,Karankawa,NA,,,,,,,
B194,Coahuilenos,Coahuilteco,NA,,,,,,,
B195,Panamint Shoshoni,Panamint,NA,,,,,,,
B196,Yavapai,Yavapai,NA,,,,,,,
B197,Koso Mountain Shoshoni,Koso,NA,,,,,,,
B198,Walapai,Walapai,NA,,,,,,,
B199,Kawaiisu Shoshoni,Kawaiisu,NA,,,,,,,
B200,Saline Valley Shoshoni,NA,NA,,,,,,,
B201,Antarianunts Southern Paiute,Antarianunts,NA,,,,,,,
B202,Owens Valley Paiute (Eastern Mono),Eastern Mono,NA,,,,,,,
B203,Kawich Mountain Shoshoni,NA,NA,,,,,,,
B204,Kaibab Souther Paiute,Kaibab,NA,,,,,,,
B205,Mono Lake Paiute,NA,NA,,,,,,,
B206,Deep Springs Paiute,Tunava,NA,,,,,,,
B207,Salmon Eater Shoshoni,NA,NA,,,,,,,
B208,Kuyuidokado (Pyramid Lake Paiute),Kuyuidokado,NA,,,,,,,
B209,Ute-timanogas,NA,NA,,,,,,,
B210,Cattail Paiute,Toedokado,NA,,,,,,,
B211,Fish Lake Paiute,NA,"Some uncertainty, could be matched to Nd29, but that was assigned to Deep Springs Paiute",,,,,,,
B212,Honey Lake Paiute,NA,NA,,,,,,,
