EA_ID,Society_name_EA,Harmonized_society_name,EA_Alternate_name,EA_revisedFocalYear,EA_references
Aa1,Kung  ,!Kung,Kung Bushmen,1950,"1.Principal Authority(ies)
Marshall, J. 1957. Ecology of the !Kung Bushmen. Senior Honors Thesis, Harvard.
Marshall, L. 1960. !Kung Bushman Bands. Africa 30: 325-355.
Marshall, L. 1962. !Kung Bushman Religious Beliefs. Africa 32:221-252.
Marshall, J. 1958. Man as a Hunter. Natural History 67(6): 291-309, (7):376-395.
Marshall, L. 1959. Marriage among !Kung Bushmen. Africa 29: 335-364.
Marshall, Lawrence, and Lorna Marshall. 1956. !Kung Bushmen of South West Africa. South West Africa Annual 1956: 11-23.
Marshall, L. 1957b. N!ow. Africa 27: 232-240.
Marshall, L. 1961. Sharing, Talking and Giving. Africa 31: 231-249. Reprinted in R. B. Lee and I. DeVore 1976. (below).
Marshall, J. 1956. The Hunters. Somerville, Mass. (Film)
Marshall, L. 1957a. The Kin Terminology System of the !Kung Bushmen. Africa 27: 1-25.
Marshall, L. 1965. The !Kung Bushmen of the Kalahari Desert. Peoples of Africa, ed. J. L. Gibbs, Jr., pp. 241-278. New York.
Marshall, L(orna). 1976. The !Kung of Nyae Nyae. Cambridge, Mass.
Thomas, E. M. 1959. The Harmless People. New York,Alfred A. Knopf.
2.Other Dependable Primary Sources
Biesele, M. 1975. Folklore and Ritual of !Kung Hunter-gatherers. Ph. D. Dissertation, Harvard. [Dobe !Kung].
Biesele, M. 1972. Hunting in semi-arid areas - the Kalahari Bushmen Today. Botswana Notes and Records (special ed.).
Biesele, M. in press. !Kung Folklore. Cambridge, Mass. [Dobe].
Draper, P. 1972. !Kung Bushman Childhood. Ph. D. Dissertation. Harvard. [Dobe !Kung].
Draper, P. (forthcoming). !Kung Subsistence Work at /Du/da.
Draper, P. 1975. !Kung Women: contrasts in Sexual Egalitarianism in the foraging and sedentary contexts. Toward an Anthropology of Women, ed. R. Reiter, pp. 77-109. New York. [Dobe !Kung].
Hansen, J. D. L., A. S. Truswell, C. Freeseman, and B. MacHutchon. 1969. The Children of Hunting and Gathering Bushmen. South African Medical Journal 43: 1158. [Dobe !Kung].
Harpending, H. C. 1971. !Kung Hunter-Gatherer Population Structure. Ph. D. Dissertation. Harvard. [Dobe !Kung].
Howell, N. 1979. Demography of the Dobe Area !Kung. New York.
Howell, N. n.d. Estimating Absolute Age in a Remote and Nonliterate Population. Princeton. MS.
Konner, M. J. 1972. Aspects of the Developmental Ethology of a Foraging People. Ethological Studies of Child Behavior, ed. N. G. Blurton Jones. Cambridge.
Konner, M. J. in press. Infancy among the Kalahari Desert San. Cultural and Social Influences in Infancy and Early Childhood, ed. P. H. Leiderman and S. Tulkin. Stanford.
Konner, M. J. 1971. Infants of a Foraging People. Mulch 1: v 44-73. [Dobe !Kung].
Konner, M. J. 1973. Infants of a Foraging People. Ph. D. Dissertation. Harvard.
Lee, R. B., and Irven DeVore, eds. 1976. Kalahari Hunterp-Gatherers. Cambridge, Mass. [Dobe !Kung: Chapters 1-3, 6-14].
Lee, R. B. 1974. Male-Female Residence Arrangements and Political Power in Human Hunter-Gatherers. Archives of Sexual Behavior 3: 167-173.
Lee, R. B. 1966. Subsistence Ecology of !Kung Bushmen. Ph. D. Dissertation, University of California, Berkeley.
Lee, R. B. 1972. The !Kung Bushmen in Botswana. Hunters and Gatherers Today, ed. M. Bicchieri. pp. 327-368. New York.
Lee, R. B. 1979. The !Kung San. Cambridge. [Dobe !Kung].
Lee, R. B. 1968. What Hunters do for a Living. Man the Hunter, ed. R. B. Lee and I. DeVore, eds., pp. 30-48. Chicago.
Shostak, M. 1981. Nisa. Cambridge, Mass. [Dobe !Kung].
Tobias, P. (ed.). 1978. San Hunters and Herders of Southern Africa. Cape Town.
3.Auxiliary Primary Sources
Schapera, I. 1930. The Khoisan Peoples of South Africa. London."
Aa2,Dorobo,Dorobo,"Andorobo, Okiek, Wandorobbo",1920,"Huntingford, G. W. B.  1951.  The Social Institutions of the Dorobo.  Anthropos 46:  1-48.
Huntingford, G. W. B.  1942.  The Social Organization of the Dorobo.  Afr. Studies 1:  183-200.
Huntingford, G. W. B.  1954.  The Political Organization of the Dorobo. Anthropos 49:  123-148.                                                                                                                                                                                       Dorobo of the North Tindiret Forest band (0 10'N, 35 30'E) in 1927.
Huntingford, G. W. B.  1955.  The Economic Life of the Dorobo.  Anthropos 50:  602-634.
Huntingford, G. W. B.  1953.  The Southern Nilo-Hamites.  London.
Huntingford, G. W. B.  1929.  Modern Hunters.  Journal of the Royal Anthropological Institute 59:  333-378.
"
Aa3,Nama,Nama,NA,1840,"1. Principal Authority(ies)
Schultze, L. 1907. Aus Namaland und Kalahari. Jena.
2. Other Dependable Primary Sources
Hoernl‚ A. W. 1918. Certain Rites of Transition and the Conception of !Nau among the Hottentots. Harvard African Studies 2:65-82.
Hoernl, A. W. 1925. The Social Organization of the Nama Hottentots. American Anthropologist, n.s., 27: 1-24.
4. Useful Secondary Sources
Murdock, G. P. 1934. Our Primitive Contemporaries, pp. 475-507. New York.
Schapera, I. 1930. The Khoisan Peoples of South Africa. London.
5. Other Sources
Kohler, C. 1970. A new contribution to Nama Studies. African Studies 29: 279-285.
"
Aa4,Bergdama,Bergdama,"Hakouin, Mountain Damara",1920,"Vedder, H.  1923.  The Bergdama.  Hamburg.
Lebzelter, V.  1934.  Eingeborenenkulturen in Sudwest-und Sudafrika.  Leipzig.
Schmidt, M.  1930.  Die Nama, Bergdama und Namib-Buschleute.  Das Eingeborenenrecht, ed. Schultz-Ewerth and Adam 2: 269-397.
"
Aa5,Mbuti,Mbuti,Mbuti Pygmies,1930,"1. Principal Authority(ies)
Putnam, P. 1948. Thå Pygmies of the Ituri Forest. A Reader in General Anthropology, ed. C. S. Coon, pp. 322-342. New York.
Turnbull, C. M. 1961. The Forest People. New York.
Turnbull, C. M. 1983. The Mbuti Pygmies: Change and Adaptation. New York.
Turnbull, C. M. 1965b. The Mbuti Pygmies. Anthropological Papers of the American Museum of Natural History 50:iii, 1-282.
Turnbull, C. M. 1965c. The Mbuti Pygmies of the Congo. Peoples of Africa, ed. J. L. Gibbs, Jr., pp. 279-317. New York.
Turnbull, C. M. 1965a. Wayward Servants. Garden City, N.Y.
3. Auxiliary Primary Sources
De Leeuwe, J. 1966. Development in Bambuti society. Antropos 61: 737-763. (German).
4. Useful Secondary Sources
Hart, J. A. 1978. From Subsistence to Market: A case study of the Mbuti net hunters. Human Ecology 6(3): 325-353.

"
Aa6,Sandawe,Sandawe,Wasandaui,1920,"Dempwolff, O.  1916.  Die Sandawe.  Hamburg.
Kimmenade, M. van de.  1936.  Les Sandawe.  Anthropos 31: 395-416.
Huntingford, G. W. B.  2953.  The Southern Nilo-Hamites. London.
"
Aa7,Naron,Naron,Aikwe,1910,"Bleek, D. C.  1924.  Bushman Terms of Relationship.  Bantu Stud. 2: 57-70.
Bleek, D. C.  1928.  The Naron.  Cambridge.
Passarge, S.  1907.  Die Buschmanner der Kalahari. Berlin.
Schapera, I.  1930  The Khoisan peoples of South Africa, London.  Routledge and Kegan Paul.
"
Aa8,Xam,Xam,Cape Bushman,1850,"Barrow, J.  1801-04.  An Account of Travels into the Interior of South Africa.  2V. London.
Bleek, D. F.  1924.  Bushman Terms of Relationship.  Bantu Studies 2: 57-70.
Fritsch, G. T.  1872.  Die Eingeborenen Sud-Afrika's. Breslau.
"
Aa9,Hatsa Kindiga,Hatsa Kindiga,Hadza,1910,"1. Principal Authority(ies)
Kohl-Larsen, L. 1958. Wildbeuter in Ostafrika. Berlin.
Woodburn, J. 1968. An Introduction to Hadza Ecology. Man the Hunter, ed. R. B. Lee and I. DeVore, pp. 49-55. Chicago.
Woodburn, J. 1970. Hunters and Gatherers: the Material Cultures of the Nomadic Hadza. London.
Woodburn, J. 1968. Stability and Flexibility in Hadza Residential Groupings. Man the Hunter, ed. R. B. Lee and I. DeVore, pp. 103-110. Chicago.
Woodburn, J. 1964. The Social Organization of the Hadza of North Tanzania. Ph.D. dissertation, University of Cambridge.
2. Other Dependable Primary Sources
Bleek, D. F. 1931. The Hadzapi or Watindiga of Tanganyika Territory. Africa 4:273-286."
Ab1,Herero,Herero,"Damara, Ovaherero",1900,"Irle, J.  1906.  Die Herero.  Gutersloh.
Vedder, H.  1928.  The Herero.  Native Tribes of South West Africa, pp. 153-211.  Cape Town.
"
