EA_id,Society_name_EA,v107,v112,v113,v114,v100,v102,v104,v106,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id7,Murinbata, MURINBATA ,NA,NA,NA,0,1940,-14,130,7,2,1,0,0,0,0,4,6,9,1,8,3,1,6,1,6,4,1,9,9,9,11,6,10,5,5,1,1,1,1,2,1,1,0,0,6,0,1,1,1,1,1,9,9,0,9,0,0,6,1,2,9,9,9,9,0,9,0,0,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , d ,7,0,84,99,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ig15,Bakovi, BAKOVI. . ,NA,NA,NA,0,1950,-5,150,2,1,2,1,4,0,0,7,0,9,1,8,9,11,0,0,4,9,1,9,9,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , g ,15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eh10,Betsileo, BETSILEO. ,NA,NA,NA,0,NA,-22,47,0,0,0,2,8,3,8,7,6,9,1,8,9,11,3,9,4,9,1,9,9,9,7,8,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, E , h ,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ia17,Bilaan, BILAAN. . ,NA,NA,NA,0,1910,6,125,0,1,1,1,7,1,8,2,2,9,2,6,9,11,0,0,1,9,1,9,1,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , a ,17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ia18,Bisayan, BISAYAN . ,NA,NA,NA,0,1950,10,123,0,0,1,1,8,6,8,1,1,9,2,6,2,2,3,9,1,9,1,9,2,9,7,8,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , a ,18,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ig16,Bwaidoga, BWAIDOGA. ,NA,NA,NA,0,1950,-9,150,0,0,3,1,6,0,0,8,0,9,1,10,3,1,0,0,1,9,1,9,4,9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , g ,16,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ih12,Eromangans, EROMANGAN ,NA,NA,NA,0,1920,-19,169,0,0,4,1,5,1,8,2,2,9,1,8,9,11,6,1,3,9,1,9,9,9,8,7,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , h ,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ic13,Kodi, KODI. . . ,NA,NA,NA,0,1950,-10,119,0,0,0,2,8,1,8,0,0,9,1,8,9,11,6,1,4,9,3,9,9,9,1,4,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , c ,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ig17,Koobe, KOOBE . . ,NA,NA,NA,0,1950,-5,149,0,0,7,0,3,1,8,7,0,9,1,8,9,11,2,9,4,9,1,9,9,9,1,4,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, I , g ,17,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ei20,Kuki, KUKI. . . ,NA,NA,NA,0,1940,23,92,0,1,0,2,7,1,8,6,6,9,1,8,9,11,6,1,6,3,1,9,9,9,6,4,15,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, E , i ,20,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
