ID,Society_name_EA,EA_ID corresponding to Ember concordance database,HRAF_ID (OWC),eHRAF Name,# in SCCS (same time/place focus)?,# in SCCS (different time/place focus),SCCS Name,StdLng_ID_Claire_Bowern_Aus_database,Name_Claire_Bowern_Aus_database,Binford_ID,Name_Binford,Notes_EA_Binford_match,,,,,
Id7,Murinbata,Id07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig15,Bakovi,Ig15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Eh10,Betsileo,Eh10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ia17,Bilaan,Ia17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ia18,Bisayan,Ia18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig16,Bwaidoga,Ig16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ih12,Eromangans,Ih12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ic13,Kodi,Ic13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig17,Koobe,Ig17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ei20,Kuki,Ei20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig18,Kwaio,Ig18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig19,Molima,Ig19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
If10,Nomoians,If10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ib9,Punan,Ib09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ig8,Simboese,Ig08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ie34,Bgu,Ie34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ih11,Epi,Ih11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ih13,Ranon,Ih13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ie36,Samarokena,Ie36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ie37,Star Mountain,Ie37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ab21b,Bomvana,Ab21b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ac43,Mambwe,Ac43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ef10,Bihari,Ef10,AW02,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ca43,Hadendowa,Ca43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Ee7,Kachari,Ee07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
