id,name,family_id,family_name,iso_code,language_id,macroarea,lineage,level
3adt1234,3Ad-Tekles,afro1255,Afro-Asiatic,,tigr1270,,afro1255/semi1276/west2786/ethi1244/tigr1276/tigr1277/tigr1270/nort3292,dialect
aala1237,Aalawa,aust1307,Austronesian,,ramo1244,Papunesia,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/kand1307/ramo1244,dialect
aant1238,Aantantara,nucl1709,Nuclear Trans New Guinea,,nort2920,Papunesia,nucl1709/kain1273/kain1274/tair1260/nort2920,dialect
aari1238,Aari-Gayil,sout2845,South Omotic,aiz,,,sout2845/ahkk1235,family
aari1239,Aari,sout2845,South Omotic,aiw,aari1239,Africa,sout2845/ahkk1235/aari1238,language
aari1240,Aariya,book1242,Bookkeeping,aay,aari1240,Eurasia,book1242,language
aasa1238,Aasax,afro1255,Afro-Asiatic,aas,aasa1238,Africa,afro1255/cush1243/sout3054/unun9872,language
aasd1234,Aasdring,indo1319,Indo-European,,nort2626,,indo1319/germ1287/nort3152/west2793/nort3175/angl1264/fris1239/nort2626/insu1255/fohr1234/ferr1240,dialect
aata1238,Aatasaara,nucl1709,Nuclear Trans New Guinea,,sout2943,Papunesia,nucl1709/kain1273/kain1274/tair1260/sout2943,dialect
abaa1238,Rngaba,sino1245,Sino-Tibetan,,amdo1237,Eurasia,sino1245/bodi1256/bodi1257/oldm1245/tibe1276/amdo1237/hbro1238/nort3305,dialect
abab1239,Ababda,afro1255,Afro-Asiatic,,beja1238,Africa,afro1255/cush1243/beja1238,dialect
abab1240,Ababuan,atla1278,Atlantic-Congo,,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281,family
abad1240,Abadzex,abkh1242,Abkhaz-Adyge,,adyg1241,Eurasia,abkh1242/circ1239/adyg1241,dialect
abad1241,Abadi,aust1307,Austronesian,kbt,abad1241,Papunesia,aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850,language
abag1245,Abaga,nucl1709,Nuclear Trans New Guinea,abg,abag1245,Papunesia,nucl1709/kain1273/goro1272/nucl1760/nucl1756/kama1374/unun9976,language
abai1239,Abai,aust1307,Austronesian,,lund1271,Papunesia,aust1307/mala1545/nort3253/nort3171/kela1257/lund1271,dialect
abai1240,Abai Sungai,aust1307,Austronesian,abf,abai1240,Papunesia,aust1307/mala1545/nort3253/sout3154/grea1293/pait1248,language
abai1241,Abai Tubu-Abai Sembuak,aust1307,Austronesian,,abai1241,Eurasia,aust1307/mala1545/nort3253/sout3154/grea1294/muru1275,language
abak1242,Abak,atla1278,Atlantic-Congo,,anaa1238,Africa,atla1278/volt1241/benu1247/delt1251/obol1242/cent2253/efik1244/anaa1238,dialect
abak1243,Abaka,aust1307,Austronesian,,ilon1239,Papunesia,aust1307/mala1545/nort3238/meso1254/sout3211/sout2907/ilon1239,dialect
abal1238,Abaletti,yele1255,Yele,,yele1255,Papunesia,yele1255,dialect
abam1239,Abam,east2503,Eastern Trans-Fly,,wipi1242,Papunesia,east2503/wipi1242,dialect
aban1242,Abanyom,atla1278,Atlantic-Congo,abm,aban1242,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/ekoi1237/ekoi1236/ejag1240/bako1254/aban1244,language
aban1243,Abancay,quec1387,Quechuan,,east2551,South America,quec1387/quec1388/quec1389/cusc1235/east2551,dialect
aban1244,Abanyom-Ekajuk,atla1278,Atlantic-Congo,,,,atla1278/volt1241/benu1247/bant1294/sout3152/ekoi1237/ekoi1236/ejag1240/bako1254,family
abar1238,Mungbam,atla1278,Atlantic-Congo,mij,abar1238,Africa,atla1278/volt1241/benu1247/bant1294/sout3152,language
abau1245,Abau,sepi1257,Sepik,aau,abau1245,Papunesia,sepi1257,language
abaw1238,Abawa,atla1278,Atlantic-Congo,,gupa1248,Africa,atla1278/volt1241/benu1247/ebir1244/nupe1252/nupo1239/dibo1249/dibo1250/kami1262/gupa1248,dialect
abay1238,Abayongo,atla1278,Atlantic-Congo,,agwa1247,Africa,atla1278/volt1241/benu1247/delt1251/uppe1418/cent2027/nort2790/ubag1244/kohu1243/agwa1247,dialect
abaz1241,Abaza,abkh1242,Abkhaz-Adyge,abq,abaz1241,Eurasia,abkh1242/abkh1243,language
abbe1238,Abbey-Ve,atla1278,Atlantic-Congo,,abee1242,Africa,atla1278/volt1241/kwav1236/nyoa1234/agne1238/abee1242,dialect
abbr1238,Abbruzzesi,indo1319,Indo-European,,sint1235,Eurasia,indo1319/indo1320/indo1321/indo1322/roma1329/roma1330/nort3197/sint1235,dialect
abda1238,'Abd Al-Kuri,afro1255,Afro-Asiatic,,soqo1240,Eurasia,afro1255/semi1276/west2786/mode1252/east2766/soqo1240,dialect
abed1238,Abedju-Azaki,cent2225,Central Sudanic,,lugb1240,Africa,cent2225/moru1252/cent2043/lugb1240,dialect
abee1242,Abé,atla1278,Atlantic-Congo,aba,abee1242,Africa,atla1278/volt1241/kwav1236/nyoa1234/agne1238,language
abee1243,Abe (Anyin),atla1278,Atlantic-Congo,,anyi1245,Africa,atla1278/volt1241/kwav1236/nyoa1234/poto1254/tano1248/cent2262/biaa1238/nort2767/anyi1246/anyi1245,dialect
abel1234,Abellen-Botolan,aust1307,Austronesian,,,,aust1307/mala1545/cent2080/samb1319,family
aben1247,Abeng,sino1245,Sino-Tibetan,,garo1247,Eurasia,sino1245/brah1260/bodo1279/garo1247,dialect
aben1248,A'beng,sino1245,Sino-Tibetan,,garo1247,Eurasia,sino1245/brah1260/bodo1279/garo1247,dialect
aben1249,Abenlen Ayta,aust1307,Austronesian,abp,aben1249,Papunesia,aust1307/mala1545/cent2080/samb1319/abel1234,language
abgu1238,Abgue,afro1255,Afro-Asiatic,,birg1239,Africa,afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240/birg1239,dialect
abid1235,Abidji,atla1278,Atlantic-Congo,abi,abid1235,Africa,atla1278/volt1241/kwav1236/nyoa1234/agne1238,language
abie1238,Abiem,nilo1247,Nilotic,,sout2832,Africa,nilo1247/west2493/dink1261/dink1262/sout2832,dialect
abig1238,Abigar,nilo1247,Nilotic,,nuer1246,Africa,nilo1247/west2493/dink1261/nuer1245/nuer1246,dialect
abil1238,Abiliang,nilo1247,Nilotic,,nort2815,Africa,nilo1247/west2493/dink1261/dink1262/nort2815,dialect
abin1242,Abini,atla1278,Atlantic-Congo,,agwa1247,Africa,atla1278/volt1241/benu1247/delt1251/uppe1418/cent2027/nort2790/ubag1244/kohu1243/agwa1247,dialect
abin1243,Abinomn,,,bsa,abin1243,Papunesia,,language
abip1241,Abipon,guai1249,Guaicuruan,axb,abip1241,South America,guai1249/guai1250,language
abis1238,Aewa,,,ash,abis1238,South America,,language
abka1238,Abkar,maba1274,Maban,,maba1277,Africa,maba1274/maba1275/maba1276/nucl1441/maba1277,dialect
abkh1242,Abkhaz-Adyge,,,,,,,family
abkh1243,Abkhaz-Abaza,abkh1242,Abkhaz-Adyge,,,,abkh1242,family
abkh1244,Abkhazian,abkh1242,Abkhaz-Adyge,abk,abkh1244,Eurasia,abkh1242/abkh1243,language
able1237,Ableg-Salegseg,aust1307,Austronesian,,lubu1243,Papunesia,aust1307/mala1545/nort3238/meso1254/sout3211/cent2296/nort3240/kali1310/kali1311/cent2282/lubu1243,dialect
abob1234,Abo-Barombi,atla1278,Atlantic-Congo,,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/bant1295/basa1283,family
abom1238,Abom,anim1240,Anim,aob,abom1238,Papunesia,anim1240/tiri1259,language
abon1238,Abon,atla1278,Atlantic-Congo,abo,abon1238,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/tivo1239/nort3192,language
aboo1241,Abo (Bokyi),atla1278,Atlantic-Congo,,boky1238,Africa,atla1278/volt1241/benu1247/bant1294/sout3152/bend1256/boky1238,dialect
aboo1242,Abo,atla1278,Atlantic-Congo,,ukwu1241,Africa,atla1278/volt1241/benu1247/igbo1258/igbo1259/ukwu1241,dialect
abou1238,Abou Charib,tama1329,Tamaic,,mara1396,Africa,tama1329/mara1396,dialect
