iso_693-3,id,name,level,status,parent_id,latitude,longitude,iso_code_glottolog,iso_693-3,iso_change_note,wals_codes
,aala1237,Aalawa,dialect,,ramo1244,,,,,,
,aant1238,Aantantara,dialect,,nort2920,,,,,,
,aari1238,Aari-Gayil,family,established,ahkk1235,,,,,,
aiw,aari1239,Aari,language,established,aari1238,5.95034,36.5721,aiw,aiw,,aar
aas,aasa1238,Aasax,language,established,uncl1457,-4.00679,36.8648,aas,aas,,
,aata1238,Aatasaara,dialect,,sout2943,,,,,,
,abaa1238,Aba,dialect,,tibe1272,,,,,,
,abab1239,Ababda,dialect,,beja1238,,,,,,
,abab1240,Ababuan,family,established,narr1281,,,,,,
,abad1240,Abadzex,dialect,,adyg1241,,,,,,
kbt,abad1241,Abadi,language,established,west2850,-9.03389,146.992,kbt,kbt,,
abg,abag1245,Abaga,language,established,kama1374,-6.12028,145.665,abg,abg,,
,abai1239,Abai,dialect,,puto1237,,,,,,
abf,abai1240,Abai Sungai,language,established,pait1248,5.55394,118.306,abf,abf,,
,abai1241,Abai Tubu-Abai Sembuak,language,established,muru1275,,,,,,
,abak1242,Abak,dialect,,anaa1238,,,,,,
,abak1243,Abaka,dialect,,ilon1239,,,,,,
,abal1238,Abaletti,dialect,,yele1255,,,,,,
,abam1239,Abam,dialect,,wipi1242,,,,,,
abm,aban1242,Abanyom,language,established,aban1244,6.30619,8.63055,abm,abm,,
,aban1243,Abancay,dialect,,east2551,,,,,,
,aban1244,Abanyom-Ekajuk,family,established,efut1243,,,,,,
mij,abar1238,Abar,language,established,sout3152,6.5805,10.2267,mij,mij,,
aau,abau1245,Abau,language,established,sepi1257,-3.97222,141.324,aau,aau,,aba
,abaw1238,Abawa,dialect,,gupa1248,,,,,,
,abay1238,Abayongo,dialect,,agwa1247,,,,,,
abq,abaz1241,Abaza,language,established,abkh1243,41.1214,42.7273,abq,abq,,abz
,abbe1238,Abbey-Ve,dialect,,abee1242,,,,,,
,abbr1238,Abbruzzesi,dialect,,sint1235,,,,,,
,abda1238,'Abd Al-Kuri,dialect,,soqo1240,,,,,,
,abed1238,Abedju-Azaki,dialect,,lugb1240,,,,,,
aba,abee1242,Abé,language,established,agne1238,5.59682,-4.38497,aba,aba,,
,abee1243,Abe (Anyin),dialect,,anyi1245,,,,,,
,abel1234,Abellen-Botolan,family,established,samb1319,,,,,,
,aben1247,Abeng,dialect,,garo1247,,,,,,
,aben1248,A'beng,dialect,,garo1247,,,,,,
abp,aben1249,Abenlen Ayta,language,established,abel1234,15.4131,120.2,abp,abp,,
,abgu1238,Abgue,dialect,,birg1239,,,,,,
abi,abid1235,Abidji,language,established,agne1238,5.65656,-4.58421,abi,abi,,abd
,abie1238,Abiem,dialect,,sout2832,,,,,,
,abig1238,Abigar,dialect,,nuer1246,,,,,,
,abil1238,Abiliang,dialect,,nort2815,,,,,,
,abin1242,Abini,dialect,,agwa1247,,,,,,
bsa,abin1243,Abinomn,language,established,,-2.92281,138.891,bsa,bsa,,
axb,abip1241,Abipon,language,established,guai1250,-29,-61,axb,axb,,abi
ash,abis1238,Aewa,language,established,,-0.69386,-75.2183,ash,ash,,
,abka1238,Abkar,dialect,,maba1277,,,,,,
,abkh1242,Abkhaz-Adyge,family,established,,,,,,,
,abkh1243,Abkhaz-Abaza,family,established,abkh1242,,,,,,
abk,abkh1244,Abkhazian,language,established,abkh1243,42.2334,41.2963,abk,abk,,abk
,able1237,Ableg-Salegseg,dialect,,lubu1243,,,,,,
,abob1234,Abo-Barombi,family,established,basa1283,,,,,,
aob,abom1238,Abom,language,established,tiri1259,-8.42448,142.842,aob,aob,,
abo,abon1238,Abon,language,established,nort3192,6.90621,10.8769,abo,abo,,
,aboo1241,Abo (Bokyi),dialect,,boky1238,,,,,,
,aboo1242,Abo,dialect,,ukwu1241,,,,,,
,abou1238,Abou Charib,dialect,,mara1396,,,,,,
,abra1237,Abra-De-Ilog,dialect,,iray1237,,,,,,
abr,abro1238,Abron,language,established,akan1251,7.72094,-2.50289,abr,abr,,
,abru1239,Abruzzese,dialect,,ital1282,,,,,,
,absh1238,Absheron,dialect,,musl1236,,,,,,
,abua1243,Abua-Odual,family,established,cent2028,,,,,,
abn,abua1244,Abua,language,established,abua1243,4.83057,6.61492,abn,abn,,
aah,abua1245,Abu' Arapesh,language,established,buki1250,,,aah,aah,,
abz,abui1241,Abui,language,established,alor1250,-8.31058,124.588,abz,abz,,abv
,abuj1237,Abujmaria,dialect,,mari1414,,,,,,
,abul1238,Abuldugu,dialect,,buru1301,,,,,,
kgr,abun1252,Abun,language,established,,-0.57073,132.416,kgr,kgr,,abu
,abun1253,Abun Je,dialect,,abun1252,,,,,,
,abun1254,Abun Tat,dialect,,abun1252,,,,,,
,abun1255,Abun Ji,dialect,,abun1252,,,,,,
abu,abur1243,Abure,language,established,west2816,5.21534,-3.64123,abu,abu,,
mgj,abur1244,Abureni,language,established,kugb1242,4.62301,6.50634,mgj,mgj,,
,abus1238,Abu Sinun,dialect,,kang1288,,,,,,
ado,abuu1241,Abu,language,established,agoa1234,-4.24027,144.474,ado,ado,,
,abzh1238,Abzhui,dialect,,abkh1244,,,,,,
,acad1238,Acadian,dialect,,oila1234,,,,,,
tpx,acat1239,Acatepec Me'phaa,language,established,meph1234,17.1034,-99.0602,tpx,tpx,,tlp
,acat1240,Acatepec,dialect,,acat1239,,,,,,
,acch1238,Acchami,dialect,,nepa1254,,,,,,
acn,acha1249,Achang,language,established,high1273,24.3479,97.7438,acn,acn,,acn
aca,acha1250,Achagua,language,established,inla1264,4.38649,-72.2005,aca,aca,,acg
yif,ache1244,Ache (China),language,established,uncl1477,24.152,102.446,yif,yif,,
acz,ache1245,Acheron,language,established,toch1256,10.8827,30.3187,acz,acz,,
guq,ache1246,Aché,language,established,tupi1277,-25.5865,-56.4697,guq,guq,,ach
,achi1247,Achik,dialect,,garo1247,,,,,,
,achi1255,A'chick,dialect,,garo1247,,,,,,
acr,achi1256,Achi,language,established,quic1275,15.073,-90.3513,acr,acr,,
ace,achi1257,Achinese,language,established,cham1327,3.90757,96.6032,ace,ace,,ace
,achp1238,Achpar,dialect,,qima1242,,,,,,
act,acht1238,Achterhoeks,language,established,lowg1239,52.021,6.47521,act,act,,
acv,achu1247,Achumawi,language,established,pala1350,41.0979,-121.191,acv,acv,,acm
acu,achu1248,Achuar-Shiwiar,language,established,shua1256,-2.82646,-77.2641,acu,acu,,acu
,acii1238,Aci,dialect,,apal1256,,,,,,
ach,acol1236,Acoli,language,established,sout2831,3.57738,32.5147,ach,ach,,acl
,acom1246,Acoma,dialect,,west2632,,,,,,
acs,acro1239,Acroá,language,established,jece1235,-12.594,-40.2145,acs,acs,,
,adaa1238,Ada,dialect,,adan1247,,,,,,
adb,adab1235,Adabe,language,spurious,book1242,-8.22674,125.576,adb,adb,,
xad,adai1235,Adai,language,established,,31.6314,-92.0059,xad,xad,,
ads,adam1238,Adamorobe Sign Language,language,established,vill1244,5.834,-0.151,ads,ads,,ada
fub,adam1253,Adamawa Fulfulde,language,established,fula1265,8.140326,13.077338,fub,fub,,fgo fua
,adam1254,Adamawa-Fali,family,established,uncl1461,,,,,,
,adam1257,Adamawa Bua,family,established,mbum1256,,,,,,
,adam1258,Adamawa-Ubangi,family,established,nort3149,,,,,,
,adam1259,Adamawa,family,established,adam1258,,,,,,
ada,adan1247,Adangme,language,established,gada1257,5.9437,0.13243,ada,ada,,
adq,adan1248,Adangbe,language,established,west2802,6.50546,0.727155,adq,adq,,
,adan1249,Adan,dialect,,ewee1241,,,,,,
,adan1250,Adang (Lundayeh),dialect,,lund1271,,,,,,
adn,adan1251,Adang,language,established,adan1252,-8.18958,124.448,adn,adn,,adg
,adan1252,Adang-Hamap-Kabola,family,established,stra1245,,,,,,
adp,adap1234,Adap,language,spurious,book1242,27.141,90.3369,adp,adp,,
,adar1242,Adarawa,dialect,,west2719,,,,,,
tiu,adas1235,Adasen,language,established,iban1268,17.8187,120.905,tiu,tiu,,
ade,adel1244,Adele,language,established,basi1245,8.16975,0.619185,ade,ade,,
,aden1241,Adeni,dialect,,taiz1242,,,,,,
,aden1242,'Aden,dialect,,jude1267,,,,,,
,ader1239,Aderawa,dialect,,haus1257,,,,,,
,adew1237,Adewada,dialect,,mari1414,,,,,,
,adga1237,Adgawan,dialect,,agus1235,,,,,,
,adha1237,Adham,dialect,,rade1240,,,,,,
,adha1238,Adhari,language,established,tati1243,,,,,,
,adho1241,Adhola-Alur-Luo,family,established,sout2831,,,,,,
,adho1242,Adhola-Luo,family,established,adho1241,,,,,,
adh,adho1243,Adhola,language,established,adho1242,0.73235,34.0341,adh,adh,,
,adib1240,Adibom,dialect,,odua1238,,,,,,
,adid1237,Adi Dravida,dialect,,tami1289,,,,,,
,adie1238,Adie,dialect,,bako1249,,,,,,
,adih1238,Adihup,dialect,,hata1243,,,,,,
,adij1237,Adijaya,dialect,,kowi1239,,,,,,
,adim1238,Adim,dialect,,agwa1247,,,,,,
adj,adio1239,Adioukrou,language,established,agne1238,5.38228,-4.52522,adj,adj,,adi
,adiv1238,Adivasi Wagdi,dialect,,wagd1238,,,,,,
ort,adiv1239,Adivasi Oriya,language,established,macr1269,18.1046,82.8487,ort,ort,,oko
gas,adiw1235,Adiwasi Garasia,language,established,gara1268,24.0712,73.1426,gas,gas,,
,adiy1237,Adiya,dialect,,ravu1237,,,,,,
,adja1238,Adjabdurah,dialect,,naru1238,,,,,,
,adju1239,Adjumani,dialect,,madi1260,,,,,,
,adku1239,Adkuri,dialect,,halb1244,,,,,,
,admi1239,Admiralty Islands,family,established,ocea1241,,,,,,
adt,adny1235,Adnyamathanha,language,established,nort2752,-30.1451,138.671,adt,adt,,adn
,adom1238,Adoma,dialect,,clel1238,,,,,,
adr,adon1237,Adonara,language,established,nort3216,-8.32027,123.159,adr,adr,,
,adoo1237,Ado,dialect,,ledo1238,,,,,,
,adoy1238,Adoyo,dialect,,anua1242,,,,,,
adu,adug1238,Aduge,language,spurious,book1242,7.64567,6.13085,adu,adu,,
,adun1238,Adun,dialect,,cros1244,,,,,,
,adur1234,Adurgari,language,established,indo1328,,,,,,
,aduu1238,Adu,dialect,,taba1263,,,,,,
ady,adyg1241,Adyghe,language,established,circ1239,44,39.33,ady,ady,,adt ady ash
adz,adze1240,Adzera,language,established,uppe1423,-6.39394,146.294,adz,adz,,adz
,adzh1238,Adzhar,dialect,,nucl1302,,,,,,
,aegi1237,Aegina,dialect,,grou1256,,,,,,
,aeka1243,Aeka,dialect,,bina1277,,,,,,
aez,aeka1244,Aeka (Orokaivan),language,established,orok1268,-8.79019,148.09,aez,aez,,
awi,aeky1238,Aekyom,language,established,awin1249,-5.88478,141.532,awi,awi,,awi
aeq,aerr1238,Aer,language,established,west2830,25.254,69.029,aeq,aeq,,
,aewa1238,Aewa,dialect,,kuni1265,,,,,,
,afaa1238,Afa,dialect,,arig1246,,,,,,
aal,afad1236,Afade,language,established,koto1265,12.0551,14.6343,aal,aal,,ktk
aar,afar1241,Afar,language,established,saho1245,12.2281,41.8083,aar,aar,,qaf
,afas1238,Af-Ashraaf,dialect,,soma1255,,,,,,
,afen1234,Afenmai-Bendel,family,established,nort3182,,,,,,
,affa1240,Affade,dialect,,lagw1237,,,,,,
,affi1239,Affiniam,dialect,,band1340,,,,,,
,afgh1238,Afghanistan-Uzbekistan Arabic,family,established,east2729,,,,,,
afg,afgh1239,Afghan Sign Language,language,established,sign1237,,,afg,afg,,
,afgh1240,Afghanistan Gorbat,language,established,pers1247,,,,,,
,afhe1238,Af-Helledi,dialect,,maay1238,,,,,,
,afik1238,Afikpo,dialect,,nucl1417,,,,,,
aft,afit1238,Afitti,language,established,nyim1244,12.446,30.7611,aft,aft,,
,afor1239,Afore,dialect,,esee1247,,,,,,
,afri1271,Afridi,dialect,,nort2648,,,,,,
,afri1272,Afrike,dialect,,putu1241,,,,,,
,afri1273,Afrikaansic,family,established,wese1235,,,,,,
afr,afri1274,Afrikaans,language,established,afri1273,-22,30,afr,afr,,afr
,afro1253,Afro-Seminole Creole,dialect,,gull1243,,,,,,
afs,afro1254,Afro-Seminole Creole,language,established,gull1243,31.7843,-99.2934,afs,afs,,
,afro1255,Afro-Asiatic,family,established,,,,,,,
,afro1256,Afro-Asiatic (Unattested),family,established,unat1236,,,,,,
,afro1257,Afro-Asiatic (Unclassifiable),family,established,uncl1493,,,,,,
,afsh1238,Afshari,dialect,,sout2697,,,,,,
,afud1235,Afudu,language,established,yuku1244,,,,,,
,agaa1241,Aga,dialect,,mong1330,,,,,,
,agaa1242,Aga (China),dialect,,chin1476,,,,,,
,agal1241,Agalo,dialect,,gumu1244,,,,,,
,agam1238,Agam,dialect,,mina1268,,,,,,
,agar1249,Agar,dialect,,sout2833,,,,,,
,agar1250,Agari of Kolaba,dialect,,konk1267,,,,,,
agi,agar1251,Agariya,language,unattested,drav1252,24.5024,82.297,agi,agi,,
agd,agar1252,Agarabi,language,established,gads1260,-6.20604,145.917,agd,agd,,aga
agc,agat1236,Agatu,language,established,nucl1732,7.97915,7.71639,agc,agc,,
,agau1239,Agaunshe,dialect,,tsik1238,,,,,,
avo,agav1236,Agavotaguerra,language,unattested,araw1284,-13.2985,-53.4394,avo,avo,,
,agba1238,Agbarho,dialect,,urho1239,,,,,,
,agbi1234,Agbirigba,language,established,atla1279,,,,,,
,agbo1241,Agbome,dialect,,fonn1241,,,,,,
,agbo1242,Agbon,dialect,,urho1239,,,,,,
,agee1238,Ageer,dialect,,nort2815,,,,,,
agq,aghe1239,Aghem,language,established,west2835,6.38956,10.0807,agq,agq,,agh
,agho1238,Agholo,dialect,,ogbi1239,,,,,,
agx,aghu1253,Aghul,language,established,east2367,41.9242,47.5843,agx,agx,,agl
gtu,aghu1254,Aghu Tharnggalu,language,established,rarm1238,-13.735,142.426,ggr,gtu,"Split into Aghu-Tharnggala [gtu], Gugu-Mini [ggm], and Ikarranggal [ikr]",
ahh,aghu1255,Aghu,language,established,mapp1234,-6.34674,140.043,ahh,ahh,,ahu
xag,aghw1237,Aghwan,language,established,udia1235,,,xag,xag,,
,agii1244,Agi (Moru),dialect,,moru1253,,,,,,
aif,agii1245,Agi,language,established,agiy1234,-3.49104,142.387,aif,aif,,
,agiy1234,Agi-Yeri,family,established,west2788,,,,,,
,agne1238,Agneby,family,established,nyoa1234,,,,,,
,agoa1234,Agoan,family,established,lowe1437,,,,,,
kit,agob1244,Agob,language,established,paho1240,-9.08521,142.532,kit,kit,,
,agob1245,Agöb,dialect,,agob1244,,,,,,
,agoi1244,Agoi (Gen),dialect,,genn1243,,,,,,
,agoi1245,Agoi-Doko-Iyoniyong,family,established,uppe1418,,,,,,
ibm,agoi1246,Agoi,language,established,agoi1245,5.87953,8.21629,ibm,ibm,,
,agon1238,Agona,dialect,,akan1250,,,,,,
,agra1238,Agrab,dialect,,birg1239,,,,,,
apf,agta1234,Agta-Pahanan,language,established,para1320,,,apf,apf,,
aga,agua1251,Aguano,language,unattested,araw1284,-5.25,-75.8333,aga,aga,,
