ISO,LMP_LAT,LMP_LON
afg,34.33078,70.34537
aiq,34.45524,64.45041
ask,35.11697,70.59230
drw,38.05962,70.72609
prs,36.57871,70.51027
gwt,35.22045,71.53814
nli,34.87613,70.70943
haz,34.17063,66.62098
xvi,35.40963,71.32342
bsh,35.48049,70.75245
mld,34.13174,69.01918
mhj,34.12572,62.18710
mnj,35.79309,70.85744
phv,31.33334,62.19879
prc,35.07936,69.64313
aee,34.78947,70.80034
glh,34.96106,70.04196
psi,34.70087,70.50278
psh,34.88104,69.77576
prn,35.44950,70.92815
sgl,36.67411,71.57368
sdg,35.16964,71.45910
sts,34.74897,70.75085
tnf,38.11159,71.21229
tra,34.25755,70.62845
trm,35.00730,71.11979
uzs,36.33165,66.70937
wbk,35.17784,71.05953
wrd,36.98774,70.86259
wsv,34.70327,70.85650
als,40.54253,20.15580
asp,36.47620,3.54620
aao,28.14156,1.84671
arq,35.01554,2.61408
cnu,36.60729,2.19664
kab,36.39003,4.55784
kcy,29.51367,-2.56296
shy,35.27603,6.93694
oua,31.94879,5.27286
thv,22.48174,6.37680
tjo,33.31437,6.04970
tia,26.91172,1.79388
grr,29.14960,0.10051
mzb,32.47268,3.84135
blv,-10.27549,15.10681
hol,-8.20931,17.57740
kmb,-8.10198,15.05625
kwz,-15.87448,12.11474
lch,-13.71307,20.37763
lum,-11.43456,17.44547
mwj,-7.93095,15.74211
mxg,-9.16974,17.57672
mfu,-13.38274,18.12592
ndq,-12.96500,13.37172
nne,-16.63593,21.19282
nkn,-13.39491,19.02923
khu,-15.40955,14.13565
nyk,-16.07251,14.94646
nba,-15.62958,17.99720
nye,-17.12275,22.41077
kua,-17.03144,16.34135
oun,-17.04702,18.80720
smd,-9.85584,13.84047
nsx,-10.44121,16.76775
umb,-12.93443,14.51821
yax,-14.19320,20.51199
dhm,-16.55169,13.69577
aig,17.08765,-61.79776
axb,-35.96200,-65.86300
aed,-34.79695,-59.17984
crt,-22.18752,-63.23050
crq,-22.18416,-62.93087
moc,-28.17550,-60.44291
ona,-51.63512,-69.59363
plg,-24.87574,-60.23159
pue,-36.63757,-62.94127
qus,-27.75079,-63.21644
teh,-47.62140,-68.25845
tob,-26.37823,-59.09333
vil,-27.40293,-58.96414
mzh,-23.04140,-62.26324
wlv,-24.32999,-62.13909
aen,40.10023,44.47668
hye,40.28995,44.93408
rmi,39.90240,44.86378
adt,-30.20826,138.69134
ggr,-13.73495,142.42646
alh,-15.53759,134.33916
aid,-12.53236,141.93798
aly,-21.12705,136.45203
amg,-11.99974,132.85039
amy,-13.51189,130.06579
adg,-22.46612,137.37857
aoi,-13.99494,136.59605
amx,-22.22145,133.30669
ant,-27.12961,134.85487
ard,-28.70501,135.44893
aea,-16.63548,142.63107
are,-23.91780,133.18260
aer,-23.35801,135.04870
amz,-11.00180,142.27260
awk,-33.12847,151.43555
ayd,-14.66524,142.89347
bia,-29.02519,117.26693
bdy,-28.33969,152.79958
bjd,-30.17335,143.20635
bjb,-33.30362,136.07920
bcj,-16.61194,122.90546
bpt,-14.12192,144.53070
bjy,-24.97935,151.69855
bxj,-23.43683,114.12173
bym,-25.57755,146.12425
bzr,-20.14942,146.66983
bck,-17.85654,125.63058
bvr,-12.28718,134.31561
bxn,-22.96953,114.70391
dgn,-15.76400,132.37900
drl,-32.72549,142.60072
dax,-13.04524,136.29065
dhl,-22.24621,114.92465
dhg,-11.91093,135.80843
dhr,-24.12967,114.95417
dhu,-35.41204,150.13383
duj,-12.48467,135.95637
dif,-28.16666,137.99999
dit,-28.79923,138.07782
djr,-12.02432,135.58775
djd,-15.05257,130.01565
djf,-16.91051,144.93245
djn,-14.02611,133.06419
djw,-16.41625,123.18560
djj,-12.02861,134.10939
dji,-12.47145,134.84589
djb,-12.95169,134.92190
jig,-17.16893,133.63957
djl,-24.10724,116.98858
dyy,-16.59643,145.36986
dyb,-17.18653,122.52306
dyn,-30.86730,152.59048
dbl,-17.45674,145.53009
dyd,-17.90595,122.40831
err,-12.28391,132.86787
fln,-14.18123,144.25927
gdh,-15.36512,129.14640
gbu,-12.53716,132.66783
gma,-14.29546,126.27131
kld,-29.98062,149.90546
gcd,-17.54458,139.42637
gnl,-22.76366,149.41605
gbc,-17.20783,137.63048
ilg,-11.41198,132.18174
giy,-13.17152,130.04940
gni,-18.39072,126.31626
nji,-17.55226,134.33728
ggd,-17.83724,141.16842
gdc,-18.49205,144.46003
wrw,-12.71300,142.56900
kkp,-15.43477,141.63840
kky,-14.95705,144.85941
gnn,-12.25534,136.82386
gyf,-25.68965,148.60445
gup,-12.39346,133.44891
gyy,-27.06423,145.86184
guf,-12.19272,135.32979
gge,-12.69279,134.03301
gdj,-17.23694,141.18319
gnr,-25.38930,151.17468
gue,-17.05980,130.36509
gwu,-27.82887,148.86722
gvy,-34.73900,137.66100
ibd,-11.51794,132.58238
ddj,-18.11152,128.53978
