Name_on_tree_tip,xd_id,soc_id,fixed_order
PunanKelai,xd1442,B1,0
MinyaifuinGebe,xd460,Cb11,0
MerinaMalagasy,"xd688, xd687, xd689","Eh2, Eh10, Eh3, SCCS81",1
PhanRangChamEasternCham,xd718,Ej11,0
Moken,xd728,Ej6,0
Melayu,xd730,Ej8,0
CiuliAtayal,xd732,"Ia1, SCCS113",0
SquliqAtayal,,,
Bunun,xd733,Ia10,0
Puyuma,xd734,Ia11,0
Cebuano,xd735,Ia12,0
Bajo,xd736,"Ia13, SCCS86",0
Yami,xd737,Ia14,0
WBukidnonManobo,xd738,Ia15,0
KalingaGuinaangLubuagan_D,xd739,Ia16,0
KoronadalBlaan,xd740,Ia17,0
AklanonBisayan,xd741,Ia18,0
KankanayNorthern,xd742,Ia2,0
IfugaoBatad,xd743,"Ia3, SCCS112",0
SubanunSindangan,xd744,Ia4,0
Hanunoo,xd745,Ia5,0
Paiwan,xd746,Ia6,0
TagbanwaAborlan_D,xd747,Ia7,0
CentralAmis,xd749,Ia9,0
Iban,xd750,"Ib1, SCCS85",0
OldJavanese,xd751,"Ib2, SCCS83",0
TobaBatak,xd753,Ib4,0
Minangkabau,xd755,Ib6,0
Makassar,xd759,Ic1,0
HituAmbon,xd761,Ic11,0
MelayuAmbon,,,
GauraNggaura,,,
Kodi,xd763,Ic13,0
RotiTermanu_D,xd766,Ic4,0
TaeSToraja,xd767,"Ic5, SCCS87",0
Selaru,xd768,Ic6,0
Lamaholot,xd769,Ic7,0
ElatKeiBesar,xd770,Ic8,0
KeiTanimbarKei,,,
ESKamberaSouthern_D,,,
ESLewa_D,,,
ESUmbuRatuNggai_D,xd771,Ic9,0
Kambera,,,
Motu,xd786,Ie10,0
Mekeo,xd799,Ie22,0
Manam,xd806,Ie29,0
Wogeo,xd818,Ie4,0
Waropen,xd820,Ie6,0
Palauan,xd824,"If1, SCCS111",0
Mortlockese,xd825,If10,0
Kusaie,xd826,If11,0
Marshallese,xd827,If12,0
MarshalleseE_D,"xd832, xd834","If17, SCCS108, If3",1
Kiribati,"xd829, xd838","If14, SCCS107, If7",0
Carolinian,,,
SaipanCarolinian,xd830,If15,0
Woleai,xd835,If4,0
Woleaian,xd831,If16,0
Chuukese,,,
ChuukeseAKATrukese,xd833,"If2, SCCS109",0
Ponapean,xd836,If5,0
Chamorro,xd839,If8,0
VaghuaChoiseul,xd844,Ig12,0
Wuvulu,xd845,Ig13,0
Suau,xd846,Ig14,0
Bwaidoga,xd848,Ig16,0
Vitu,xd849,Ig17,0
Kwaio,xd850,Ig18,0
Molima,xd851,Ig19,0
