Name_on_tree_tip,xd_id,soc_id,fixed_order
hax,xd1438,J4,0
gwi,xd1037,"Na20, B356",0
dgr,xd1032,"Na15, B361",0
scsh,xd1009,B352,0
xsl,xd1034,"Na17, B345, SCCS128",0
bea,xd1045,"Na29, B344",0
crx,xd1035,"Na19, B349, J93, J94",0
chp,xd1046,"Na30, B355",0
txc,,,
haa,xd1008,B351,0
ing,xd1066,"Na8, B357, SCCS122",0
kuu,,,
hoi,xd1013,B364,0
koy,xd1010,B354,0
taa,,,
aht,,,
tfn,xd1042,"Na26, B362",0
kkz,xd1056,"Na4, B346, SCCS129",0
tcb,,,
tau,xd1026,"Na1, B359",0
ttmN,xd1012,B363,0
tceS,,,
eya,xd1102,"Nb5, B295, SCCS130",0
tli,"xd1082, xd1431","Nb22, B292, J2, J1",0
gce,xd1423,J34,0
tol,xd1103,"Nb6, B178, J35",0
cco,,,
hup,xd1096,"Nb35, B180, J38",0
mtl,xd1099,"Nb38, B169, J41",0
wlk,"xd1100, xd1098, xd1434","Nb39, B166, J40, Nb37, B167, J42",0
kto,xd1425,J43,0
apc,xd1259,"Nh1, B242, J152, J153, SCCS148",0
apw,xd1267,"Nh17, J147, J148, J149, J150, J151",0
apj,xd1266,"Nh16, J156",0
nav,xd1279,"Nh3, J157, J158",0
apk,xd1219,"Ne2, B244",0
apl,xd1275,"Nh24, B240, J155",0
srs,xd1226,"Ne7, B260",0
ket,xd636,"Ec8, B24",0
zko,,,
