Name_on_tree_tip,xd_id,soc_id,fixed_order
Adnyamathanha,,,
AghuTharrnggala,,,
Alyawarr,xd964,B117,0
Aminungo,,,
Antekerrepenhe,,,
Arabana,,,
Awabakal,,,
Badimaya,,,
Badjiri,,,
Bandjalang,xd966,B119,0
Batyala,,,
BidyaraGungabula,,,
Bilinarra,,,
Bindal,,,
Biri,,,
Birrpayi,,,
Bularnu,,,
Bunganditj,,,
Colac,,,
Darkinyung,,,
DawsonRiver,,,
Dhangu,,,
Dharawal,,,
Dharuk,,,
Dharumbal,,,
Dhayyi,,,
Dhudhuroa,,,
Dhurga,,,
Dhuwal,xd777,"Id2, B88",0
Dhuwala,,,
Diyari,xd779,"Id4, B121",0
Djabugay,,,
Djambarrpuyngu,,,
Djapu,,,
Djinang,,,
Durubul,xd961,B114,0
Duungidjawu,xd962,B115,0
Dyirbal,"xd954, xd957","B105, B110",0
FlindersIsland,xd947,B98,0
Gairi,,,
Gamilaraay,,,
Gangulu,,,
Garlali,,,
GoorengGooreng,,,
Gudjal,,,
Gumatj,,,
Gumbaynggir,,,
Gunditjmara,,,
Gundungurra,,,
Gunggari,,,
Gunya,,,
Gupapuyngu,,,
Gurindji,,,
GuuguYimidhirr,,,
Guwa,,,
Guyani,,,
Iyora,,,
Jaru,xd956,B108,0
JaruMcC,,,
Jiwarli,,,
Jiwarliny,,,
Kaanju,,,
Kalkatungu,,,
Kamilaroi,,,
Karajarri,xd953,B104,0
KarajarriNW,,,
Kariyarra,xd780,"Id5, B106",0
Karree,,,
Kartujarra,,,
Karuwali,xd963,B116,0
Katthang,,,
Kaurna,xd974,B129,0
Keramin,,,
KuguNganhcara,,,
Kukatj,,,
Kukatja,,,
KukuYalanji,xd946,B96,0
KukuYalanjiCurr,,,
Kungadutyi,,,
Kungkari,,,
Kurnu,,,
Kurrama,,,
Kurtjar,,,
KuukuYau,,,
Linngithigh,,,
Mabuiag,,,
Malgana,,,
Malngin,,,
Malyangapa,,,
MangalaMcK,,,
MangalaNW,,,
Margany,,,
MartuWangka,xd958,B111,0
MaryRiverandBunyaBunyaCountry,,,
MathiMathi,,,
MayiKulan,,,
MayiKutuna,,,
MayiThakurti,,,
MayiYapi,,,
Mbabaram,,,
Mbakwithi,,,
Minjungbal,,,
Mirniny,,,
Mithaka,,,
MountFreelingDiyari,,,
Mudburra,,,
MudburraMcC,,,
Muruwari,,,
Narrungga,,,
Ngaanyatjarra,xd965,B118,0
Ngadjumaya,xd976,B132,0
Ngadjuri,,,
Ngaiawang,,,
Ngamini,,,
Ngardily,,,
Ngarigu,,,
Ngarinyman,,,
Ngarla,,,
Ngarluma,,,
Ngarrindjeri,xd975,B131,0
Ngawun,,,
NggoiMwoi,,,
Ngiyambaa,xd784,"Id9, B130",0
Ngunawal,,,
Nhanta,,,
Nhirrpi,,,
NorthernMangarla,,,
NorthernNyangumarta,,,
Nyamal,,,
Nyangumarta,,,
Nyungar,,,
Paakantyi,xd973,B128,0
Pakanh,,,
Pallanganmiddang,,,
Panyjima,,,
Parnkala,,,
Payungu,,,
Piangil,,,
PintupiLuritja,xd960,B113,0
Pirriya,,,
Pitjantjatjara,xd967,B120,0
PittaPitta,,,
Rirratjingu,,,
Ritharrngu,,,
SouthernWalmajarri,,,
Thalanyji,,,
Tharrgari,,,
Umpila,xd945,B93,0
Wadjabangayi,,,
Wajarri,,,
Wakaya,,,
WalmajarriBilliluna,,,
WalmajarriHR,,,
WalmajarriNW,,,
Wangkangurru,,,
Wangkatja,,,
Wangkayutyuru,,,
Wangkumara,,,
WangkumaraMcDWur,,,
Wardandi,,,
Wargamay,,,
Warlmanpa,,,
Warlpiri,xd773,"Id10, B109",0
Warluwarra,,,
Warnman,xd959,B112,0
Warriyangga,,,
Warumungu,,,
Warungu,xd955,B107,0
Wathawurrung,,,
WathiWathi,,,
Watjuk,,,
WesternArrarnta,,,
WikMungkan,xd781,"Id6, B90",0
Wiradjuri,,,
Wirangu,xd972,B127,0
Woiwurrung,xd978,B134,0
Wulguru,,,
YabulaYabula,,,
Yagara,,,
Yalarnnga,,,
Yandruwandha,,,
Yannhangu,,,
Yanyuwa,,,
Yarluyandi,,,
Yawarrawarrka,,,
Yidiny,,,
Yindjibarndi,,,
Yindjilandji,,,
Yiningay,,,
Yirandali,,,
YortaYorta,,,
Yugambeh,,,
Yulparija,,,
Yuwaalaraay,xd970,B125,0
