soc_id,region,tdwg_code
Id7,Australia,50
Ig15,Papuasia,43
Eh10,Western Indian Ocean,29
Ia17,Malesia,42
Ia18,Malesia,42
Ig16,Papuasia,43
Ih12,Southwestern Pacific,60
Ic13,Malesia,42
Ig17,Papuasia,43
Ei20,Indian Subcontinent,40
Ig18,Papuasia,43
Ig19,Papuasia,43
If10,Northwestern Pacific,62
Ib9,Malesia,42
Ig8,Papuasia,43
Ie34,Papuasia,43
Ih11,Southwestern Pacific,60
Ih13,Southwestern Pacific,60
Ie36,Papuasia,43
Ie37,Papuasia,43
Ab21b,Southern Africa,27
Ac43,Northeast Tropical Africa,24
Ef10,Indian Subcontinent,40
Ca43,Northeast Tropical Africa,24
Ee7,Indian Subcontinent,40
Ch10,Southeastern Europe,13
Ni8,Mexico,79
Ni9,Mexico,79
Ng13,Northeastern U.S.A.,75
Ef3,Indian Subcontinent,40
Si9,Brazil,84
Ed16,China,36
Ng14,Southeastern U.S.A.,78
Ng15,Southeastern U.S.A.,78
Ab22,South Tropical Africa,26
Ne21,South-Central U.S.A.,77
Sa14,Central America,80
Nj11,Mexico,79
Ai4,Northeast Tropical Africa,24
Ed13,Eastern Asia,38
Sa15,Central America,80
Sa16,Central America,80
Aj30,East Tropical Africa,25
Eg12,Indian Subcontinent,40
Nf15,North-Central U.S.A.,74
Ed14,Indo-China,41
Nj5,Mexico,79
Ei17,Indian Subcontinent,40
Nj12,Mexico,79
Ed15a,Eastern Asia,38
Sb3,Northern South America,82
Nj13,Mexico,79
Aj31,Northeast Tropical Africa,24
Sf8,Western South America,83
Sa17,Central America,80
Ei15,Indian Subcontinent,40
Sc14,Northern South America,82
Nh26,South-Central U.S.A.,77
Nh27,South-Central U.S.A.,77
Nj14,Mexico,79
Se12,Brazil,84
Sa2,Mexico,79
Sf9,Western South America,83
Eb8,Middle Asia,32
Aa4,Southern Africa,27
Aa9,East Tropical Africa,25
Aa1,Southern Africa,27
Aa3,Southern Africa,27
Aa7,Southern Africa,27
Aa6,East Tropical Africa,25
Aa8,Southern Africa,27
Ai37,Northeast Tropical Africa,24
Ai38,Northeast Tropical Africa,24
Ai39,Northeast Tropical Africa,24
Ai40,Northeast Tropical Africa,24
Ai2,Northeast Tropical Africa,24
Ai10,Northeast Tropical Africa,24
Ai41,Northeast Tropical Africa,24
Ai42,Northeast Tropical Africa,24
Ag14,West Tropical Africa,22
Ag15,West Tropical Africa,22
Ag16,West Tropical Africa,22
Ag21,West Tropical Africa,22
Ag17,West Tropical Africa,22
Ag18,West Tropical Africa,22
Ab10,Southern Africa,27
Ag8,West Tropical Africa,22
Ag19,West Tropical Africa,22
Ac21,West-Central Tropical Africa,23
Ac29,West-Central Tropical Africa,23
Af55,West Tropical Africa,22
Af2,West Tropical Africa,22
Ac31,West-Central Tropical Africa,23
Ag20,West Tropical Africa,22
Ag22,West Tropical Africa,22
Af14,West Tropical Africa,22
Af57,West Tropical Africa,22
Cb23,West Tropical Africa,22
Cb24,West Tropical Africa,22
Cb2,West Tropical Africa,22
Ae1,West-Central Tropical Africa,23
Ab19,South Tropical Africa,26
Ah9,West Tropical Africa,22
Ae7,West-Central Tropical Africa,23
Ae48,West-Central Tropical Africa,23
Ad1,East Tropical Africa,25
Ae49,West-Central Tropical Africa,23
Ad41,East Tropical Africa,25
Ae50,West-Central Tropical Africa,23
Ae51,West-Central Tropical Africa,23
Af16,West Tropical Africa,22
Ah11,West Tropical Africa,22
Ah12,West Tropical Africa,22
Ae13,West-Central Tropical Africa,23
Ac3,South Tropical Africa,26
Ad11,East Tropical Africa,25
Ad18,East Tropical Africa,25
Ae30,West-Central Tropical Africa,23
Ah17,West Tropical Africa,22
Af17,West Tropical Africa,22
Ae36,West-Central Tropical Africa,23
Ah18,West Tropical Africa,22
Ae44,West-Central Tropical Africa,23
Ae37,West-Central Tropical Africa,23
Ae31,West-Central Tropical Africa,23
Ae19,West-Central Tropical Africa,23
Ae2,West-Central Tropical Africa,23
Ad3,East Tropical Africa,25
Ah10,West Tropical Africa,22
Ac10,South Tropical Africa,26
Ad13,West-Central Tropical Africa,23
Ac12,South Tropical Africa,26
Ah13,West Tropical Africa,22
Ad30,East Tropical Africa,25
Ae12,West-Central Tropical Africa,23
Ad31,East Tropical Africa,25
Ae40,West-Central Tropical Africa,23
Ac22,West-Central Tropical Africa,23
Af19,West Tropical Africa,22
Ae35,West-Central Tropical Africa,23
Af18,West Tropical Africa,22
Ae20,West-Central Tropical Africa,23
Ae3,West-Central Tropical Africa,23
Ad19,East Tropical Africa,25
Ae52,West Tropical Africa,22
Ae38,West-Central Tropical Africa,23
Ad7,East Tropical Africa,25
Ad32,East Tropical Africa,25
Ad9,East Tropical Africa,25
Ad24,East Tropical Africa,25
Id13,Australia,50
Ah6,West Tropical Africa,22
Ad12,East Tropical Africa,25
Ae14,East Tropical Africa,25
Ad29,East Tropical Africa,25
Ad42,East Tropical Africa,25
Ad8,East Tropical Africa,25
Ab1,Southern Africa,27
Ae15,West-Central Tropical Africa,23
Af20,West Tropical Africa,22
Ac1,South Tropical Africa,26
Ad15,South Tropical Africa,26
Ah23,West Tropical Africa,22
Ah2,West Tropical Africa,22
Ah19,West Tropical Africa,22
Ah20,West Tropical Africa,22
Ad50,East Tropical Africa,25
Ad34,East Tropical Africa,25
Ah14,West Tropical Africa,22
Ac32,South Tropical Africa,26
Ad38,East Tropical Africa,25
Ah1,West Tropical Africa,22
Ae21,West-Central Tropical Africa,23
Ah24,West Tropical Africa,22
Ad43,East Tropical Africa,25
Ad4,East Tropical Africa,25
Ab21a,South Tropical Africa,26
Ae53,West-Central Tropical Africa,23
Ae54,West-Central Tropical Africa,23
Ac14,South Tropical Africa,26
Ad44,East Tropical Africa,25
Ae41,West-Central Tropical Africa,23
Ae5,West-Central Tropical Africa,23
Ac4,West-Central Tropical Africa,23
Ae32,West-Central Tropical Africa,23
Ac37,South Tropical Africa,26
Ae45,West Tropical Africa,22
Ah21,West Tropical Africa,22
Ae22,West-Central Tropical Africa,23
Ad27,East Tropical Africa,25
Ac13,South Tropical Africa,26
Ac33,South Tropical Africa,26
Ae23,West-Central Tropical Africa,23
Ac5,South Tropical Africa,26
Ac23,West-Central Tropical Africa,23
Ab16,South Tropical Africa,26
Ae27,West-Central Tropical Africa,23
Ab14,Southern Africa,27
Ab3,South Tropical Africa,26
Ac34,South Tropical Africa,26
Ae6,West-Central Tropical Africa,23
Ac27,South Tropical Africa,26
Ad14,East Tropical Africa,25
Ac28,South Tropical Africa,26
Ae16,West-Central Tropical Africa,23
Ac11,South Tropical Africa,26
Ae59,West-Central Tropical Africa,23
Ac41,South Tropical Africa,26
Ac42,South Tropical Africa,26
Ah4,West-Central Tropical Africa,23
Ac15,West-Central Tropical Africa,23
Ad5,East Tropical Africa,25
Ab5,South Tropical Africa,26
Aa5,West-Central Tropical Africa,23
Ad35,East Tropical Africa,25
Ae24,West-Central Tropical Africa,23
Ae46,West-Central Tropical Africa,23
Ae33,West-Central Tropical Africa,23
Ab17,South Tropical Africa,26
Ab9,South Tropical Africa,26
Ac6,West-Central Tropical Africa,23
Ae55,West-Central Tropical Africa,23
Ae9,West-Central Tropical Africa,23
Ah26,West Tropical Africa,22
Ae28,West-Central Tropical Africa,23
Ae39,West-Central Tropical Africa,23
Ad16,South Tropical Africa,26
Ac9,South Tropical Africa,26
Ad51,East Tropical Africa,25
Ae42,West-Central Tropical Africa,23
Ab20,South Tropical Africa,26
Ae4,West-Central Tropical Africa,23
Ae56,West-Central Tropical Africa,23
Ae57,West-Central Tropical Africa,23
Ad6,East Tropical Africa,25
Ad20,East Tropical Africa,25
Ab7,South Tropical Africa,26
Ac38,South Tropical Africa,26
Ad45,East Tropical Africa,25
Ac39,South Tropical Africa,26
Ad2,East Tropical Africa,25
Ad36,East Tropical Africa,25
Ab15,Southern Africa,27
Ac2,West-Central Tropical Africa,23
Ad21,East Tropical Africa,25
Ae34,West-Central Tropical Africa,23
Ac30,South Tropical Africa,26
Ad33,East Tropical Africa,25
Af4,West Tropical Africa,22
Ae29,West-Central Tropical Africa,23
