xd_id,xd_name,iso_6933,N_iso_shared,DisplayGlottocode,DisplayGlottocodeLevel,HighestGlottocode,HighestGlottocodeName,HighestGlottocodeLevel,Ethnologue
xd300,Basa,bzw,2,basa1282,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1381,Piro,pib,1,yine1238,language,araw1281,Arawakan,family,Maipurean
xd907,Agta (Isabela),apf,1,agta1234,language,aust1307,Austronesian,family,Austronesian
xd378,Mao,hoz,1,hozo1236,language,maoo1243,Mao,family,Afro-Asiatic
xd615,Chahar,mvf,1,peri1253,language,mong1329,Mongolic,family,Altaic
xd913,Cholanaickan,mal,2,sout2708,dialect,drav1251,Dravidian,family,Dravidian
xd489,Azjer,thv,2,ghat1242,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd17,Lenge,cce,2,leng1257,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd317,Zuande,brt,1,bita1251,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd985,Guaicura,qjg,1,guai1237,language,guai1237,Guaicurian,language,Unclassified
xd853,Kaoka,lgu,1,long1395,language,aust1307,Austronesian,family,Austronesian
xd925,Bambote,tap,2,taab1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd66,Kuba,buf,1,bush1247,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd794,Kimam,kig,1,kima1246,language,kolo1268,Kolopom,family,Trans-New Guinea
xd795,Marind Anim,mrz,1,nucl1622,language,mari1437,Marind,family,Trans-New Guinea
xd5,Mbuti,bip,1,bila1255,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd815,Star Mountain,szb,1,ngal1298,language,nucl1709,Nuclear Trans New Guinea,family,Trans-New Guinea
xd928,Mikea,msh,1,masi1268,language,aust1307,Austronesian,family,Austronesian
xd635,Ainu,ain,1,ainu1240,language,ainu1252,Ainu,family,Language isolate
xd1124,Wukchumni,x07,1,tule1245,language,yoku1255,Yokutsan,family,Yokutsan
xd536,New England,eng,2,indi1255,dialect,indo1319,Indo-European,family,Indo-European
