xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd300,bzw,2,basa1282,language,atla1278,family
xd1381,pib,1,yine1238,language,araw1281,family
xd907,apf,1,agta1234,language,aust1307,family
xd378,hoz,1,hozo1236,language,maoo1243,family
xd615,mvf,1,peri1253,language,mong1329,family
xd913,mal,2,sout2708,dialect,drav1251,family
xd489,thv,2,ghat1242,dialect,afro1255,family
xd17,cce,2,leng1257,dialect,atla1278,family
xd317,brt,1,bita1251,language,atla1278,family
xd985,qjg,1,guai1237,language,guai1237,language
xd853,lgu,1,long1395,language,aust1307,family
xd925,tap,2,taab1238,language,atla1278,family
xd66,buf,1,bush1247,language,atla1278,family
xd794,kig,1,kima1246,language,kolo1268,family
xd795,mrz,1,nucl1622,language,mari1437,family
xd5,bip,1,bila1255,language,atla1278,family
xd815,szb,1,ngal1298,language,nucl1709,family
xd928,msh,1,masi1268,language,aust1307,family
xd635,ain,1,ainu1240,language,ainu1252,family
xd1124,x07,1,tule1245,language,yoku1255,family
xd536,eng,2,stan1293,language,indo1319,family
xd842,lle,1,lele1270,language,aust1307,family
xd901,sii,1,shom1245,language,shom1245,language
xd943,gbu,1,gaga1251,language,gaga1251,language
xd9,hts,1,hadz1240,language,hadz1240,language
xd922,x05,1,chon1248,language,chon1248,language
xd654,bsk,1,buru1296,language,buru1296,language
xd1094,cid,1,chim1301,language,chim1301,language
xd1250,ctm,1,chit1248,language,chit1248,language
xd531,eus,2,labo1236,dialect,basq1248,language
xd535,eus,2,west1508,dialect,basq1248,language
xd1403,gta,1,guat1253,language,guat1253,language
xd1139,kla,2,klam1254,language,klam1254,language
xd1140,kla,2,klam1254,language,klam1254,language
xd1205,kut,1,kute1249,language,kute1249,language
xd1095,kyh,1,karo1304,language,karo1304,language
xd1256,ncz,1,natc1249,language,natc1249,language
xd617,niv,1,gily1242,language,gily1242,language
xd1289,sei,1,seri1257,language,seri1257,language
xd1089,sis,1,sius1254,language,sius1254,language
xd1125,sln,1,sali1253,language,sali1253,language
xd1399,tpy,1,trum1247,language,trum1247,language
xd1196,was,1,wash1253,language,wash1253,language
xd1335,wba,1,wara1303,language,wara1303,language
xd1221,xcw,1,coah1252,language,coah1252,language
xd1383,yag,1,yama1264,language,yama1264,language
xd1109,ynn,1,yana1271,language,yana1271,language
xd1246,yuc,1,yuch1247,language,yuch1247,language
xd1215,zkk,1,kara1289,language,kara1289,language
xd1280,zun,1,zuni1245,language,zuni1245,language
xd938,lrg,1,lara1258,language,lara1258,language
xd440,nrb,1,nara1262,language,nara1262,language
xd441,kun,1,kuna1268,language,kuna1268,language
xd1088,aes,1,alse1251,language,alse1251,language
xd1091,tkm,1,take1257,language,take1257,language
xd1378,pbb,1,paez1247,language,paez1247,language
xd804,byz,1,bana1292,language,bana1292,language
xd6,sad,1,sand1273,language,sand1273,language
xd778,tiw,1,tiwi1244,language,tiwi1244,language
xd822,iar,1,pura1257,language,pura1257,language
xd1257,tjm,1,timu1245,language,timu1245,language
xd1345,yae,1,pume1238,language,pume1238,language
xd843,yle,1,yele1255,language,yele1255,language
xd653,adi,1,bori1243,language,sino1245,family
xd517,aeb,3,sahi1245,dialect,afro1255,family
xd210,ahs,1,ashe1269,language,atla1278,family
xd807,aon,1,bumb1241,language,nucl1708,family
xd686,apq,1,apuc1241,language,grea1241,family
xd513,ary,2,jebl1238,dialect,afro1255,family
xd251,bab,1,bain1259,language,atla1278,family
xd267,bbo,1,nort2819,language,mand1469,family
xd337,bbp,1,west2458,language,atla1278,family
xd153,bcp,1,bali1274,language,atla1278,family
xd60,bem,2,luun1238,dialect,atla1278,family
xd241,bet,1,guib1246,language,atla1278,family
xd249,bgo,1,baga1273,language,atla1278,family
xd667,bhb,1,bhil1251,language,indo1319,family
xd288,biv,1,sout2790,language,atla1278,family
xd614,bxr,1,russ1264,language,mong1329,family
xd691,caq,1,carn1240,language,aust1305,family
xd1380,cni,1,asha1243,language,araw1281,family
xd1392,crq,1,iyow1239,language,mata1289,family
xd1127,crz,1,cruz1243,language,chum1262,family
xd1295,csa,1,chil1282,language,otom1299,family
xd1136,csm,1,cent2140,language,miwo1274,family
xd266,dbw,1,bank1259,language,dogo1299,family
xd276,dga,1,sout2789,language,atla1278,family
xd386,dik,1,sout2832,language,nilo1247,family
xd816,dnt,1,midg1235,language,nucl1709,family
xd271,dos,1,dogo1295,language,atla1278,family
xd754,dtp,1,cent2100,language,aust1307,family
xd1320,emp,1,nort2972,language,choc1280,family
xd821,enq,1,enga1252,language,nucl1709,family
xd340,fll,1,nort2770,language,atla1278,family
xd345,giz,1,sout3051,language,afro1255,family
xd381,gya,1,nort2775,language,atla1278,family
xd647,hea,1,nort2747,language,hmon1336,family
xd663,bho,1,bhoj1244,language,indo1319,family
xd1370,huu,1,muru1274,language,huit1251,family
xd645,iii,1,sich1238,language,sino1245,family
xd255,kfz,1,koro1298,language,atla1278,family
xd162,koq,1,kota1274,language,atla1278,family
xd1413,kqq,1,kren1239,language,nucl1710,family
xd38,kwy,1,sans1272,language,atla1278,family
xd719,lcp,1,west2396,language,aust1305,family
xd135,lea,1,lega1249,language,atla1278,family
xd1312,len,1,lenc1244,language,lenc1239,family
xd147,lin,1,ling1263,language,atla1278,family
xd708,lus,1,lush1249,language,sino1245,family
xd662,mai,1,mait1250,language,indo1319,family
xd682,mal,2,cent1998,dialect,drav1251,family
xd1304,mau,1,huau1238,language,otom1299,family
xd738,mbb,1,west2555,language,aust1307,family
xd660,mgp,1,east2352,language,sino1245,family
xd1306,mir,1,isth1238,language,mixe1284,family
xd1328,mot,1,bari1297,language,chib1249,family
xd351,mwm,1,sarr1246,language,cent2225,family
xd1298,mxa,1,nort2986,language,otom1299,family
xd819,ncm,1,namb1293,language,more1255,family
xd32,nde,1,nort2795,language,atla1278,family
xd20,ndo,1,ndon1254,language,atla1278,family
xd158,ngc,2,doko1244,dialect,atla1278,family
xd43,nzu,1,teke1279,language,atla1278,family
xd2,oki,1,okie1245,language,nilo1247,family
xd598,pbu,2,ghil1238,dialect,indo1319,family
xd604,pbu,1,kamv1242,language,indo1319,family
xd608,pes,2,tehr1242,dialect,indo1319,family
xd705,pll,1,shwe1236,language,aust1305,family
xd600,pan,1,panj1256,language,indo1319,family
xd713,pwo,1,pwow1235,language,sino1245,family
xd107,reg,1,kara1481,language,atla1278,family
xd265,sbd,1,sout2844,language,mand1469,family
xd657,scl,1,shin1264,language,indo1319,family
xd269,sef,1,ceba1235,language,atla1278,family
xd706,sez,1,sent1260,language,sino1245,family
xd758,sge,1,sega1243,language,aust1307,family
xd137,sng,1,sang1331,language,atla1278,family
xd1377,tuf,1,cent2150,language,chib1249,family
xd28,umb,1,umbu1257,language,atla1278,family
xd69,vmw,1,makh1264,language,atla1278,family
xd980,x06,1,sout1439,language,sout1293,family
xd783,xtz,1,tasm1247,language,nort1442,family
xd634,ykg,1,nort2745,language,yuka1259,family
xd1129,yok,2,nort2937,dialect,yoku1255,family
xd1123,yok,2,sout2955,dialect,yoku1255,family
xd46,zmp,1,mpuo1241,language,atla1278,family
xd1296,zpu,1,yala1267,language,otom1299,family
xd1248,aaq,2,peno1243,dialect,algi1248,family
xd1253,aaq,2,peno1243,dialect,algi1248,family
xd454,aar,1,afar1241,language,afro1255,family
xd577,abk,1,abkh1244,language,abkh1242,family
xd904,sbl,1,boto1242,language,aust1307,family
xd217,abr,1,abro1238,language,atla1278,family
xd761,abs,1,ambo1250,language,aust1307,family
xd791,abt,1,ambu1247,language,nduu1242,family
xd220,abu,1,abur1243,language,atla1278,family
xd385,ach,2,dhop1238,dialect,nilo1247,family
xd398,ach,2,labw1238,dialect,nilo1247,family
xd587,acm,1,meso1252,language,afro1255,family
