xd_id,xd_name,iso_6933,N_iso_shared,glottocode,DND.TempVsFinal,DND.glottocodeNotes,DND.glottocodeEditor,GlottoMaxParentID,GlottoMaxParentName,GlottoMaxParentLevel,EthnologueLangFam
xd901,Shompen,sii,1,shom1245,final,final,1,shom1245,Shom Peng,language,Austro-Asiatic
xd943,Kakadu,gbu,1,gaga1251,final,final,1,gaga1251,Gagadu,language,Gunwingguan
xd9,Hatsa Kindiga,hts,1,hadz1240,final,final,1,hadz1240,Hadza,language,Hatsa
xd922,Chono,064,1,chon1248,final,final,1,chon1248,Chono,language,Language isolate
xd635,Ainu,ain,1,ainu1240,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,ainu1240,Ainu (Japan),language,Language isolate
xd654,Burusho,bsk,1,buru1296,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,buru1296,Burushaski,language,Language isolate
xd1094,Chimariko,cid,1,chim1301,final,final,1,chim1301,Chimariko,language,Language isolate
xd1250,Chitimacha,ctm,1,chit1248,final,final,1,chit1248,Chitimacha,language,Language isolate
xd531,Basques,eus,2,labo1236,TEMP,"final, though may be over-resolved",2,basq1248,Basque,language,Language isolate
xd535,Spanish Basques,eus,2,west1508,TEMP,"final, though may be over-resolved",2,basq1248,Basque,language,Language isolate
xd1403,Guato,gta,1,guat1253,final,final,1,guat1253,Guató,language,Language isolate
xd1139,Klamath,kla,2,klam1254,final,final,1,klam1254,Klamath-Modoc,language,Language isolate
xd1140,Modoc,kla,2,klam1254,final,final,1,klam1254,Klamath-Modoc,language,Language isolate
xd1205,Kutenai,kut,1,kute1249,final,final,1,kute1249,Kutenai,language,Language isolate
xd1095,Karok,kyh,1,karo1304,final,final,1,karo1304,Karok,language,Language isolate
xd1256,Natchez,ncz,1,natc1249,final,final,1,natc1249,Natchez,language,Language isolate
xd617,Gilyak,niv,1,gily1242,"temp, best guess of 2","final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,gily1242,Nivkh,language,Language isolate
xd1289,Seri,sei,1,seri1257,final,final,1,seri1257,Seri,language,Language isolate
xd1089,Siuslaw,sis,1,sius1254,final,final,1,sius1254,Siuslaw,language,Language isolate
xd1125,Salinan,sln,1,sali1253,final,final,1,sali1253,Salinan,language,Language isolate
xd1399,Trumai,tpy,1,trum1247,final,final,1,trum1247,Trumai,language,Language isolate
xd1196,Washo,was,1,wash1253,final,final,1,wash1253,Washo,language,Language isolate
xd1335,Warrau,wba,1,wara1303,final,final,1,wara1303,Warao,language,Language isolate
xd1221,Coahuilteco,xcw,1,coah1252,final,final,1,coah1252,Coahuilteco,language,Language isolate
xd1383,Yahgan,yag,1,yama1264,final,final,1,yama1264,Yámana,language,Language isolate
xd1109,Yana,ynn,1,yana1271,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,yana1271,Yana,language,Language isolate
xd1246,Yuchi,yuc,1,yuch1247,final,final,1,yuch1247,Yuchi,language,Language isolate
xd1215,Karankawa,zkk,1,kara1289,final,final,1,kara1289,Karankawa,language,Language isolate
xd1280,Zuni,zun,1,zuni1245,final,final,1,zuni1245,Zuni,language,Language isolate
xd938,Larikia,lrg,1,lara1258,final,final,1,lara1258,Laragia,language,Laragiyan
xd440,Barea,nrb,1,nara1262,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,nara1262,Nara,language,"Nilo-Saharan, Eastern Sudanic"
xd441,Kunama,kun,1,kuna1268,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,kuna1268,Kunama,language,"Nilo-Saharan, Kunama"
xd1088,Alsea,aes,1,yaqu1250,final,final,1,alse1251,Alsea,language,Oregon Penutian
xd1091,Takelma,tkm,1,take1257,final,final,1,take1257,Takelma,language,Oregon Penutian
xd1378,Paez,pbb,1,paez1247,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,paez1247,Páez,language,Paezan
xd804,Banaro,byz,1,bana1292,final,final,1,bana1292,Banaro,language,Ramu-Lower Sepik
xd6,Sandawe,sad,1,sand1273,final,final,1,sand1273,Sandawe,language,Sandawe
xd778,Tiwi,tiw,1,tiwi1244,final,final,1,tiwi1244,Tiwi,language,Tiwian
xd822,Purari,iar,1,iaii1238,final,final,1,pura1257,Purari,language,Trans-New Guinea
xd985,Guaicura,qjg,1,guai1237,final,final,1,guai1237,Guaicurian,language,Unclassified
xd1257,Timucua,tjm,1,timu1245,final,final,1,timu1245,Timucua,language,Unclassified
xd1345,Yaruro,yae,1,pume1238,final,final,1,pume1238,Pumé,language,Unclassified
xd843,Rossel,yle,1,yele1255,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,yele1255,Yele,language,Yele-West New Britain
xd1248,Abnaki,aaq,2,peno1243,final,final,1,algi1248,Algic,family,
xd1253,Penobscot,aaq,2,peno1243,final,final,1,algi1248,Algic,family,
xd454,Afar,aar,1,afar1241,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd577,Abkhaz,abk,1,abkh1244,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,abkh1242,Abkhaz-Adyge,family,
xd904,Ayta (Pinatubo),abp,1,aben1249,final,final,1,aust1307,Austronesian,family,
xd217,Abron,abr,1,abro1238,final,final,1,atla1278,Atlantic-Congo,family,
xd761,Ambonese,abs,1,dobo1244,final,final,1,aust1307,Austronesian,family,
xd791,Abelam,abt,1,ambu1247,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,nduu1242,Ndu,family,
xd220,Assini,abu,1,abur1243,final,final,1,atla1278,Atlantic-Congo,family,
xd385,Acholi,ach,2,dhop1238,final,final,3,nilo1247,Nilotic,family,
xd398,Labwor,ach,2,labw1238,TEMP,"final, though may be over-resolved",2,nilo1247,Nilotic,family,
xd587,Madan,acm,1,meso1252,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd1417,Coroa,acs,1,acro1239,final,final,1,nucl1710,Nuclear-Macro-Je,family,
xd1108,Achomawi,acv,1,achu1247,final,final,1,pala1350,Palaihnihan,family,
xd214,Adangme,ada,1,adan1247,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd653,Abor,adi,1,bori1243,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,sino1245,Sino-Tibetan,family,
