var_id,code,description,name
1,NA,Missing data,Missing data
2,NA,Missing data,Missing data
3,NA,Missing data,Missing data
4,NA,Missing data,Missing data
4,1,Majority of a group's nutritional intake comes from terrestrial animal resources,Hunting
4,2,Majority of a group's nutritional intake comes from terrestrial plant resources,Gathering
4,3,Majority of a group's nutritional intake comes from aquatic resources,Fishing (aquatic)
5,NA,Missing data,Missing data
5,1,"Normal HGF group: at time of contact, subsistence was based exclusively on hunting, gathering and/or fishing. No domesticated resources were exploited, except perhas the dog or plant substance such as tobacco.",Normal
5,2,"Suspect: altrough the group may be organized similarly to hunter-gatherer-fishers, some subsistence may come from exchanges with non-HGF groups",Suspect
6,NA,Missing data,Missing data
7,NA,Missing data,Missing data
8,NA,Missing data,Missing data
9,NA,Missing data,Missing data
9,1,Group is mobile and moves entire population from camp to camp as they go about the subsistence round,Mobile
9,2,Group is completely sedentary or group moves into and out of a central location that is maintained for more than one year,Sedentary
10,NA,Missing data,Missing data
11,NA,Missing data,Missing data
12,NA,Missing data,Missing data
13,NA,Missing data,Missing data
14,NA,Missing data,Missing data
15,NA,Missing data,Missing data
16,NA,Missing data,Missing data
17,NA,Missing data,Missing data
17,1,Independent nuclear families with monogamy,"Nuclear, monogamous"
17,2,Independent nuclear families with occasional or limited polygyny,"Nuclear, limited polygyny"
17,3,Independent polyandrous families,Polyandrous
17,4,"Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters ","Polygyny, atypical cowives pattern"
17,5,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters) ","Polygyny, typical cowives pattern"
17,6,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations",Minimal extended
17,7,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",Small extended
