soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
B1,,1970,B001,65,,avadhani1975; brosius1986; harrison1949; kedit1982; oldrey1975; sellato1994; urquhart1951,Binford_2001_Table_5.01,
B10,,1900,B001,65,,bailey1863; seligmannandseligmann1911; skeatandblagden1906; spittel1945,Binford_2001_Table_5.01,
B100,,NA,B001,60,,blundell1975; blundell1980; love1917; love1936,Binford_2001_Table_5.01,
B101,,1934,B001,60,,kaberry1939,Binford_2001_Table_5.01,
B102,,1909,B001,35,,memmott1983a; memmott1983b,Binford_2001_Table_5.01,
B103,,1928,B001,13,,tindale1962a; tindale1962b,Binford_2001_Table_5.01,
B104,,NA,B001,55,,,Binford_2001_Table_5.01,
B105,,1900,B001,68,,birdsell1967; harris1978; harris1982; roth1909,Binford_2001_Table_5.01,
B106,,1910,B001,55,,clement1903; radcliffebrown1912,Binford_2001_Table_5.01,
B107,,1870,B001,24,,brayshaw1990; lumholtz1889,Binford_2001_Table_5.01,
B108,,1934,B001,65,,kaberry1939; nind1831,Binford_2001_Table_5.01,
B109,,1965,B001,70,,abbie1957; meggitt1962; meggittperscomm1973,Binford_2001_Table_5.01,
B11,,1972,B001,82,,morris1982a,Binford_2001_Table_5.01,
B110,,1880,B001,65,,petersonandlong1986; tonkinson1978,Binford_2001_Table_5.01,
B111,,1960,B001,70,,harris1978; petersonandlong1986,Binford_2001_Table_5.01,
B112,,1968,B001,80,,petersonandlong1986,Binford_2001_Table_5.01,
B113,,1936,B001,65,,campbelletal1936; gargettandhayden1991; haydenperscomm1990; haydenperscomm1992; long1970; long1971; meggitt1962; myers1986; petersonandlong1986,Binford_2001_Table_5.01,
B114,,1848,B001,20,,colliverandwoolston1975,Binford_2001_Table_5.01,
B115,,1840,B001,55,,morwood1987; winterbotham1980,Binford_2001_Table_5.01,
B116,,1900,B001,65,,duncankemp1964,Binford_2001_Table_5.01,
B117,,1965,B001,65,,binfordfieldnotes1974; campbelletal1936; denham1975; oconnell1987,Binford_2001_Table_5.01,
B118,,1968,B001,75,,gould1968; gould1969; gould1971; gould1977,Binford_2001_Table_5.01,
B119,,1850,B001,35,,belshaw1978; debertrodano1978; gardner1978,Binford_2001_Table_5.01,
B12,,1965,B001,45,,headland1986; headlandperscomm1992; headlandperscomm1993,Binford_2001_Table_5.01,
B120,,1968,B001,65,,brokensha1975; campbelletal1936; layton1983; long1970; petersonandlong1986; tindale1972; yengoyan1970,Binford_2001_Table_5.01,
B121,,1900,B001,55,,gason1879; howitt1891; sturt1849a,Binford_2001_Table_5.01,
B122,,1870,B001,65,,roberts1953; schulze1891,Binford_2001_Table_5.01,
B123,,1922,B001,65,,tindaleperscomm1965; tindaleperscomm1966; tindaleperscomm196668; white1915,Binford_2001_Table_5.01,
B124,,1900,B001,55,,binfordfieldnotes1993; long1970; roberts1953; spencerandgillen1899; spencerandgillen1927,Binford_2001_Table_5.01,
B125,,1880,B001,45,,parker1905,Binford_2001_Table_5.01,
B126,,1912,B001,50,,petersonandlong1986; tindaleperscomm1966,Binford_2001_Table_5.01,
B127,,1941,B001,55,,berndtandberndt1944; long1970,Binford_2001_Table_5.01,
B128,,1890,B001,40,,,Binford_2001_Table_5.01,
B129,,1840,B001,45,,cawthorne1844; draperperscomm1993,Binford_2001_Table_5.01,
B13,,1979,B001,35,,rai1982; wastl1957,Binford_2001_Table_5.01,
B130,,1910,B001,40,,,Binford_2001_Table_5.01,
B131,,1850,B001,45,,,Binford_2001_Table_5.01,
B132,,1850,B001,40,,nind1831,Binford_2001_Table_5.01,
B133,,1850,B001,35,,williams1985,Binford_2001_Table_5.01,
B134,,1850,B001,35,,cannon1983; gaughwinandsullivan1984,Binford_2001_Table_5.01,
B135,,1850,B001,45,,fisonandhowitt1880; howitt1904,Binford_2001_Table_5.01,
B136,,1830,B001,25,,hiatt1967; jones1971; jones1972; plomley1983; roth1899,Binford_2001_Table_5.01,
B137,,1830,B001,15,,hiatt1967; jones1971; jones1972,Binford_2001_Table_5.01,
B14,,1924,B001,50,,goodmanetal1985; vanoverbergh1925,Binford_2001_Table_5.01,
B143,,1900,B001,30,,bowen1976; gilg1965; griffen1959; kroeber1931; mcgee1898,Binford_2001_Table_5.01,
B144,,1870,B001,75,,bean1972; gifford1926b; kroeber1925a; strong1929a,Binford_2001_Table_5.01,
