id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
B72,xd1,!Kung,juho1239,!Kung (B72),"Kung Bushmen, !Kung (Was Nyae), Was Nyae",1950,San (FX10),http://ehrafworldcultures.yale.edu/collection?owc=FX10,-20,21.18,-20,21.18,Original,
B296,xd1000,Kuskowagmut,kusk1241,Kuskowagmut (B296),,1850,,,61.01,-161.55,61.01,-161.55,Original,
B322,xd1001,Syilx,sout2963,Okanagan (B322),Okanagan,1860,,,49.46,-119.63,49.46,-119.63,Original,
B335,xd1003,Round Lake Ojibwa,seve1241,Round Lake Ojibwa (B335),"Weagamow, North Caribou Lake, Round Lake",1900,,,52.71,-90.62,52.71,-90.62,Original,
B339,xd1004,North Albany Ojibwa,wini1244,North Albany Ojibwa (B339),North Albany,1850,,,51.22,-83.1,51.22,-83.1,Original,
B340,xd1005,Waswanipi Cree,sout2978,Waswanipi Cree (B340),Waswanipi,1900,,,49.78,-76.64,49.78,-76.64,Original,
B341,xd1006,Wegamon Ojibwa,seve1241,Wegamon Ojibwa (B341),Wegamon,1890,,,52.79,-90.64,52.79,-90.64,Original,
B350,xd1007,Mountain Dene,nort2942,Mountain (B350),"Mountain, Sahaptin, Sahtu, Sahtu Dene",1800,,,63.68,-125.37,63.68,-125.37,Original,
B351,xd1008,Hän,hann1241,Han (B351),Han,1880,,,64.79,-141.2,64.79,-141.2,Original,
B352,xd1009,Hare,nort2942,Hare (B352),"K'ahsho Got'ine, Sahtu, Sahtu Dene",1860,,,67.47,-125,67.47,-125,Original,
B354,xd1010,Koyukon,koyu1237,Koyukon (B354),,1880,,,66.52,-153.78,66.52,-153.78,Original,
B360,xd1011,Waskaganish,sout2978,Rupert House Cree (B360),"Rupert House Cree, Rupert House",1900,,,51.08,-77.81,51.08,-77.81,Original,
B363,xd1012,Tutchone,nort2941,Tutchone (B363),,1890,,,61.24,-138.21,61.24,-138.21,Original,
B364,xd1013,Holikachuk,holi1241,Holikachuk (B364),,1860,,,63.33,-157.54,63.33,-157.54,Original,
B369,xd1014,Norton Sound Inuit,kusk1241,Norton Sound Inuit (B369),Norton Sound Eskimo,1870,,,63.98,-160.75,63.98,-160.75,Original,
B370,xd1015,Kobuk Inuit,kobu1239,Kobuk Inuit (B370),Kobuk Eskimo,1890,,,66.95,-156.94,66.95,-156.94,Original,
B371,xd1016,Kotzebue Sound Inuit,kotz1238,Kotzebue Sound Inuit (B371),Kotzebue Sound,1880,,,66.77,-161.53,66.77,-161.53,Original,
B373,xd1017,Great Whale Inuit,queb1248,Great Whale Inuit (B373),"Great Whale Eskimo, Kuujjuarapik",1890,,,55.32,-77.69,55.32,-77.69,Original,
B375,xd1018,Noatak Inuit,nort2945,Noatak Inuit (B375),"Nuataaq Inupiaq, Nuataagmiut, Noatak Eskimo",1900,,,68.09,-160,68.09,-160,Original,
B378,xd1019,Inuvialuit,sigl1242,Mackenzie Inuit (B378),"Western Canadian Inuit, Mackenzie Eskimo, Mackenzie Inuit",1910,,,69.96,-132.09,69.67,-132.08,Revised,
B379,xd1020,Sivokamiut Inuit,cent2128,Sivokamiut Inuit (B379),Sivokamiut Eskimo,1920,,,63.49,-170.31,63.49,-170.31,Original,
B380,xd1021,Inupiat,cent2128,Point Hope Inuit (B380),"Tikigagmiut, Inupiat, Point Hope Inuit, Point Hope Eskimo",1880,,,68.29,-166.62,68.41,-166.21,Revised,
B381,xd1022,Copper Inuit,copp1244,Copper Inuit (B381),"Kitlinermiut, Copper Eskimo",1920,Copper Eskimo (ND08),http://ehrafworldcultures.yale.edu/collection?owc=ND08,68.58,-106.61,68.58,-106.61,Original,
B382,xd1023,Utkuhikhalingmiut,nets1241,Utkuhikhalingmiut (B382),,1920,,,66.99,-95.18,66.99,-95.08,Revised,
B383,xd1024,Aivilingmiut Inuit,cari1277,Aivilingmiut Inuit (B383),Aivilingmiut Eskimo,1880,,,65.16,-88.12,65.16,-88.12,Original,
B384,xd1025,Iglulik Inuit,west2618,Iglulik Inuit (B384),"Igloolik, Iglulingmiut",1920,,,69.44,-81.51,69.45,-81.51,Revised,
B359,xd1026,Nabesna,uppe1437,Nabesna (B359),Upper Tanana Indians,1930,,,63.44,-143.12,63.44,-143.12,Original,
B297,xd1027,Chugach,paci1278,Chugash (B297),"Chugachigmiut, Chugash",1930,South Alaskan Eskimo (NA10),http://ehrafworldcultures.yale.edu/collection?owc=NA10,61.21,-147.61,61.21,-147.61,Original,
B377,xd1029,Nunamiut,nort2944,Nunamiut Inuit (B377),"Inland North Alaskan Eskimo, Nunamiut Eskimo",1950,,,68.18,-151.71,68.18,-151.71,Original,HH: Belongs to language North Alaskan Inupiatun [nort2943] and more specifically to the North Slope Inupiatun [nort2944] dialect
B386,xd1030,Baffin Island Inuit,baff1240,Baffin Island Inuit (B386),Baffinland,1880,,,65,-65,65.21,-64.65,Revised,
B390,xd1031,Inughuit (Northern Greenland),pola1254,Polar Inuit (B390),"Polar Eskimo, Arctic Highlanders, Smith Sound Inuit, Smith Sound Eskimo",1880,,,77.49,-69.5,77.53,-69.5,Revised,"Note 8Feb2018: Glottocode changed to [ike] based on note from HH: ""The Polar Eskimo do not speak a language intelligible to Kalaalisut and had until recent times no contact or knowledge of the Kalaalisut further south. The language is intelligible to North Baffin Inuktitut so Glottolog counts Polar Eskimo as Eastern Canadian Inuktitut [ike]. Furthermore, Oswalt 1963 is listed as a reference to Polar Eskimo but concerns a completely different people in Alaska who speak Yupik-Central [esu]."""
B361,xd1032,Tlicho,dogr1252,Dogrib (B361),Dogrib,1860,,,63.85,-115.61,63.85,-115.61,Original,
B358,xd1033,Délįne,nort2942,Satudene-Bear Lake (B358),"Bear Lake Dene, Satudene, Great Bear Lake People, Sahtu, Sahtu Dene",1860,,,65.75,-122.89,65.75,-122.89,Original,
B345,xd1034,DeneTha,sout2959,Slave (B345),"Slave, Deh Cho (Southern Slavey), Slavey, Dene (distinguish from speakers of the Dene language)",1860,,,61.15,-119.5,61.15,-119.5,Original,
B349,xd1035,Dakelh,carr1249,Carrier (B349),"Carrier, Takulli",1880,,,53.33,-123.15,53.33,-123.15,Original,
B389,xd1036,Tareumiut,nort2944,Tareumiut Inuit (B389),"Tagiumiut, Point Barrow Eskimo, Barrow",1880,,,71.32,-156.78,71.24,-156.78,Revised,
B356,xd1037,Kutchin,gwic1235,Kutchin (B356),"Gwich'in, Loucheux",1880,,,65.94,-135.23,65.94,-135.23,Original,
B374,xd1038,Caribou Inuit,cari1277,Caribou Inuit (B374),Caribou Eskimo,1900,,,64.33,-96.2,64.33,-96.2,Original,
B372,xd1039,Labrador Inuit,labr1244,Labrador Inuit (B372),"Sukinninmiut, Labrador Eskimo",1890,,,57.97,-62.02,57.83,-62.32,Revised,
B388,xd1040,Tasiilaq,tunu1234,Angmaksalik (B388),"Angmagsalik (East Greenland), Ammassalik, East Greenland Eskimo, Polar Eskimo",1880,,,65.63,-37.64,65.64,-37.64,Revised,HH: Tasiilaq are a subtribe of the Angmaksalik which are Tunumiisiut [tunu1234]
