id,related
B72,EA:Kung (Aa1);SCCS:Kung (SCCS2)
B296,
B322,WNAI:Southern Okanagon (J99)
B335,
B339,
B340,
B341,
B350,
B351,
B352,
B354,
B360,
B363,
B364,
B369,
B370,
B371,
B373,
B375,
B378,
B379,
B380,
B381,EA:Copper Eskimo (Na3);SCCS:Copper Eskimo (SCCS124)
B382,
B383,
B384,EA:Iglulik (Na22)
B359,EA:Nabesna (Na1)
B297,EA:Chugach (Na10)
B377,EA:Nunamiut (Na12)
B386,EA:Baffinland (Na13)
B390,EA:Polar Eskimo (Na14)
B361,EA:Dogrib (Na15)
B358,EA:Satudene (Na16)
B345,EA:Slave (Na17);SCCS:Slave (SCCS128)
B349,EA:Carrier (Na19);WNAI:Alkatcho Carrier (J93);WNAI:Lower Carrier (J94)
B389,EA:Tareumiut (Na2)
B356,EA:Kutchin (Na20)
B374,EA:Caribou Eskimo (Na21)
B372,EA:Labrador Eskimo (Na23)
B388,EA:Angmagsalik (Na24)
B385,EA:Greenlanders (Na25)
B362,EA:Tanaina (Na26)
B347,EA:Tahltan (Na27)
B343,EA:Sekani (Na28)
B344,EA:Beaver (Na29)
B355,EA:Chipewyan (Na30)
B342,EA:Montagnais (Na32);SCCS:Montagnais (SCCS125)
B332,EA:Northern Saulteaux (Na33);SCCS:Saulteaux (SCCS127)
B334,EA:Pekangekum (Na34)
B337,EA:Nipigon (Na35)
B331,EA:Rainy River (Na37)
B328,EA:Katikitegon (Na38)
B327,EA:Eastern Ojibwa (Na39)
B346,EA:Kaska (Na4);SCCS:Kaska (SCCS129)
B329,EA:Micmac (Na41);SCCS:Micmac (SCCS126)
B387,EA:Netsilik (Na43)
B338,EA:Mistassini (Na45)
B365,EA:Naskapi (Na5)
B299,EA:Nunivak (Na6)
B353,EA:Cree Attawapiskat (Na7)
B357,EA:Ingalik (Na8);SCCS:Ingalik (SCCS122)
B298,EA:Aleut (Na9);SCCS:Aleut (SCCS123)
B290,EA:Haida (Nb1);SCCS:Haida (SCCS131);WNAI:North Masset Haida (J3)
B336,EA:Alkatcho (Nb10)
B273,EA:Nootka (Nb11);WNAI:Clayoquot Nootka (J12)
B268,EA:Squamish (Nb13);WNAI:Squamish Salish (J16)
B282,EA:Comox (Nb14)
B277,EA:Lummi (Nb15);WNAI:Lummi Salish (J21)
B285,EA:Klallam (Nb16);WNAI:Klallam Salish (J22)
B270,EA:Puyallup (Nb17);WNAI:Puyallup Salish (J25)
B284,EA:Quileute (Nb18);WNAI:Quileute Chimakuan (J26)
B274,EA:Chinook (Nb19);WNAI:Lower Chinook (J27)
B271,EA:Twana (Nb2);SCCS:Twana (SCCS133);WNAI:Twana Salish (J23)
B281,EA:Tillamok (Nb20);WNAI:Tillamook Salish (J28)
B275,EA:Coos (Nb21);WNAI:Coos (J31)
B292,EA:Tlingit (Nb22);WNAI:South Tlingit (J2)
B283,EA:Bellabella (Nb23);WNAI:Bella Bella Kwakiutl (J9)
B286,EA:Makah (Nb24);WNAI:Makah Nootkan (J13)
B278,EA:Quinault (Nb25);WNAI:Quinault Salish (J24)
B280,EA:Cowichan (Nb26);WNAI:Cowichan Salish (J17)
B279,EA:Stalo (Nb27);WNAI:Upper Stalo Salish (J19)
B269,EA:Alsea (Nb28);WNAI:Alsea (J29)
B288,EA:Kwakiutl (Nb3);WNAI:Fort Rupert Kwakiutl (J10)
B176,EA:Takelma (Nb30)
B181,EA:Tututni (Nb31);WNAI:Tututni Athapaskan (J32)
B179,EA:Shasta (Nb32);WNAI:East Shasta (J44);WNAI:West Shasta (J45)
B162,EA:Chimariko (Nb33);WNAI:Chimariko (J46)
B182,EA:Karok (Nb34);WNAI:Karok (J37)
B180,EA:Hupa (Nb35);WNAI:Hupa Athapaskan (J38)
B184,EA:Wiyot (Nb36);WNAI:Wiyot (J39)
B167,EA:Lassik (Nb37)
B169,EA:Mattole (Nb38);WNAI:Mattole Athapaskan (J41)
B166,EA:Sinkyone (Nb39);WNAI:Sinkyone Athapaskan (J40)
B186,EA:Yurok (Nb4);SCCS:Yurok (SCCS134);WNAI:Yurok (J36)
