category,id,title,definition,type,units,source,changes,notes
"Subsistence, Economy, Property",1,Subsistence economy: Gathering,"Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.",Continuous,%,Binford (2001) Table 5.01; variable 'GATHERING',,More detail on code definitions and variable in Binford (2001) p. 117
"Subsistence, Economy, Property",2,Subsistence economy: Hunting,"Group's dependence upon hunting of terrestrial animals, relative to other subsistence activities",Continuous,%,Binford (2001) Table 5.01; variable 'HUNTING',,More detail on code definitions and variable in Binford (2001) p. 117
"Subsistence, Economy, Property",3,Subsistence economy: Fishing,"Group's dependence upon fishing of aquatic organisms, relative to other subsistence activities",Continuous,%,Binford (2001) Table 5.01; variable 'FISHING',,More detail on code definitions and variable in Binford (2001) p. 117
"Subsistence, Economy, Property",4,Subsistence economy: Most important activity,"Subsistence activity that provides the majority of a group's nutritional intake (hunting, gathering, or fishing)",Categorical,,Binford (2001) Table 5.01; variable 'SUBSP',,"More detail on code definitions and variable in Binford (2001) pp. 117, 312"
"Subsistence, Economy, Property",5,Subsistence economy: Deviation from HGF at documentation,"Character of a group's subsistence economy at the time of documentation (i.e., was susbsistence truly through hunting, gathering, fishing, only?). Groups are coded as either ""normal"" or ""suspect"".",Categorical,,Binford (2001) Table 5.01; variable 'SUBPOP',,More detail on code definitions and variable in Binford (2001) p. 244
Population,6,Population of ethnic group,Total number of persons to whom the the ethnographic description applies,Continuous,individuals,Binford (2001) Table 5.01; variable 'TLPOP',,More detail on code definitions and variable in Binford (2001) p. 117
"Population, Subsistence",7,Area occupied by ethnic group (square km),"Ethnographers' estimates of the total land area occupied by the group, in square kilometers",Continuous,km2,Binford (2001) Table 5.01; variable 'AREA',"Binford provided estimates in units of '100 square km,' rather than 'square km'",More detail on code definitions and variable in Binford (2001) p. 117
"Population, Subsistence",8,Population density (persons per square km) ,Population of ethnic group divided by area occupied by ethnic group (persons per square km) ,Continuous,individuals per km2,Binford (2001) Table 5.01; variable 'DENSITY',Binford provided estimates in 'person per 100 square km' rather than in 'persons per square km',More detail on code definitions and variable in Binford (2001) p. 117
"Community organization, Settlement",9,Mobility of group,Is the population mobile or sedentary?,Categorical,,Binford (2001) Table 5.01; variable 'GRPPAT',,More detail on code definitions and variable in Binford (2001) p. 117
"Population, Demography, Subsistence, Community organization, Settlement",10,Size of smallest group that regularly cooperates for subsistence,"Mean size of the mobile consumer unit that camps together during the most dispersed phase of the settlement cycle. For sedentary groups, the entry indicates the size of the mobile task group operating out of a relatively permanent settlement, as in the case of family units moving together in a ‘walkabout’ strategy during some season of the year. (Binford's ""GRP1"").",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP1' (Table 5.01) or 'MOST DISPERSED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 143, 236, 244"
"Population, Demography, Community organization, Settlement",11,Size of village or camp when population most aggregated,"Mean size of the consumer group that regularly camps together during the most aggregated phase of the yearly economic cycles (applies to groups that are mobile, moving entire population from camp to camp as subsistence activities are carried out). For sedentary groups, this is village size.  (Binford's ""GRP2"").",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP2' (Table 5.01) or 'MOST AGGREGATED' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 144, 237, 244"
"Population, Demography, Community organization, Settlement",12,Size of periodic regional aggregations,"Mean size of multigroup encampments that may aggregate periodically, but not necessarily annually, for immediate subsistence-related activities. (Binford's ""GRP3"").",Continuous,individuals,Binford (2001) Tables 5.01 and 8.01; variable 'GROUP3' (Table 5.01) or 'PERIODIC REGIONAL AGGREGATIONS' (Table 8.01),"In cases where tables 5.01 and 8.01 provided different values for the same society, we adopted the value from table 8.01 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.","More detail on code definitions and variable in Binford (2001) pp. 117, 145, 244"
"Community organization, Settlement",13,Number of moves per year,"Number of moves per year, with 0 moves indicating that society is sedentary",Continuous,moves per year,Binford (2001) Tables 5.01 and 8.04.; variable 'NOMOV' (Table 5.01) or 'NUMBER OF MOVES PER YEAR' (Table 8.01),"In cases where tables 5.01 and 8.04 provided different values for the same society, we adopted the value from table 8.04 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field.",More detail on code definitions and variable in Binford (2001) p. 117
"Community organization, Settlement",14,Distance moved per year (km),Total distance moved between camps/settlements in a year. A distance of 0 indicates society is sedentary.,Continuous,km per year,Binford (2001) Tables 5.01 and 8.04.; variable 'DISMOV' (Table 5.01) or 'DISTANCE MOVED PER YEAR' (Table 8.01),"In cases where tables 5.01 and 8.04 provided different values for the same society, we adopted the value from table 8.04 because data points in that table were tagged with their specific reference (including page numbers). These cases are flagged by a comment in the ""Comments"" field. Note that Binford's table 8.04 provides estimates in miles rather than in km.","More detail on code definitions and variable in Binford (2001) pp. 117, 150"
"Kinship, Demography",15,Household size,Number of persons residing in a single structure,Continuous,individuals,Binford (2001) Table 8.08; variable 'PERSONS PER HOUSEHOLD',,
"Kinship, Demography",16,Family size,Number of persons per family,Continuous,individuals,Binford (2001) Table 8.08; variable 'PERSONS PER FAMILY',,
"Marriage, Kinship",17,Domestic organization,The prevailing form of domestic or familial organization,Categorical,,Binford (2001) Table 8.08; variable 'HOUSEHOLD TYPE' (converted to numeric codes following Gray (1999)),,
"Marriage, Kinship",18,Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families",Categorical,,Binford (2001) Table 8.08; variable 'HOUSEHOLD TYPE' (converted to numeric codes following Gray (1999)),,
"Marriage, Kinship",19,Polygyny,Percentage of males with more than one wife,Continuous,%,Binford (2001) Table 8.07; variable 'PERCENTAGE OF POLYGYNY',,
"Marriage, Demography",20,Age of males at first marriage,Mean age (in years) of males at first marriage,Continuous,years,Binford (2001) Table 8.07; variable 'AGE AT MARRIAGE - MALE',,
"Marriage, Demography",21,Age of females at first marriage,Mean age (in years) of females at first marriage,Continuous,years,Binford (2001) Table 8.07; variable 'AGE AT MARRIAGE - FEMALE',,
"Marriage, Kinship, Community organization",22,Mean household size (in small subsistence groups),"An estimate of mean household size based on the following calculation: number of persons in smallest group that regularly cooperates for subsistence, divided by number of households in one of these groups",Continuous,individuals,Binford (2001) Table 9.01; variable 'G1MHS',,Code and variable definitions from Binford and Johnson (2006)
"Marriage, Kinship, Community organization",23,Mean family size (in small subsistence groups),"An estimate of mean family size based on the following calculation: number of persons in smallest group that regularly cooperates for subsistence, divided by number of married men in group",Continuous,individuals,Binford (2001) Table 9.01; variable 'G1FAMSZ',,More detail on code definitions and variable in Binford (2001) p.286 and Binford and Johnson (2006)
"Marriage, Kinship, Community organization",24,Mean household size (in villages or large camps),"An estimate of mean household size based on the following calculation: number of persons per settlement (i.e., village or camp at time of year when population is most aggregated), divided by number of households per settlement",Continuous,individuals,Binford (2001) Table 9.01; variable 'G2MHS',,
"Marriage, Kinship, Community organization",25,Mean family size (in villages or large camps),"Mean family size calculated as: number of persons per settlement (i.e., village or camp at time of year when population is most aggregated), divided by number of married men per settlement.",Continuous,individuals,Binford (2001) Table 9.01; variable 'G2FAMSZ',,
"Marriage, Kinship, Community organization",27,Number of families per household,Mean number of families per household,Continuous,families,Binford (2001) Table 9.01; variable 'FAMHOUS',,
"Politics, Leadership",29,Jurisdictional hierarchy of local community,Political complexity at level of local community,Categorical,,Binford (2001) Table 9.01; variable 'POLYSCAL',,"More detail on code definitions and variable in Binford (2001) p. 244, caption to fig. 8.02; p.338, caption to Fig 9.06"
Politics,30,Political relationship to neighbouring groups,Political and economic position of the group relative to other groups in the region,Categorical,,Binford (2001) Table 9.01; variable 'POLPOS',,More detail on code definitions and variable in Binford (2001) p. 404
"Politics, Class",31,Type of social class distinction,Type of social class distinction,Categorical,,Binford (2001) Table 9.01; variable 'CLASS',,More detail on code definitions and variable in Binford (2001) p. 396
"Politics, Leadership",32,Perogatives of leadership,"Perogatives of leadership, regardless of the types of leadership present in the group",Categorical,,Binford (2001) Table 9.01; variable 'PEROGAT',,"More detail on code definitions and variable in Binford (2001) p.338, caption to Fig 9.06"
"Economy, Property, Wealth transactions",33,Use of money,Presence or absence of use of money within the society,Ordinal,,Binford (2001) Table 9.01; variable 'MONEY',,Code and variable definitions from Binford and Johnson (2006)
"Economy, Labour",34,Economic specialization,Whether there is economic role specialization beyond simple age and gender differences,Ordinal,,Binford (2001) Table 9.01; variable 'OCCSPE',,"More detail on variable in Binford (2001) p. 333, but no code definitions; division of labor discussed briefly on p. 244; code definitions from Binford and Johnson (2006)"
"Marriage,Kinship, Community organization",35,Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy coded together with the presence or absence of localized kin groups. Can be interpreted as ordinal measure of endogamy.",Categorical,,Binford (2001) Table 9.01; variable 'COMMUN',,Code and variable definitions from Binford and Johnson (2006)
