var_id,code,description,name
EA001,0,Zero to 5 percent dependence,0-5%
EA001,1,6 to 15 percent dependence,6-15%
EA001,2,16 to 25 percent dependence,16-25%
EA001,3,26 to 35 percent dependence,26-35%
EA001,4,36 to 45 percent dependence,36-45%
EA001,5,46 to 55 percent dependence,46-55%
EA001,6,56 to 65 percent dependence,56-65%
EA001,7,66 to 75 percent dependence,66-75%
EA001,8,76 to 85 percent dependence,76-85%
EA001,9,86 to 100 percent dependence,86-100%
EA001,NA,Missing data,Missing data
EA002,0,Zero to 5 percent dependence,0-5%
EA002,1,6 to 15 percent dependence,6-15%
EA002,2,16 to 25 percent dependence,16-25%
EA002,3,26 to 35 percent dependence,26-35%
EA002,4,36 to 45 percent dependence,36-45%
EA002,5,46 to 55 percent dependence,46-55%
EA002,6,56 to 65 percent dependence,56-65%
EA002,7,66 to 75 percent dependence,66-75%
EA002,8,76 to 85 percent dependence,76-85%
EA002,9,86 to 100 percent dependence,86-100%
EA002,NA,Missing data,Missing data
EA003,0,Zero to 5 percent dependence,0-5%
EA003,1,6 to 15 percent dependence,6-15%
EA003,2,16 to 25 percent dependence,16-25%
EA003,3,26 to 35 percent dependence,26-35%
EA003,4,36 to 45 percent dependence,36-45%
EA003,5,46 to 55 percent dependence,46-55%
EA003,6,56 to 65 percent dependence,56-65%
EA003,7,66 to 75 percent dependence,66-75%
EA003,8,76 to 85 percent dependence,76-85%
EA003,9,86 to 100 percent dependence,86-100%
EA003,NA,Missing data,Missing data
EA004,0,Zero to 5 percent dependence,0-5%
EA004,1,6 to 15 percent dependence,6-15%
EA004,2,16 to 25 percent dependence,16-25%
EA004,3,26 to 35 percent dependence,26-35%
EA004,4,36 to 45 percent dependence,36-45%
EA004,5,46 to 55 percent dependence,46-55%
EA004,6,56 to 65 percent dependence,56-65%
EA004,7,66 to 75 percent dependence,66-75%
EA004,8,76 to 85 percent dependence,76-85%
EA004,9,86 to 100 percent dependence,86-100%
EA004,NA,Missing data,Missing data
EA005,0,Zero to 5 percent dependence,0-5%
EA005,1,6 to 15 percent dependence,6-15%
EA005,2,16 to 25 percent dependence,16-25%
EA005,3,26 to 35 percent dependence,26-35%
EA005,4,36 to 45 percent dependence,36-45%
EA005,5,46 to 55 percent dependence,46-55%
EA005,6,56 to 65 percent dependence,56-65%
EA005,7,66 to 75 percent dependence,66-75%
EA005,8,76 to 85 percent dependence,76-85%
EA005,9,86 to 100 percent dependence,86-100%
EA005,NA,Missing data,Missing data
EA006,NA,Missing data,Missing data
EA006,1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride",Bride-wealth
EA006,2,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen",Bride-service
EA006,3,"Token bride-price, i.e., a small or symbolic payment only",Token bride-wealth
EA006,4,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives",Gift exchange
EA006,5,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride",Woman exchange
EA006,6,"Absence of any significant consideration, or bridal gifts only",Insignificant
EA006,7,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter",Dowry
EA007,NA,Missing data,Missing data
EA007,1,"Bride-price or bride-wealth, i.e., transfer of a substantial consideration in the form of livestock, goods, or money from the groom or his relatives to the kinsmen of the bride",Bride-wealth
EA007,2,"Bride-service, i.e., a substantial material consideration in which the principal element consists of labor or other services rendered by the groom to the bride's kinsmen",Bride-service
EA007,3,"Token bride-price, i.e., a small or symbolic payment only",Token bride-wealth
EA007,4,"Gift exchange, i.e., reciprocal exchange of gifts of substantial value between the relatives of the bride and groom, or a continuing exchange of goods and services in approximately equal amounts between the groom or his kinsmen and the bride's relatives",Gift exchange
EA007,5,"Exchange, i.e., transfer of a sister or other female relative of the groom in exchange for the bride",Woman exchange
EA007,6,"Absence of any significant consideration, or bridal gifts only",Insignificant
EA007,7,"Dowry, i.e., transfer of a substantial amount of property from the bride's relatives to the bride, the groom, or the kinsmen of the latter",Dowry
EA007,8,"No alternate mode or supplementary practices, see ""Mode of marriage (primary)""",No alternate
EA008,NA,Missing data,Missing data
EA008,1,Independent nuclear families with monogamy,"Nuclear, monogamous"
EA008,2,Independent nuclear families with occasional or limited polygyny,"Nuclear, limited polygyny"
EA008,3,Independent polyandrous families,Polyandrous
EA008,4,"Independent polygynous families, unusual co-wives pattern (either polygyny is preferentially sororal, with cowives in separate quarters or it is typically non-sororal, with cowives in same quarters ","Polygyny, atypical cowives pattern"
EA008,5,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters) ","Polygyny, typical cowives pattern"
EA008,6,"Minimal extended or ""stem"" families, i.e., those consisting of only two related families of procreation (disregarding polygamous unions), particularly of adjacent generations",Minimal extended
EA008,7,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",Small extended
EA008,8,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations",Large extended
EA009,NA,Missing data,Missing data
EA009,1,Monogamous,Monogamous
EA009,2,"Polygynous, with polygyny occasional or limited",Limited polygyny
EA009,3,"Polygynous, with polygyny common and preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, sororal cohabit"
EA009,4,"Polygynous, with polygyny common and preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, sororal separate"
EA009,5,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives typically occupying separate quarters","Polygyny, non-sororal cohabit"
EA009,6,"Polygynous, with polygyny general and not reported to be preferentially sororal, and co-wives not reported to occupy separate quarters","Polygyny, non-sororal separate"
EA009,7,Polyandrous,Polyandrous
EA010,NA,Missing data,Missing data
EA010,1,"Avunculocal, i.e., normal residence with or near the maternal uncle or other male matrilineal kinsmen of the husband",Avunculocal
EA010,2,"Ambilocal, i.e., residence established optionally with or near the parents of either the husband or the wife, depending upon circumstances or personal choice, where neither alternative exceeds the other in actual frequency by a ratio greater than two to one.",Ambilocal
EA010,3,"Optionally uxorilocal or avunculocal. This may be the case in a uxorilocal society where many men marry a MoBrDa and thus, in fact, live avunculocally",Avuncu-uxorilocal
EA010,4,Optionally patrilocal (or virilocal) or avunculocal,Avuncu-virilocal
EA010,5,"Matrilocal, i.e., normal residence with or near the female matrilineal kinsmen of the wife. Cf. U Uxorilocal",Matrilocal
EA010,6,"Neolocal, i.e., normal residence apart from the relatives of both spouses or at a place not determined by the kin ties of either",Neolocal
EA010,7,"Nonestablishment of a common household, i.e., where both spouses remain in their natal households, sometimes called ""duolocal"" or ""natolocal"" residence",Separate
EA010,8,"Patrilocal, i.e., normal residence with or near the male patrilineal kinsmen of the husband. Cf. V Virilocal",Patrilocal
