id,key,citation
abadie1924,"Abadie, 1924","Abadie, M. 1924. Les races du Haut-Tonkin. Paris."
abasadse1894,"Abasadse, 1894","Abasadse, N. L. von. 1894. Die Familie bei den Grusinern. Arch. Anth. 22: 435-442. ."
abbeville1614,"Abbeville, 1614","Abbeville, C. d'. 1614. Histoire de la mission des Peres Capucins en I'isle de Maraguan et terres circonvoisines. Paris."
abbott1892,"Abbott, 1892","Abbott, W. R. 1892. Ethnological Collections. Reports of the U. S. National Museum, 1890-91, 381-428."
abbott1917,"Abbott, 1917","Abbott, F. F. 1917. Common People of Ancient Rome. New York."
abdallah1917,"Abd Allah, 1917","Abd Allah, M. M. 1917. Siwan Customs. Harvard Afr. Studies 1: 1-28."
aberle1953,"Aberle, 1953","Aberle, DAvid F. 1953. The Kinship System of the Kalmuk Mongols. University of New Mexico Publications in Anthropology, No. 8, pp. 1-48."
abrahams1967,"Abrahams, 1967","Abrahams, R. G. 1967. The Peoples of Greater Unyamwezi. London."
adeler1939,"Adeler, 1939","Adeler. 1939. Coutume maure. Publ. Com. Et. Hist. Scient. Afr. Occ. Franc., ser. A, 9: 373-400."
adelmannd,"Adelman, nd","Adelman, F. Ms. The Kalmuks of the Lower Volga River and Their Kinship Structure."
adrianiandkruijt1912,"Adriani and Kruijt, 1912","Adriani, N., and A. C. Kruijt. 1912. De Bare'e-sprekende Toradja's van Midden-Celebes. 3v. Batavia. (reprinted 1950-51 Amsterdam. )."
afanaseva1990,"Afanas'eva, 1990","Afanas'eva, G. M. 1990. Traditsionnaja sistema vosproizvodstva nganasan (problemy reproduktsii obosoblennyh populjatsij) (Nganasan Traditional Reproductive System: Problems of Reproduction among Population Isolates). Moscow."
aginskyandaginsky1967,"Aginsky and Aginsky, 1967","Aginsky, B. W., and E. G. Aginsky. 1967. Deep Valley. N. Y."
aginsky1935,"Aginsky, 1935","Aginsky, B. W. 1935. The Mechanics of Kinship. Amer. Anth. 37: 450-457."
aginsky1943,"Aginsky, 1943","Aginsky, B. W. 1943. Central Sierra. Anth. Records 8: 393-468."
ahlqvist1885,"Ahlqvist, 1885","Ahlqvist, A. 1885. Unter Wogulen und Ostjaken. Acta Soc. Scient. Fennicae 14: 133-307."
ahmarov1907,"Ahmarov, 1907","Ahmarov, G. N. 1907. Svadebnye obrjady kazanskiht atar (Wedding Rituals ofthe Kazan Tatars). Kazan'."
ajisafe1924,"Ajisafe, 1924","Ajisafe, A. K. 1924. The Laws and Customs of the Yoruba People. London."
aleksandrovandshlygina1971,"Aleksandrov and Shlygina, 1971","Aleksandrov, V. A., and N. V. Shlygina (eds. ). 1971. Sel'skie poselenija Pribaltiki (XIII-XX vv. ) (Rural Settlements of the Baltic Region [from the Eighteenth to the Twentieth Century]). Moscow."
aleksandrov1899,"Aleksandrov, 1899","Aleksandrov, N. A. 1899. Cheremisy i chuvashi. (Lesnaja okraina) (The Mari and Chuvash. Forest Province). Moscow."
aleksandrov1900a,"Aleksandrov, 1900a","Aleksandrov, N. A. 1900. Inorodtsy lesov (Non-Russian Woodland Peoples). Moscow."
