id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
Aa1,xd1,!Kung,juho1239,Kung (Aa1),"Kung Bushmen, !Kung (Was Nyae), Was Nyae",1950,San (FX10),http://ehrafworldcultures.yale.edu/collection?owc=FX10,-20,21,-20,21,Original,
Ab1,xd10,Herero,here1253,Herero (Ab1),"Damara, Ovaherero",1900,,,-21,16,-21,16,Original,
Ad31,xd100,Duruma,duru1249,Duruma (Ad31),Waduruma,1910,,,-4,39,-4,39,Original,
Ad32,xd101,Giriama,giry1241,Giriama (Ad32),"Kiriama, Wagiryama",1900,,,-3,40,-3,40,Original,
Ad33,xd102,Pokomo,poko1261,Pokomo (Ad33),Wapokomo,1900,,,-1,40,-1,40,Original,
Na3,xd1022,Copper Inuit,copp1244,Copper Eskimo (Na3),"Kitlinermiut, Copper Eskimo",1920,Copper Eskimo (ND08),http://ehrafworldcultures.yale.edu/collection?owc=ND08,69,-110,69,-110,Original,
Na22,xd1025,Iglulik Inuit,west2618,Iglulik (Na22),"Igloolik, Iglulingmiut",1920,,,70,-82,70,-82,Original,
Na1,xd1026,Nabesna,uppe1437,Nabesna (Na1),Upper Tanana Indians,1930,,,63,-141,63,-141,Original,
Na10,xd1027,Chugach,chug1254,Chugach (Na10),"Chugachigmiut, Chugash",1930,South Alaskan Eskimo (NA10),http://ehrafworldcultures.yale.edu/collection?owc=NA10,60,-147,60.72,-146.49,Revised,"3Oct2018 Assigned to dialect chug1254 (language does not change) to help differentiate this society from the closely related Koniag, also now mapped to language paci1278."
Na11,xd1028,Sivokakmeit,cent2128,Sivokakmeit (Na11),St. Lawrence Island Inuit,1920,,,63,-170,63.34,-170.3,Revised,"4Oct2018 - Note that while EA society Na11 has always been linked to xd1028, Binford society B379 was originally linked to xd1020 (and, thus, linked to the dialect poin1245 and language nort2943. The update to Glottolog 3.3.2 forced re-mapping of xd1028 from dialect aiwa1238 (which no longer exists) to language cent2128 (always the language-level match for this xd_id)."
Na12,xd1029,Nunamiut,nort2944,Nunamiut (Na12),"Inland North Alaskan Eskimo, Nunamiut Eskimo",1950,,,68,-152,68,-152,Original,"1Oct2018 - mapped to a new dialect (nort2944) of the same language (nort2943). HH: Belongs to language North Alaskan Inupiatun [nort2943] and more specifically to the North Slope Inupiatun [nort2944] dialect. Note that the subdialect to which it was previously mapped (Anaktuvuk Pass, anak1241) does not exist in Glottolog version 3.3.2. Note, this change may not be incorporated to Bouckaert/Atkinson global tree because of timing of correction."
Ad34,xd103,Kamba,kamb1297,Kamba (Ad34),"Akamba, Wakamba",1910,,,-2,38,-2,38,Original,
Na13,xd1030,Baffin Island Inuit,baff1240,Baffinland (Na13),Baffinland,1880,,,65,-65,65.24,-64.63,Revised,
Na14,xd1031,Inughuit (Northern Greenland),pola1254,Polar Eskimo (Na14),"Polar Eskimo, Arctic Highlanders, Smith Sound Inuit, Smith Sound Eskimo",1880,,,78,-70,78,-70,Original,"Note 8Feb2018: Glottocode changed to [ike] based on note from HH: ""The Polar Eskimo do not speak a language intelligible to Kalaalisut and had until recent times no contact or knowledge of the Kalaalisut further south. The language is intelligible to North Baffin Inuktitut so Glottolog counts Polar Eskimo as Eastern Canadian Inuktitut [ike]. Furthermore, Oswalt 1963 is listed as a reference to Polar Eskimo but concerns a completely different people in Alaska who speak Yupik-Central [esu]."""
Na15,xd1032,Tlicho,dogr1252,Dogrib (Na15),Dogrib,1860,,,63,-117,63,-117,Original,
Na16,xd1033,Délįne,nort2942,Satudene (Na16),"Bear Lake Dene, Satudene, Great Bear Lake People, Sahtu, Sahtu Dene",1860,,,65,-119,65,-119,Original,
Na17,xd1034,DeneTha,sout2959,Slave (Na17),"Slave, Deh Cho (Southern Slavey), Slavey, Dene (distinguish from speakers of the Dene language)",1860,,,61,-120,61,-120,Original,
Na19,xd1035,Dakelh,carr1249,Carrier (Na19),"Carrier, Takulli",1880,,,54,-124,54,-124,Original,
Na2,xd1036,Tareumiut,nort2944,Tareumiut (Na2),"Tagiumiut, Point Barrow Eskimo, Barrow",1880,,,71,-157,71,-157,Original,
Na20,xd1037,Kutchin,gwic1235,Kutchin (Na20),"Gwich'in, Loucheux",1880,,,66,-135,66,-135,Original,
Na21,xd1038,Caribou Inuit,cari1277,Caribou Eskimo (Na21),Caribou Eskimo,1900,,,63,-96,63,-96,Original,
Na23,xd1039,Labrador Inuit,labr1244,Labrador Eskimo (Na23),"Sukinninmiut, Labrador Eskimo",1890,,,58,-65,58,-65,Original,
Ad35,xd104,Meru,meru1245,Meru (Ad35),,1940,,,0,35,0,35,Original,"12Nov2018 - changed back to Meru meru1245 [mer], after looking at Murdock's primary sources in more detail. While the latter two refs do focus on the ""Kikuyu"" in general terms, within the Kikuyu they clearly differentiated the Kikuyu and Meru. (Previous note, based on comment from HH: ""8Feb2018 - Note possible mix, refs appear to refer to both kik and mer; kik assigned because majority of references refer to kik. [HH: ""The latter two refs deal with Kikuyu [kik] which is a different lg from Meru [mer]"".]"
Na24,xd1040,Tasiilaq,tunu1234,Angmagsalik (Na24),"Angmagsalik (East Greenland), Ammassalik, East Greenland Eskimo, Polar Eskimo",1880,,,66,-37,66,-37,Original,Note 8Feb2018: Changed based on note from HH: East Greenlandic is Tunumiisiut [tunu1234] in Glottolog.
Na25,xd1041,Kalaallit (West Greenland),kala1399,Greenlanders (Na25),"West Greenland Eskimo, West Greenland Inuit",1910,,,69,-53,68.66,-51.22,Revised,Note 8Feb2018: Glottocode updated from west2617 to kala1399
Na26,xd1042,Dena'ina,tana1289,Tanaina (Na26),Tanaina,1870,,,62,-144,62,-144,Original,
Na27,xd1043,Tahltan,tahl1239,Tahltan (Na27),Southwestern Nahane,1870,,,58,-131,58,-131,Original,
Na28,xd1044,Sekani,seka1250,Sekani (Na28),"Tsek'ene, Sicauni",1880,,,56,-123,56,-123,Original,
Na29,xd1045,Beaver,beav1236,Beaver (Na29),"Denezaa, Tsattine",1850,,,58,-117,58,-117,Original,
Na30,xd1046,Dene,chip1261,Chipewyan (Na30),Chipewyan,1880,Chipewyan (ND07),http://ehrafworldcultures.yale.edu/collection?owc=ND07,60,-105,60,-105,Original,
Na31,xd1047,Eastern Cree,sout2978,Eastern Cree (Na31),,1850,,,51,-85,51,-85,Original,
Na32,xd1048,Montagnais,mont1268,Montagnais (Na32),"Innu, Naskapi",1880,Montagnais (NH06),http://ehrafworldcultures.yale.edu/collection?owc=NH06,48,-72,48,-72,Original,"Note 8Feb2018: Not changed, despite comment from HH: ""Naskapi [nsk] is a different lg from Montagnais [moe]"". KK: Decided to leave, after looking into ethnographic materials: Foci are Lake St. John Band and Mistassini band [see KK notes for geographical extent of their territories]. Speck and Heye (1921): ""[the] Pikwagami (""Flat lake,"" Lake St John), are an interior Montagnais culture intermediate between that of the coast and that of the eastern Naskapi and Mistassini. Therefore, Montagnais [moe] is more appropriate choice. "
Na33,xd1049,Northern Saulteaux,alba1270,Northern Saulteaux (Na33),"N. Saulteaux, North Sauteaux",1870,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,52,-98,52,-98,Original,
Ad36,xd105,Pare,asut1235,Pare (Ad36),"Asu, Wapare",1890,,,-4,38,-4,38,Original,
Na34,xd1050,Pekangekum,lacs1238,Pekangekum (Na34),,1940,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,52,-94,52,-94,Original,
Na35,xd1051,Nipigon,cent2136,Nipigon (Na35),"Lake Nipigon Ojibway, Anishinaabek, Southern Saulteaux",1800,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,50,-88,50,-88,Original,
Na36,xd1052,Minnesota Ojibwa,redl1238,Chippewa (Na36),"Minnesota Chippewa, Chippewa, Ojibwe, Ojibwa, Ojibway",1860,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,49,-96,49,-96,Original,
Na37,xd1053,Rainy River Ojibwe,rain1239,Rainy River (Na37),"Gojijiwininiwag, Rainy River, Emo",1880,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,49,-92,49,-92,Original,
Na38,xd1054,Katikitegon,uppe1274,Katikitegon (Na38),Wisconsin Ojibwa,1800,,,46,-92,46,-92,Original,
Na39,xd1055,Eastern Ojibwa,east2542,Eastern Ojibwa (Na39),"Kitchibuan, Kitchibuan Ojibwa; Kitchibaun Ojibwa",1870,Ojibwa (NG06),http://ehrafworldcultures.yale.edu/collection?owc=NG06,46,-85,46,-85,Original,
Na4,xd1056,Kaska,kask1239,Kaska (Na4),Nahane,1920,Kaska (ND12),http://ehrafworldcultures.yale.edu/collection?owc=ND12,59,-128,59,-128,Original,
Na40,xd1057,Ottawa,otta1242,Ottawa (Na40),"Odawa, Odaawaa",1650,,,46,-82,46,-82,Original,
Na41,xd1058,Mi'kmaq,mikm1235,Micmac (Na41),Micmac,1700,Mi'kmaq (NJ05),http://ehrafworldcultures.yale.edu/collection?owc=NJ05,47,-65,47,-65,Original,
