id,related
Aa1,Binford: !Kung [B72]; SCCS: Kung [SCCS2]
Ab1,
Ad31,
Ad32,
Ad33,
Na3,Binford: Copper Inuit [B381]; SCCS: Copper Eskimo [SCCS124]
Na22,Binford: Iglulik Inuit [B384]
Na1,Binford: Nabesna [B359]
Na10,Binford: Chugash [B297]
Na11,
Na12,Binford: Nunamiut Inuit [B377]
Ad34,
Na13,Binford: Baffin Island Inuit [B386]
Na14,Binford: Polar Inuit [B390]
Na15,Binford: Dogrib [B361]
Na16,Binford: Satudene-Bear Lake [B358]
Na17,Binford: Slave [B345]; SCCS: Slave [SCCS128]
Na19,Binford: Carrier [B349]; WNAI: Alkatcho Carrier [WNAI93]; WNAI: Lower Carrier [WNAI94]
Na2,Binford: Tareumiut Inuit [B389]
Na20,Binford: Kutchin [B356]
Na21,Binford: Caribou Inuit [B374]
Na23,Binford: Labrador Inuit [B372]
Ad35,
Na24,Binford: Angmaksalik [B388]
Na25,Binford: West Greenland [B385]
Na26,Binford: Tanaina [B362]
Na27,Binford: Tahltan [B347]
Na28,Binford: Sekani [B343]
Na29,Binford: Beaver [B344]
Na30,Binford: Chippewyan [B355]
Na31,
Na32,Binford: Montagnais [B342]; SCCS: Montagnais [SCCS125]
Na33,Binford: North Saulteaux [B332]; SCCS: Saulteaux [SCCS127]
Ad36,
Na34,Binford: Pekangekum Ojibwa [B334]
Na35,Binford: Nipigon Ojibwa [B337]
Na36,
Na37,Binford: Rainy River Ojibwa [B331]
Na38,Binford: Katikitegon [B328]
Na39,Binford: Kitchibaun Ojibwa [B327]
Na4,Binford: Kaska [B346]; SCCS: Kaska [SCCS129]
Na40,
Na41,Binford: Micmac [B329]; SCCS: Micmac [SCCS126]
Na42,
Ad37,
Na43,Binford: Netsilik Inuit [B387]
Na44,
Na45,Binford: Mistassini Cree [B338]
Na5,Binford: Naskapi [B365]
Na6,Binford: Nunivak [B299]
Na7,Binford: Attawapiskat Cree [B353]
Na8,Binford: Ingalik [B357]; SCCS: Ingalik [SCCS122]
Na9,Binford: Aleut [B298]; SCCS: Aleut [SCCS123]
Nb1,Binford: Haida [B290]; SCCS: Haida [SCCS131]; WNAI: North Masset Haida [WNAI3]
Nb10,Binford: Alkatcho [B336]
Ad38,
Nb11,Binford: Nootka [B273]; WNAI: Clayoquot Nootka [WNAI12]
Nb12,WNAI: Klahuse Salish [WNAI14]
Nb13,Binford: Squamish [B268]; WNAI: Squamish Salish [WNAI16]
Nb14,Binford: Comox [B282]
Nb15,Binford: Lummi [B277]; WNAI: Lummi Salish [WNAI21]
Nb16,Binford: Clallam [B285]; WNAI: Klallam Salish [WNAI22]
Nb17,Binford: Puyallup [B270]; WNAI: Puyallup Salish [WNAI25]
Nb18,Binford: Quileute [B284]; WNAI: Quileute Chimakuan [WNAI26]
Nb19,Binford: Chinook [B274]; WNAI: Lower Chinook [WNAI27]
Nb2,Binford: Twana [B271]; SCCS: Twana [SCCS133]; WNAI: Twana Salish [WNAI23]
Ad39,
Nb20,Binford: Tillamook [B281]; WNAI: Tillamook Salish [WNAI28]
Nb21,Binford: Coos [B275]; WNAI: Coos [WNAI31]
Nb22,Binford: Tlingit [B292]; WNAI: South Tlingit [WNAI2]
Nb23,Binford: Bella-Bella [B283]; WNAI: Bella Bella Kwakiutl [WNAI9]
Nb24,Binford: Makah [B286]; WNAI: Makah Nootkan [WNAI13]
Nb25,Binford: Quinault [B278]; WNAI: Quinault Salish [WNAI24]
Nb26,Binford: Cowichan [B280]; WNAI: Cowichan Salish [WNAI17]
Nb27,Binford: Stalo [B279]; WNAI: Upper Stalo Salish [WNAI19]
Nb28,Binford: Alsea [B269]; WNAI: Alsea [WNAI29]
Nb29,WNAI: Siuslaw [WNAI30]
Ad4,SCCS: Kikuyu [SCCS11]
Nb3,Binford: Kwakiutl [B288]; WNAI: Fort Rupert Kwakiutl [WNAI10]
Nb30,Binford: Tekelma [B176]
Nb31,Binford: Tututni [B181]; WNAI: Tututni Athapaskan [WNAI32]
Nb32,Binford: Shasta [B179]; WNAI: East Shasta [WNAI44]; WNAI: West Shasta [WNAI45]
Nb33,Binford: Chimariko [B162]; WNAI: Chimariko [WNAI46]
Nb34,Binford: Karok [B182]; WNAI: Karok [WNAI37]
Nb35,Binford: Hupa [B180]; WNAI: Hupa Athapaskan [WNAI38]
Nb36,Binford: Wiyot [B184]; WNAI: Wiyot [WNAI39]
Nb37,Binford: Lassik [B167]
Nb38,Binford: Mattole [B169]; WNAI: Mattole Athapaskan [WNAI41]
Ab10,
Ad40,
Nb39,Binford: Sinkyone [B166]; WNAI: Sinkyone Athapaskan [WNAI40]
