id,category,title,definition,type,units,source,changes,notes
EA001,"Subsistence, Economy",Subsistence economy: gathering,"Dependence on the gathering of wild plants and small land fauna, relative to other subsistence activities.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA002,"Subsistence, Economy",Subsistence economy: hunting,"Dependence on hunting, including trapping and fowling, relative to other subsistence activities.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA003,"Subsistence, Economy",Subsistence economy: fishing,"Dependence on fishing, including shellfishing and the pursuit of large aquatic animals, relative to other subsistence activities.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA004,"Subsistence, Economy",Subsistence economy: animal husbandry,"Dependence on animal husbandry, relative to other subsistence activities.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA005,"Subsistence, Economy",Subsistence economy: agriculture,"Dependence on agriculture, relative to other subsistence activities.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA006,"Marriage, Kinship, Wealth Transactions, Economy",Transactions at marriage: prevailing type,Prevailing type of transfer or exchange at marriage.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA007,"Marriage, Kinship, Wealth Transactions, Economy",Transactions at marriage: alternate type,"Alternative types of transfer or exchange at marriage, or supplementary practices.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA008,"Marriage, Kinship",Domestic organization,The prevailing form of domestic or familial organization.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA009,"Marriage, Kinship",Marital composition: monogamy and polygamy,"Marital composition of family units, regardless of whether families live as independent nuclear units or as part of larger extended families.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA010,"Marriage, Kinship",Marital residence with kin: first years,"Pattern of marital residence in the first years or so of marriage. The variable ""Marital residence with kin: change after first years"" indicates whether or not this differs from the pattern of marital residence in later years.",Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Now, societies for which code was ""not different than later years"" have this information spelled out, using detailed codes of Gray's v12, which describes the pattern of marital residence in later years. Note also that two codes were added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]. That is, cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. ","Codes for ""first years"" in Murdock do not include options for Matrilocal/Patrilocalï¾…it is not clear if these are contained in Uxorilocal/Virilocal. In the case of the ""Marital residence (prevailing pattern)"" variable Matrilocal/Patrilocal are distinguished by Uxorilocal/Virilocal (with the latter being ""confined to instances where the wife's [husband's] matrikin [patrikin] are not aggregated in matrilocal and matrilineal [patrilocal and matrilineal] kin groups"". If comparing with v10 with v12, users may wish to look into this further and/or group Matri/Uxori and Patri/Viri in v12. "
EA201,"Marriage, Kinship",Marital residence with kin: change after first years,Indicates whether or not the pattern of marital residence differs in the first years of marriage relative to later years.,Categorical,,Murdock (1962-1971); Gray (1999),"Added because of the recoding of v10, to allow users to quickly identify societies where marital residence in early years differs from that in later years.",
EA011,"Marriage, Kinship",Transfer of residence at marriage: prevailing pattern,"The prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,,Gray (1999),"Revised codes for avunculocal cases, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). ","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA012,"Marriage, Kinship",Marital residence with kin: prevailing pattern,The prevailing profile of marital residence in the society.,Categorical,,Murdock (1962-1971); Gray (1999),"Two codes added for ""Uv"" and ""Vu"" based on Murdock's note under the Ambilocal code. Specifically: ""The symbols Uv or Vu are used to denote, respectively, a marked preponderance of uxorilocal or virilocal practice [in ambilocal residence]"". He further specifies that these are cases of ambilocal residence where the actual frequency of uxorilocal vs. virilocal residence exceeds the other by a ratio greater than two to one. Given this specific definition, we decided these two cases should be ""stand alone"" codes under v12, rather than cases where a prevailing pattern (v12) is accompanied by an alternative pattern (v14).",
EA013,"Marriage, Kinship",Transfer of residence at marriage: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing pattern of transfer of residence at marriage (note: not in original EA, summarized from variable describing marital residence with kin).",Categorical,,Gray (1999),"Revised codes for avunculocal cases here and for variable EA011, as these should be ""Wife to husband's group""; changed wording of this code (code ""1"") to emphasize that this group could be husband's group (patrilocal, virilocal) or husband's mother's brother's household (avunculocal). Because codes for this variable are dependent on EA011, adjusted all codes for this variable after adjusting EA011 and this variable for avunculocal cases.","Note that in cases where men marry a MoBrDa, 'avunculocal' residence would mean the husband was moving to the wife's household."
EA014,"Marriage, Kinship",Marital residence with kin: alternate,"Culturally patterned alternatives to, or numerically significant deviations from, the prevailing profile of marital residence.",Categorical,,Murdock (1962-1971); Gray (1999),"No change, despite change to v12, for wich ""Uv"" and ""Vu"" now coded as specific cases. In other words, "".v"" following U and "".u"" following V are still coded as 'alternative states' to v12. ",
EA015,"Marriage, Kinship, Community organization",Community marriage organization,"The prevalence of local endogamy, agamy, and exogamy, together with the presence or absence of localized kin groups. The specific structure of clans, whether ambilocal, matrilocal, or patrilocal, is revealed by the variable describing prevailing patterns of residence with kin.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA016,"Marriage, Kinship, Community organization",Organization of clan communities,"Indicates whether or not societies organized as clan-communities (i.e., where communities represent a single, localized, exogamous kin group or clan) are also segmented into clan barrios.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA017,Kinship,Largest patrilineal kin group,The largest type of patrilineal kin group reported for the society.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA018,Kinship,Largest patrilineal exogamous group,The largest patrilineal kin group characterized by exogamy.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 17"") in Gray (1999) are now represented by their codes in v17. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No patrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",
EA019,Kinship,Largest matrilineal kin group,The largest type of matrilineal kin group reported for the society.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA020,Kinship,Largest matrilineal exogamous group,The largest matrilineal kin group characterized by exogamy.,Categorical,,Murdock (1962-1971); Gray (1999),"Recoded to be a ""stand alone"" variable. Any societies coded as ""9"" (""No different from variable 19"") in Gray (1999) are now represented by their codes in v19. Also, ""O,"" ""Lo,"" ""Po,"" and ""So"" are here coded as ""1"" (""No matrilineal exogamy""). In Gray (1999), O, Lo, So, Po were coded as ""9"" (""No different from variable 17""). ",
EA021,Kinship,Cognatic kin groups,"The presence or probable absence, and the typology, of cognatic kin groups.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA022,Kinship,Secondary cognatic kin group: kindreds and ramages,"The presence or probable absence, and the typology, of secondary cognatic kin groups. This variable highlights societies for which both kindreds (bilateral descent) and ramages (ambilineal descent) are reported.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA023,"Marriage, Kinship",Cousin marriages permitted,"The rules or practices governing the marriageability or nonmarriageability of a man's first cousins and, in some cases, second cousins.",Categorical,,Murdock (1962-1971); Gray (1999),,
EA024,"Marriage, Kinship",Cousin marriages permitted: subtypes,Number of types of cousins (first and/or second cousins) a man is permitted to marry.,Categorical,,Murdock (1962-1971); Gray (1999),"Used code that was corrected by Gray after publication of Gray (1999). Specifically, Murdock codes ""C-G"" = Gray code ""3"" and only Murdock codes ""M"" and ""P"" = Gray code ""4""",
EA025,"Marriage, Kinship",Cousin marriages preferred,Preferred rather than just permitted marriages to particular first (and/or second) cousins.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA026,"Marriage, Kinship",Cousin marriages preferred: subtypes,Specific type(s) of cousin preferred as spouses.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA027,Kinship,Kin terms for cousins,Extent to which names for cousins distinguish cousin subtypes and/or among other groups of kin.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA028,"Subsistence, Economy",Agriculture: intensity,Intensity of cultivation.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA029,"Subsistence, Ecology",Agriculture: major crop type,Principal type of crop cultivated.,Categorical,,Murdock (1962-1971); Gray (1999),"Societies coded as ""C"" but without a lower-case letter following are here coded as ""0"" (i.e., as having Missing data for ""Principal crop"").",
EA030,"Community organization, Housing, Settlement",Settlement patterns,The prevailing type of settlement pattern.,Categorical,,Murdock (1962-1971); Gray (1999),,
EA031,"Community organization, Population, Settlement",Mean size of local communities,"The average population of local communities, whatever the pattern of settlement, computed from census data or other evidence.",Ordinal,,Murdock (1962-1971); Gray (1999),,
EA032,Community organization,Jurisdictional hierarchy of local community,"The number of jurisdictional levels in the local community, with 2 representing the theoretical minimum (e.g., independent nuclear or polygynous families) and 4 representing the theoretical maximum (e.g., nuclear families nested within extended families and clan-barrios). See the variable ""Jurisdictional hierarchy beyond the local community"" for information on organization beyond the local community. Note that different types of organization on the same level, e.g., a consanguineal lineage and its localized equivalent, are counted as one, and organizations not held to be legitimate, e.g., imposed colonial regimes, are excluded.",Ordinal,,Gray (1999),,
