soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
SCCS1,,,Elevation,770.5085225,,,,
SCCS2,,,Elevation,1146.313709,,,,
SCCS3,,,Elevation,158.3395816,,,,
SCCS4,,,Elevation,1050.433449,,,,
SCCS5,,,Elevation,1680.269562,,,,
SCCS6,,,Elevation,875.0457515,,,,
SCCS7,,,Elevation,1228.933626,,,,
SCCS8,,,Elevation,1026.743062,,,,
SCCS9,,,Elevation,1320.193027,,,,
SCCS10,,,Elevation,451.9252396,,,,
SCCS11,,,Elevation,1467.02288,,,,
SCCS12,,,Elevation,1154.083676,,,,
SCCS13,,,Elevation,717.1634058,,,,
SCCS14,,,Elevation,343.8233317,,,,
SCCS15,,,Elevation,672.715888,,,,
SCCS16,,,Elevation,171.1927008,,,,
SCCS17,,,Elevation,69.67776489,,,,
SCCS18,,,Elevation,136.0613835,,,,
SCCS19,,,Elevation,250.6974991,,,,
SCCS20,,,Elevation,85.96437176,,,,
SCCS21,,,Elevation,33.30326518,,,,
SCCS22,,,Elevation,325.3083142,,,,
SCCS23,,,Elevation,206.4969174,,,,
SCCS24,,,Elevation,276.2189125,,,,
SCCS25,,,Elevation,442.0664407,,,,
SCCS26,,,Elevation,656.931444,,,,
SCCS27,,,Elevation,331.5446465,,,,
SCCS28,,,Elevation,615.4487382,,,,
SCCS29,,,Elevation,675.3965036,,,,
SCCS30,,,Elevation,671.8419844,,,,
SCCS31,,,Elevation,399.8861555,,,,
SCCS32,,,Elevation,1504.964254,,,,
SCCS33,,,Elevation,1807.381104,,,,
SCCS34,,,Elevation,1202.091964,,,,
SCCS35,,,Elevation,1395.608574,,,,
SCCS36,,,Elevation,666.9142047,,,,
SCCS37,,,Elevation,2034.185912,,,,
SCCS38,,,Elevation,1175.209257,,,,
SCCS39,,,Elevation,183.2408359,,,,
SCCS40,,,Elevation,1087.325243,,,,
SCCS41,,,Elevation,973.4009109,,,,
SCCS42,,,Elevation,426.3241661,,,,
SCCS43,,,Elevation,205.0317021,,,,
SCCS44,,,Elevation,257.8952812,,,,
SCCS45,,,Elevation,28.61935037,,,,
