soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
B1,,,AnnualNetPrimaryProductionVariance,0.52577864,,,,
B10,,,AnnualNetPrimaryProductionVariance,0.58694885,,,,
B100,,,AnnualNetPrimaryProductionVariance,0.252459714,,,,
B101,,,AnnualNetPrimaryProductionVariance,0.264901107,,,,
B102,,,AnnualNetPrimaryProductionVariance,0.176943825,,,,
B103,,,AnnualNetPrimaryProductionVariance,0.16980571,,,,
B104,,,AnnualNetPrimaryProductionVariance,0.123686585,,,,
B105,,,AnnualNetPrimaryProductionVariance,1.362347482,,,,
B106,,,AnnualNetPrimaryProductionVariance,0.119128009,,,,
B107,,,AnnualNetPrimaryProductionVariance,0.921052702,,,,
B108,,,AnnualNetPrimaryProductionVariance,0.233608271,,,,
B109,,,AnnualNetPrimaryProductionVariance,0.144070859,,,,
B11,,,AnnualNetPrimaryProductionVariance,1.085083272,,,,
B110,,,AnnualNetPrimaryProductionVariance,1.093159378,,,,
B111,,,AnnualNetPrimaryProductionVariance,0.092826453,,,,
B112,,,AnnualNetPrimaryProductionVariance,0.105216611,,,,
B113,,,AnnualNetPrimaryProductionVariance,0.128989733,,,,
B114,,,AnnualNetPrimaryProductionVariance,0.419136175,,,,
B115,,,AnnualNetPrimaryProductionVariance,0.421159992,,,,
B116,,,AnnualNetPrimaryProductionVariance,0.049636788,,,,
B117,,,AnnualNetPrimaryProductionVariance,0.154337687,,,,
B118,,,AnnualNetPrimaryProductionVariance,0.11748192,,,,
B119,,,AnnualNetPrimaryProductionVariance,0.857175739,,,,
B12,,,AnnualNetPrimaryProductionVariance,1.952076603,,,,
B120,,,AnnualNetPrimaryProductionVariance,0.097901097,,,,
B121,,,AnnualNetPrimaryProductionVariance,0.053659649,,,,
B122,,,AnnualNetPrimaryProductionVariance,0.079763007,,,,
B123,,,AnnualNetPrimaryProductionVariance,0.080513088,,,,
B124,,,AnnualNetPrimaryProductionVariance,0.128973114,,,,
B125,,,AnnualNetPrimaryProductionVariance,0.119482602,,,,
B126,,,AnnualNetPrimaryProductionVariance,0.082566468,,,,
B127,,,AnnualNetPrimaryProductionVariance,0.049695005,,,,
B128,,,AnnualNetPrimaryProductionVariance,0.087843603,,,,
B129,,,AnnualNetPrimaryProductionVariance,0.177524941,,,,
B13,,,AnnualNetPrimaryProductionVariance,1.952076603,,,,
B130,,,AnnualNetPrimaryProductionVariance,0.244555914,,,,
B131,,,AnnualNetPrimaryProductionVariance,0.279953611,,,,
B132,,,AnnualNetPrimaryProductionVariance,0.927901976,,,,
B133,,,AnnualNetPrimaryProductionVariance,0.170548849,,,,
B134,,,AnnualNetPrimaryProductionVariance,1.417891392,,,,
B135,,,AnnualNetPrimaryProductionVariance,2.062010529,,,,
B136,,,AnnualNetPrimaryProductionVariance,2.115917601,,,,
B137,,,AnnualNetPrimaryProductionVariance,4.774838482,,,,
B14,,,AnnualNetPrimaryProductionVariance,0.473258775,,,,
B143,,,AnnualNetPrimaryProductionVariance,0.055370717,,,,
B144,,,AnnualNetPrimaryProductionVariance,0.117947839,,,,
B145,,,AnnualNetPrimaryProductionVariance,0.402486515,,,,
B146,,,AnnualNetPrimaryProductionVariance,0.042421095,,,,
B147,,,AnnualNetPrimaryProductionVariance,0.225010767,,,,
B148,,,AnnualNetPrimaryProductionVariance,0.210232618,,,,
B149,,,AnnualNetPrimaryProductionVariance,0.051785008,,,,
B15,,,AnnualNetPrimaryProductionVariance,0.678455084,,,,
B150,,,AnnualNetPrimaryProductionVariance,0.385094379,,,,
B151,,,AnnualNetPrimaryProductionVariance,0.704470325,,,,
B152,,,AnnualNetPrimaryProductionVariance,0.197501839,,,,
B153,,,AnnualNetPrimaryProductionVariance,1.355797167,,,,
B154,,,AnnualNetPrimaryProductionVariance,0.560988301,,,,
B155,,,AnnualNetPrimaryProductionVariance,0.554461978,,,,
B156,,,AnnualNetPrimaryProductionVariance,0.43951575,,,,
B157,,,AnnualNetPrimaryProductionVariance,0.031645025,,,,
B158,,,AnnualNetPrimaryProductionVariance,1.405540937,,,,
B159,,,AnnualNetPrimaryProductionVariance,1.405540937,,,,
B16,,,AnnualNetPrimaryProductionVariance,0.783381716,,,,
B160,,,AnnualNetPrimaryProductionVariance,1.910964019,,,,
B161,,,AnnualNetPrimaryProductionVariance,0.557959851,,,,
B162,,,AnnualNetPrimaryProductionVariance,2.497765503,,,,
B163,,,AnnualNetPrimaryProductionVariance,1.689191358,,,,
B164,,,AnnualNetPrimaryProductionVariance,1.117474421,,,,
B165,,,AnnualNetPrimaryProductionVariance,1.60026724,,,,
B166,,,AnnualNetPrimaryProductionVariance,3.254479603,,,,
B167,,,AnnualNetPrimaryProductionVariance,2.40894505,,,,
B168,,,AnnualNetPrimaryProductionVariance,1.863819094,,,,
B169,,,AnnualNetPrimaryProductionVariance,3.897244556,,,,
B17,,,AnnualNetPrimaryProductionVariance,0.304983658,,,,
B170,,,AnnualNetPrimaryProductionVariance,0.898531373,,,,
B171,,,AnnualNetPrimaryProductionVariance,1.951073697,,,,
B172,,,AnnualNetPrimaryProductionVariance,1.60026724,,,,
B173,,,AnnualNetPrimaryProductionVariance,2.125922128,,,,
B174,,,AnnualNetPrimaryProductionVariance,1.148078045,,,,
B175,,,AnnualNetPrimaryProductionVariance,0.851512857,,,,
B176,,,AnnualNetPrimaryProductionVariance,2.904415286,,,,
B177,,,AnnualNetPrimaryProductionVariance,3.097985268,,,,
B178,,,AnnualNetPrimaryProductionVariance,3.189754749,,,,
B179,,,AnnualNetPrimaryProductionVariance,1.167213652,,,,
B18,,,AnnualNetPrimaryProductionVariance,0.856317247,,,,
B180,,,AnnualNetPrimaryProductionVariance,3.378489512,,,,
B181,,,AnnualNetPrimaryProductionVariance,5.150328402,,,,
B182,,,AnnualNetPrimaryProductionVariance,2.676526783,,,,
B183,,,AnnualNetPrimaryProductionVariance,0.843915276,,,,
B184,,,AnnualNetPrimaryProductionVariance,3.183444319,,,,
B185,,,AnnualNetPrimaryProductionVariance,0.991546491,,,,
B186,,,AnnualNetPrimaryProductionVariance,3.55098603,,,,
B187,,,AnnualNetPrimaryProductionVariance,0.603068813,,,,
B188,,,AnnualNetPrimaryProductionVariance,0.2316793,,,,
B189,,,AnnualNetPrimaryProductionVariance,0.981543567,,,,
B19,,,AnnualNetPrimaryProductionVariance,0.827439437,,,,
B190,,,AnnualNetPrimaryProductionVariance,0.046401262,,,,
B191,,,AnnualNetPrimaryProductionVariance,0.43453571,,,,
B192,,,AnnualNetPrimaryProductionVariance,0.041898654,,,,
B193,,,AnnualNetPrimaryProductionVariance,0.242322259,,,,
B194,,,AnnualNetPrimaryProductionVariance,0.030635168,,,,
B195,,,AnnualNetPrimaryProductionVariance,0.045235956,,,,
B196,,,AnnualNetPrimaryProductionVariance,0.129325656,,,,
B197,,,AnnualNetPrimaryProductionVariance,0.035996113,,,,
B198,,,AnnualNetPrimaryProductionVariance,0.081322064,,,,
B199,,,AnnualNetPrimaryProductionVariance,0.071729931,,,,
B2,,,AnnualNetPrimaryProductionVariance,1.008513818,,,,
B20,,,AnnualNetPrimaryProductionVariance,0.965531333,,,,
B200,,,AnnualNetPrimaryProductionVariance,0.022739291,,,,
B201,,,AnnualNetPrimaryProductionVariance,0.043821754,,,,
B202,,,AnnualNetPrimaryProductionVariance,0.041297992,,,,
B203,,,AnnualNetPrimaryProductionVariance,0.035394287,,,,
B204,,,AnnualNetPrimaryProductionVariance,0.047331386,,,,
B205,,,AnnualNetPrimaryProductionVariance,0.021527029,,,,
B206,,,AnnualNetPrimaryProductionVariance,0.027193207,,,,
B207,,,AnnualNetPrimaryProductionVariance,0.177655219,,,,
B208,,,AnnualNetPrimaryProductionVariance,0.081143966,,,,
B209,,,AnnualNetPrimaryProductionVariance,0.511118521,,,,
B21,,,AnnualNetPrimaryProductionVariance,0.615155479,,,,
B210,,,AnnualNetPrimaryProductionVariance,0.055807699,,,,
B211,,,AnnualNetPrimaryProductionVariance,0.040503649,,,,
B212,,,AnnualNetPrimaryProductionVariance,0.130429031,,,,
B213,,,AnnualNetPrimaryProductionVariance,0.345353387,,,,
B214,,,AnnualNetPrimaryProductionVariance,0.038682817,,,,
B215,,,AnnualNetPrimaryProductionVariance,0.068914611,,,,
B216,,,AnnualNetPrimaryProductionVariance,0.059498725,,,,
B217,,,AnnualNetPrimaryProductionVariance,0.055191137,,,,
B218,,,AnnualNetPrimaryProductionVariance,0.073502821,,,,
B219,,,AnnualNetPrimaryProductionVariance,0.893175202,,,,
B22,,,AnnualNetPrimaryProductionVariance,2.122080114,,,,
B221,,,AnnualNetPrimaryProductionVariance,0.116003057,,,,
B222,,,AnnualNetPrimaryProductionVariance,0.299422732,,,,
B223,,,AnnualNetPrimaryProductionVariance,0.148628155,,,,
B224,,,AnnualNetPrimaryProductionVariance,0.042648396,,,,
B225,,,AnnualNetPrimaryProductionVariance,0.223364976,,,,
B226,,,AnnualNetPrimaryProductionVariance,0.290882194,,,,
B227,,,AnnualNetPrimaryProductionVariance,0.119469775,,,,
B228,,,AnnualNetPrimaryProductionVariance,0.057602214,,,,
B229,,,AnnualNetPrimaryProductionVariance,0.602816166,,,,
