var_id,code,description,name
SCCS1,NA,Missing data,NA
SCCS1,1,No Trade,No Trade
SCCS1,2,Food Imports absent although trade present,No Food Imports
SCCS1,3,Salt or Minerals only,Salt & Minerals only
SCCS1,4,< 10 pct of food (90 pct from local extractive sources),< 10% of Food
SCCS1,5,"< 50 pct of food, and less than any single local source",< 50% of Food/less local source
SCCS1,7,> 50 pct of food,> 50% of Food
SCCS2,NA,Missing data,NA
SCCS2,1,Direct individual exchanges,Direct exchanges
SCCS2,2,Indirect individual exchanges,Indirect exchanges
SCCS2,3,Local markets,Local markets
SCCS2,4,Middlemen,Middlemen
SCCS2,5,Three or four of above,3 or 4 of above
SCCS3,NA,Missing data,NA
SCCS3,1,None,None
SCCS3,2,Non-food Crops,Non-Food Crops
SCCS3,3,< 10 pct,< 10%
SCCS3,4,"< 50 pct , and less than any other single source, incl. trade",< 50% < single source
SCCS3,5,"< 50 pct , and more than any other single source, incl. trade",< 50% > single source
SCCS3,6,Primarily agricultural,Primarily agricultural
SCCS4,NA,Missing data,NA
SCCS4,1,Non-food,Non-Food
SCCS4,3,Tree or Vine,Tree or Vine
SCCS4,4,Roots,Roots
SCCS4,5,Cereals,Cereals
SCCS5,NA,Missing data,NA
SCCS5,1,None,None
SCCS5,2,"Present, not food source","Present, not food source"
SCCS5,3,< 10 pct food supply,< 10% Food Supply
SCCS5,4,< 50 pct - chiefly meat,< 50% chiefly meat
SCCS5,5,< 50 pct - chiefly dairy,< 50% chiefly dairy
SCCS5,7,> 50 pct,> 50%
SCCS6,NA,Missing data,NA
SCCS6,1,"Small Species, e.g. Bees, Cats, Dogs, Fowl",Small Species
SCCS6,2,Pigs,Pigs
SCCS6,3,Ovides,Ovides
SCCS6,4,Equines,Equines
SCCS6,5,Reindeer,Reindeer
SCCS6,6,Camels,Camels
SCCS6,7,Bovines,Bovines
SCCS7,NA,Missing data,NA
SCCS7,1,None,None
SCCS7,2,< 10 pct food supply,< 10% Food Supply
SCCS7,3,"< 50 pct , and less than any other single source, incl. trade",< 50% < single source
SCCS7,4,"< 50 pct , and more than any other single source, incl. trade",< 50% > single source
SCCS7,5,> 50 pct,> 50%
SCCS8,NA,Missing data,NA
SCCS8,1,Shellfish,Shellfish
SCCS8,2,True fish,True Fish
SCCS8,4,Two or more of above,2 or more of above
SCCS9,NA,Missing data,NA
SCCS9,1,None,None
SCCS9,2,Not food source,Not food source
SCCS9,3,< 10 pct food supply,< 10% Food Supply
SCCS9,4,"< 50 pct , and less than any other single source, incl. trade",< 50% < single source
SCCS9,5,"< 50 pct , and more than any other single source, incl. trade",< 50% > single source
SCCS9,6,> 50 pct,> 50%
SCCS10,NA,Missing data,NA
SCCS10,1,Birds or Waterfowl,Birds or Waterfowl
SCCS10,2,Small Mammals,Small Mammals
SCCS10,3,Large Game,Large Game
SCCS10,4,Two or more of above,Two or more of above
SCCS11,NA,Missing data,NA
SCCS11,1,None,O None
SCCS11,2,< 10 pct food supply,U Not food source
SCCS11,3,"< 50 pct , and less than any other single source, incl. trade",S < 10% Food Supply
SCCS11,4,"< 50 pct , and more than any other single source, incl. trade",I < 50% < single source
SCCS11,5,> 50 pct,D < 50% > single source
SCCS12,NA,Missing data,NA
SCCS12,1,Wild Animal products,a  Wild Animals products
SCCS12,2,"Wild Herbs, Leaves, Blossoms","h  Wild Herbs, Leaves, Blossoms"
SCCS12,3,"Tree Pith, e.g., Sago","p  Tree Pith, e.g. Sago"
SCCS12,4,Wild Roots or Tubers,r Wild Roots or Tubers
SCCS12,5,"Wild Fruit, seeds, nuts, berries","s  Wild Fruit, seeds, nuts, berries"
SCCS12,6,Two or more of the above,v  2 or more of above
SCCS13,NA,Missing data,NA
SCCS13,1,"Human Carriers, incl. tumpline","Human Carriers, tumpline"
SCCS13,2,Pack Animals,Pack Animals
SCCS13,3,"Draft Animals (sleds, travois)",Draft Animals
SCCS13,4,Animal Drawn Wheeled vehicles,Animal Drawn Wheeled vehicles
SCCS13,5,Motorized vehicles,Motorized vehicles
SCCS14,NA,Missing data,NA
SCCS14,1,Unimproved Trails,Unimproved Trails
