id,related
SCCS164,EA: Barama Carib (Sc3) [Sc3]
SCCS8,EA: Nyakyusa (Ad6) [Ad6]
SCCS166,EA: Mundurucu (Sd1) [Sd1]
SCCS167,EA: Cubeo (Se5) [Se5]
SCCS160,EA: Haitians (Sb9) [Sb9]
SCCS161,EA: Callinago (Sb1) [Sb1]
SCCS162,EA: Warrau (Sc1) [Sc1]
SCCS165,EA: Saramacca (Sc6) [Sc6]
SCCS1,EA: Nama Hottentot (Aa3) [Aa3]
SCCS3,EA: Thonga (Ab4) [Ab4]
SCCS2,EA: Kung (Aa1) [Aa1]; Binford: !Kung (B72) [B72]
SCCS168,EA: Cayapa (Sf3) [Sf3]
SCCS4,EA: Lozi (Ab3) [Ab3]
SCCS7,EA: Bemba (Ac3) [Ac3]
SCCS6,EA: Suku (Ac17) [Ac17]
SCCS48,EA: Gheg (Ce1) [Ce1]
SCCS49,EA: Romans (Ce3) [Ce3]
SCCS46,EA: Rwala (Cj2) [Cj2]
SCCS47,EA: Turks (Ci5) [Ci5]
SCCS44,EA: Hebrews (Cj3) [Cj3]
SCCS163,EA: Yanomamo (Sd9) [Sd9]
SCCS42,EA: Riffians (Cd3) [Cd3]
SCCS43,EA: Egyptians (Cd2) [Cd2]
SCCS40,EA: Teda (Cc2) [Cc2]
SCCS41,EA: Tuareg Ahaggar (Cc9) [Cc9]
SCCS151,EA: Papago (Ni2) [Ni2]; WNAI: Papago (J146) [J146]
SCCS150,EA: Havasupai (Nd3) [Nd3]; WNAI: Havasupai (J136) [J136]
SCCS153,EA: Aztec (Nj2) [Nj2]
SCCS152,EA: Huichol (Ni3) [Ni3]
SCCS155,EA: Quiche (Sa13) [Sa13]
SCCS154,EA: Popoluca (Nj3) [Nj3]
SCCS157,EA: Bribri (Sa5) [Sa5]
SCCS156,EA: Miskito (Sa9) [Sa9]
SCCS159,EA: Goajiro (Sb6) [Sb6]
SCCS5,EA: Mbundu (Ab5) [Ab5]
SCCS112,EA: Ifugao (Ia3) [Ia3]
SCCS169,EA: Jivaro (Se3) [Se3]
SCCS59,"EA: Punjabi, West (Ea13) [Ea13]"
SCCS58,EA: Basseri (Ea6) [Ea6]
SCCS55,EA: Abkhaz (Ci12) [Ci12]
SCCS54,EA: Russians (Ch11) [Ch11]
SCCS57,EA: Kurd (Ci11) [Ci11]
SCCS56,EA: Armenians (Ci10) [Ci10]
SCCS51,EA: Irish (Cg3) [Cg3]
SCCS50,EA: Spanish Basques (Ce8) [Ce8]
SCCS53,EA: Yurak (Ec4) [Ec4]
SCCS52,EA: Lapps (Cg4) [Cg4]
SCCS148,EA: Chiricahua (Nh1) [Nh1]; Binford: Chiricahua Apache (B242) [B242]; WNAI: Warm Springs Chiricahua Apache (J152) [J152]; WNAI: Huachuca Chiricahua Apache (J153) [J153]
SCCS149,EA: Zuni (Nh4) [Nh4]; WNAI: Zuni (J160) [J160]
SCCS146,EA: Natchez (Ng7) [Ng7]
SCCS147,EA: Comanche (Ne3) [Ne3]; Binford: Comanche (B241) [B241]
SCCS144,EA: Huron (Ng1) [Ng1]
SCCS145,EA: Creek (Ng3) [Ng3]
SCCS142,EA: Pawnee (Nf6) [Nf6]
SCCS143,EA: Omaha (Nf3) [Nf3]
SCCS140,EA: Gros Ventre (Ne1) [Ne1]; Binford: Gros-Ventre (B253) [B253]
SCCS141,EA: Hidatsa (Ne15) [Ne15]
SCCS68,EA: Lepcha (Ee3) [Ee3]
SCCS69,EA: Garo (Ei1) [Ei1]
SCCS60,EA: Maria Gond (Eg3) [Eg3]
SCCS61,EA: Toda (Eg4) [Eg4]
SCCS62,EA: Santal (Ef1) [Ef1]
SCCS63,EA: Uttar Pradesh (Ef11) [Ef11]
SCCS64,EA: Burusho (Ee2) [Ee2]
SCCS65,EA: Kazak (Eb1) [Eb1]
SCCS66,EA: Khalka (Eb3) [Eb3]
SCCS67,EA: Lolo (Ed2) [Ed2]
SCCS139,EA: Kutenai (Nd7) [Nd7]; Binford: Kutenai (B250) [B250]; WNAI: Kutenai (J106) [J106]
SCCS138,EA: Klamath (Nc8) [Nc8]; Binford: Klamath (B189) [B189]; WNAI: Klamath (J112) [J112]
SCCS9,EA: Hatsa Kindiga (Aa9) [Aa9]; Binford: Hadza (B69) [B69]
SCCS133,EA: Twana (Nb2) [Nb2]; Binford: Twana (B271) [B271]; WNAI: Twana Salish (J23) [J23]
SCCS132,EA: Bellacoola (Nb9) [Nb9]; Binford: Bella-Coola (B291) [B291]; WNAI: Bella Coola Salish (J11) [J11]
SCCS131,EA: Haida (Nb1) [Nb1]; Binford: Haida (B290) [B290]; WNAI: North Masset Haida (J3) [J3]
SCCS130,EA: Eyak (Nb5) [Nb5]; Binford: Eyak (B295) [B295]
