var_id,code,description,name
Biome,1,"Tropical & Subtropical Moist Broadleaf Forests","Tropical & Subtropical Moist Broadleaf Forests"
Biome,2,"Tropical & Subtropical Dry Broadleaf Forests","Tropical & Subtropical Dry Broadleaf Forests"
Biome,3,"Tropical & Subtropical Coniferous Forests","Tropical & Subtropical Coniferous Forests"
Biome,4,"Temperate Broadleaf & Mixed Forests","Temperate Broadleaf & Mixed Forests"
Biome,5,"Temperate Conifer Forests","Temperate Conifer Forests"
Biome,6,"Boreal Forests/Taiga","Boreal Forests/Taiga"
Biome,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands","Tropical & Subtropical Grasslands, Savannas & Shrublands"
Biome,8,"Temperate Grasslands, Savannas & Shrublands","Temperate Grasslands, Savannas & Shrublands"
Biome,9,"Flooded Grasslands & Savannas","Flooded Grasslands & Savannas"
Biome,10,"Montane Grasslands & Shrublands","Montane Grasslands & Shrublands"
Biome,11,"Tundra","Tundra"
Biome,12,"Mediterranean Forests, Woodlands & Scrub","Mediterranean Forests, Woodlands & Scrub"
Biome,13,"Deserts & Xeric Shrublands","Deserts & Xeric Shrublands"
Biome,14,"Mangroves","Mangroves"
Biome,15,Ice,Ice
Biome,16,"Inland Water","Inland Water"
Biome,NA,Missing data,Missing data
EcoRegion,NA,Missing data,Missing data
EcoRegion,61404,"Northern Mesoamerican Pacific mangroves",NT1404
EcoRegion,60228,"Sinaloan dry forests",NT0228
EcoRegion,60904,"Everglades",NT0904
EcoRegion,60301,"Bahamian pine mosaic",NT0301
EcoRegion,61402,"Bahamian-Antillean mangroves",NT1402
EcoRegion,60164,"South Florida rocklands",NT0164
EcoRegion,61314,"San Lucan xeric scrub",NT1314
EcoRegion,60176,"Veracruz moist forests",NT0176
EcoRegion,60227,"Sierra de la Laguna dry forests",NT0227
EcoRegion,60302,"Belizian pine forests",NT0302
EcoRegion,60154,"Petén-Veracruz moist forests",NT0154
EcoRegion,61403,"Mesoamerican Gulf-Caribbean mangroves",NT1403
EcoRegion,60134,"Leeward Islands moist forests",NT0134
EcoRegion,60113,"Chiapas montane forests",NT0113
EcoRegion,60308,"Sierra Madre de Oaxaca pine-oak forests",NT0308
EcoRegion,60309,"Sierra Madre del Sur pine-oak forests",NT0309
EcoRegion,60179,"Windward Islands moist forests",NT0179
EcoRegion,60112,"Central American montane forests",NT0112
EcoRegion,61305,"Caribbean shrublands",NT1305
EcoRegion,60220,"Lesser Antillean dry forests",NT0220
EcoRegion,61407,"Southern Mesoamerican Pacific mangroves",NT1407
EcoRegion,60303,"Central American pine-oak forests",NT0303
EcoRegion,61401,"Amazon-Orinoco-Southern Caribbean mangroves",NT1401
EcoRegion,61301,"Araya and Paria xeric scrub",NT1301
EcoRegion,61308,"Guajira-Barranquilla xeric scrub",NT1308
EcoRegion,60171,"Trinidad and Tobago moist forests",NT0171
EcoRegion,60229,"Sinú Valley dry forests",NT0229
EcoRegion,60119,"Costa Rican seasonal moist forests",NT0119
EcoRegion,60159,"Santa Marta montane forests",NT0159
EcoRegion,60709,"Llanos",NT0709
EcoRegion,61006,"Northern Andean páramo",NT1006
EcoRegion,60124,"Guianan Highlands moist forests",NT0124
EcoRegion,60169,"Pantepui",NT0169
EcoRegion,60707,"Guianan savanna",NT0707
EcoRegion,61405,"South American Pacific mangroves",NT1405
EcoRegion,60158,"Rio Negro campinarana",NT0158
EcoRegion,60201,"Apure-Villavicencio dry forests",NT0201
EcoRegion,60310,"Trans-Mexican Volcanic Belt pine-oak forests",NT0310
EcoRegion,61306,"Cuban cactus scrub",NT1306
EcoRegion,60120,"Cuban moist forests",NT0120
EcoRegion,60902,"Cuban wetlands",NT0902
EcoRegion,60213,"Cuban dry forests",NT0213
EcoRegion,60146,"Oaxacan montane forests",NT0146
EcoRegion,60127,"Hispaniolan moist forests",NT0127
EcoRegion,60215,"Hispaniolan dry forests",NT0215
EcoRegion,60181,"Yucatán moist forests",NT0181
EcoRegion,60216,"Islas Revillagigedo dry forests",NT0216
EcoRegion,60306,"Miskito pine forests",NT0306
EcoRegion,60209,"Central American dry forests",NT0209
EcoRegion,60307,"Sierra de la Laguna pine-oak forests",NT0307
EcoRegion,60205,"Balsas dry forests",NT0205
EcoRegion,60148,"Pantanos de Centla",NT0148
EcoRegion,60906,"Orinoco wetlands",NT0906
EcoRegion,60167,"Talamancan montane forests",NT0167
EcoRegion,60117,"Cordillera La Costa montane forests",NT0117
EcoRegion,61309,"La Costa xeric shrublands",NT1309
EcoRegion,60155,"Puerto Rican moist forests",NT0155
EcoRegion,60903,"Enriquillo wetlands",NT0903
EcoRegion,60218,"Jamaican dry forests",NT0218
EcoRegion,60131,"Jamaican moist forests",NT0131
EcoRegion,60404,"Valdivian temperate forests",NT0404
EcoRegion,60129,"Isthmian-Atlantic moist forests",NT0129
EcoRegion,61005,"Cordillera de Merida páramo",NT1005
EcoRegion,60182,"Guianan piedmont and lowland moist forests",NT0182
EcoRegion,60173,"Uatuma-Trombetas moist forests",NT0173
EcoRegion,60128,"Iquitos varzeá",NT0128
EcoRegion,60123,"Fernando de Noronha-Atol das Rocas moist forests",NT0123
EcoRegion,60133,"Juruá-Purus moist forests",NT0133
EcoRegion,60174,"Ucayali moist forests",NT0174
EcoRegion,60402,"Magellanic subpolar forests",NT0402
EcoRegion,60805,"Patagonian steppe",NT0805
EcoRegion,80608,"Scandinavian and Russian taiga",PA0608
EcoRegion,81103,"Cherskii-Kolyma mountain tundra",PA1103
EcoRegion,51114,"Low Arctic tundra",NA1114
