soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
B1,,1988,Biome,1,,,,
B10,,1988,Biome,2,,,,
B100,,1988,Biome,7,,,,
B101,,1988,Biome,7,,,,
B102,,1988,Biome,7,,,,
B103,,1988,Biome,7,,,,
B104,,1988,Biome,7,,,,
B105,,1988,Biome,1,,,,
B106,,1988,Biome,13,,,,
B107,,1988,Biome,7,,,,
B108,,1988,Biome,13,,,,
B109,,1988,Biome,13,,,,
B11,,1988,Biome,1,,,,
B110,,1988,Biome,1,,,,
B111,,1988,Biome,13,,,,
B112,,1988,Biome,13,,,,
B113,,1988,Biome,13,,,,
B114,,1988,Biome,4,,,,
B115,,1988,Biome,4,,,,
B116,,1988,Biome,13,,,,
B117,,1988,Biome,13,,,,
B118,,1988,Biome,13,,,,
B119,,1988,Biome,4,,,,
B12,,1988,Biome,1,,,,
B120,,1988,Biome,13,,,,
B121,,1988,Biome,13,,,,
B122,,1988,Biome,13,,,,
B123,,1988,Biome,13,,,,
B124,,1988,Biome,13,,,,
B125,,1988,Biome,8,,,,
B126,,1988,Biome,13,,,,
B127,,1988,Biome,13,,,,
B128,,1988,Biome,8,,,,
B129,,1988,Biome,12,,,,
B13,,1988,Biome,1,,,,
B130,,1988,Biome,8,,,,
B131,,1988,Biome,12,,,,
B132,,1988,Biome,12,,,,
B133,,1988,Biome,12,,,,
B134,,1988,Biome,4,,,,
B135,,1988,Biome,4,,,,
B136,,1988,Biome,4,,,,
B137,,1988,Biome,4,,,,
B14,,1988,Biome,1,,,,
B143,,1988,Biome,13,,,,
B144,,1988,Biome,13,,,,
B145,,1988,Biome,12,,,,
B146,,1988,Biome,13,,,,
B147,,1988,Biome,12,,,,
B148,,1988,Biome,8,,,,
B149,,1988,Biome,13,,,,
B15,,1988,Biome,2,,,,
B150,,1988,Biome,12,,,,
B151,,1988,Biome,12,,,,
B152,,1988,Biome,5,,,,
B153,,1988,Biome,12,,,,
B154,,1988,Biome,8,,,,
B155,,1988,Biome,8,,,,
B156,,1988,Biome,12,,,,
B157,,1988,Biome,13,,,,
B158,,1988,Biome,12,,,,
B159,,1988,Biome,12,,,,
B16,,1988,Biome,1,,,,
B160,,1988,Biome,5,,,,
B161,,1988,Biome,12,,,,
B162,,1988,Biome,5,,,,
B163,,1988,Biome,12,,,,
B164,,1988,Biome,12,,,,
B165,,1988,Biome,12,,,,
B166,,1988,Biome,5,,,,
B167,,1988,Biome,5,,,,
B168,,1988,Biome,12,,,,
B169,,1988,Biome,5,,,,
B17,,1988,Biome,1,,,,
B170,,1988,Biome,12,,,,
B171,,1988,Biome,5,,,,
B172,,1988,Biome,12,,,,
B173,,1988,Biome,5,,,,
B174,,1988,Biome,5,,,,
B175,,1988,Biome,5,,,,
B176,,1988,Biome,5,,,,
B177,,1988,Biome,5,,,,
B178,,1988,Biome,5,,,,
B179,,1988,Biome,5,,,,
B18,,1988,Biome,1,,,,
B180,,1988,Biome,5,,,,
B181,,1988,Biome,5,,,,
B182,,1988,Biome,5,,,,
B183,,1988,Biome,5,,,,
B184,,1988,Biome,5,,,,
B185,,1988,Biome,5,,,,
B186,,1988,Biome,5,,,,
B187,,1988,Biome,5,,,,
B188,,1988,Biome,5,,,,
B189,,1988,Biome,5,,,,
B19,,1988,Biome,1,,,,
B190,,1988,Biome,13,,,,
B191,,1988,Biome,13,,,,
B192,,1988,Biome,13,,,,
B193,,1988,Biome,7,,,,
B194,,1988,Biome,13,,,,
B195,,1988,Biome,13,,,,
B196,,1988,Biome,13,,,,
B197,,1988,Biome,13,,,,
B198,,1988,Biome,13,,,,
B199,,1988,Biome,13,,,,
B2,,1988,Biome,1,,,,
B20,,1988,Biome,1,,,,
B200,,1988,Biome,13,,,,
B201,,1988,Biome,13,,,,
B202,,1988,Biome,13,,,,
B203,,1988,Biome,13,,,,
B204,,1988,Biome,13,,,,
B205,,1988,Biome,13,,,,
