var_id,code,description,name
WNAI8,NA,Missing data,Missing data
WNAI8,1,"Western pines: yellow pine, sugar pine, lodgepole pine, Douglas-fir",Western pines:spp
WNAI8,2,"Northwestern conifers: Western larch, western white pine, Douglas-fir, redwood",Northwest conifers
WNAI8,3,Sagebrush,Sagebrush
WNAI8,4,Creosote bush and mesquite,Creosote-Mesquite
WNAI8,5,Chaparral (broadleaf forest and scrub forest),Chaparral
WNAI8,6,Pinon-juniper,Pinon-Juniper
WNAI8,7,Bunchgrass,Bunchgrass
WNAI8,8,Short grass,Short grass
WNAI8,9,Tundra,Tundra
WNAI8,10,"Codes 4 & 6 (creosote, mesquite, and juniper)",4 and 6
WNAI8,11,Codes 6 & 8 (pinon-juniper and bunch grass),6 and 8
WNAI11,NA,Missing data,Missing data
WNAI11,1,Absent,Absent
WNAI11,2,Present,Present
WNAI11,3,"Present and very frequent (a codominant species of the natural vegetation, after Kucher, 1964)",Very Frequent
WNAI11,4,Sufficiently frequent species to be sole representative of the genus shown on Kuchler’s map of dominant natural vegetation,Dominates the genus
WNAI12,NA,Missing data,Missing data
WNAI12,1,Absent,Absent
WNAI12,2,Present,Present
WNAI12,3,Very frequent,Very Frequent
WNAI12,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI13,NA,Missing data,Missing data
WNAI13,1,Absent,Absent
WNAI13,2,Present,Present
WNAI13,3,Very frequent,Very Frequent
WNAI13,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI14,NA,Missing data,Missing data
WNAI14,1,Absent,Absent
WNAI14,2,Present,Present
WNAI14,3,Very frequent,Very Frequent
WNAI14,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI15,NA,Missing data,Missing data
WNAI15,1,Absent,Absent
WNAI15,2,Present,Present
WNAI15,3,Very frequent,Very Frequent
WNAI15,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI16,NA,Missing data,Missing data
WNAI16,1,Absent,Absent
WNAI16,2,Present,Present
WNAI16,3,Very frequent,Very Frequent
WNAI16,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI17,NA,Missing data,Missing data
WNAI17,1,Absent,Absent
WNAI17,2,Present,Present
WNAI17,3,Very frequent,Very Frequent
WNAI17,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI18,NA,Missing data,Missing data
WNAI18,1,Absent,Absent
WNAI18,2,Present,Present
WNAI18,3,Very frequent,Very Frequent
WNAI18,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI19,NA,Missing data,Missing data
WNAI19,1,Absent,Absent
WNAI19,2,Present,Present
WNAI19,3,Very frequent,Very Frequent
WNAI19,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI20,NA,Missing data,Missing data
WNAI20,1,Absent,Absent
WNAI20,2,Present,Present
WNAI20,3,Very frequent,Very Frequent
WNAI20,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI21,NA,Missing data,Missing data
WNAI21,1,Absent,Absent
WNAI21,2,Present,Present
WNAI21,3,Very frequent,Very Frequent
WNAI21,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI22,NA,Missing data,Missing data
WNAI22,1,Absent,Absent
WNAI22,2,Present,Present
WNAI22,3,Very frequent,Very Frequent
WNAI22,4,Only representative of the genus shown on map of dominant vegetation,Dominates the genus
WNAI23,NA,Missing data,Missing data
WNAI23,1,Absent,Absent
