id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI1,xd1431,North Tlingit,tlin1245,North Tlingit (J1),North Tlinkit,NA,Tlingit (NA12),http://ehrafworldcultures.yale.edu/collection?owc=NA12,59,136,59,-136,Original,"Note northern and southern tlingit considered distinct dialects of tli by some, but no codes available in Glottolog."
WNAI2,xd1082,South Tlingit,tlin1245,South Tlingit (J2),"Kolosh, Southern Tlingit, South Tlingit",NA,Tlingit (NA12),http://ehrafworldcultures.yale.edu/collection?owc=NA12,57,134,57,-133.59,Revised,"Preferred name updated 9May2019 to distinguish from North Tlingit. Note northern and southern tlingit considered distinct dialects of tli by some, but no codes available in Glottolog."
WNAI3,xd1068,Haida (Northern),nort2938,North Masset Haida (J3),North Masset Haida,NA,,,54,132,54,-132,Original,
WNAI4,xd1438,Haida (Southern),sout2956,South Skidegate Haida (J4),South Skidegate Haida,NA,Haida (NE09),http://ehrafworldcultures.yale.edu/collection?owc=NE09,53,133,53.09,-132.1,Revised,
WNAI5,xd1104,Tsimshian,nucl1649,Tsimshian (J5),Ts’msyan,NA,,,55.3,130,55.3,-130.05,Revised,
WNAI6,xd998,Gitxsan,gitx1241,Gitksan Tsimshian (J6),"Gitksan, Gitksan Tsimshian",NA,,,56.3,127.5,56.3,-127.5,Original,
WNAI7,xd1105,Haisla,hais1244,Haisla Kwakiutl (J7),"Kitimat, Haisla Kwakiutl",NA,,,53.5,128,53.5,-128,Original,
WNAI8,xd1424,Haihais,oowe1239,Haihais Kwakiutl (J8),"Haihais, XaiXais",NA,,,53,128.5,53,-128.5,Original,
WNAI9,xd1083,Heiltsuk,bell1263,Bella Bella Kwakiutl (J9),"Bellabella, Bella Bella, Bella Bella Kwakiutl",NA,,,52,128,52,-128,Original,
WNAI10,xd1090,Kwakwaka'wakw,kwak1269,Fort Rupert Kwakiutl (J10),"Southern Kwakiutl, Kwagu'?, Kwagyewlth, Fort Rupert Kwakiutl",NA,,,50.8,127,50.86,-127,Revised,
WNAI11,xd1106,Nuxalk,bell1243,Bella Coola Salish (J11),"Nuxalkmc, Bellacoola, Bilqula, Bella Coola, Bella Coola Salish",NA,Nuxalk (NE06),http://ehrafworldcultures.yale.edu/collection?owc=NE06,52.5,127.5,52.5,-127.5,Original,
WNAI12,xd1070,Nuu chah nulth,nuuc1236,Clayoquot Nootka (J12),"Nuu-chah-nulth, Aht, Central Nootka, Clayoquot Nootka",NA,Nuu-chah-nulth (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,49,126,49.16,-125.85,Revised,
WNAI13,xd1084,Makah,maka1318,Makah Nootkan (J13),Makah Nootkan,NA,Nootka (NE11),http://ehrafworldcultures.yale.edu/collection?owc=NE11,48.5,124.7,48.33,-124.62,Revised,
WNAI14,xd1071,Klahoose,slia1241,Klahuse Salish (J14),"Klahoose, Klahuse",NA,,,50.5,124.5,50.5,-124.5,Original,
WNAI15,xd1427,Pentlatch,pent1242,Pentlatch Salish (J15),Pentlatch Salish,NA,,,49.5,125,49.5,-125,Original,
WNAI16,xd1072,Squamish,squa1248,Squamish Salish (J16),Squamish Salish,NA,,,49.7,123.3,49.7,-123.3,Original,
WNAI17,xd1086,Cowichan,cowi1241,Cowichan Salish (J17),"Hul'q'umi'num Mustimuhw, Cowichan Salish",NA,,,48.7,123.7,48.7,-123.7,Original,
WNAI18,xd1428,West Saanich,saan1246,West Sanetch Salish (J18),West Sanetch Salish,NA,,,48.4,123.5,48.4,-123.5,Original,"Note 8Feb2018: Glottocode updated from saan1244 to saan1246; Previously saan1244, updated to  saan1246 by @kirbykat 27 April 2017"
WNAI19,xd1087,Stó:lō,chil1281,Upper Stalo Salish (J19),"Stalo, Halkomelem, Fraser River Cowichan, Upper Stalo Salish",NA,,,49.4,121.5,49.4,-121.5,Original,
WNAI20,xd1441,Musqueam,musq1240,Lower Fraser Salish (J20),Lower Fraser Salish,NA,,,49.3,123.3,49.37,-123.24,Revised,
WNAI21,xd1074,Lummi,lumm1243,Lummi Salish (J21),"Lhaq'temish, Lummi Salish",NA,,,48.7,123.7,48.7,-123.7,Original,
WNAI22,xd1075,Klallam,clal1241,Klallam Salish (J22),"Clallum, Klallam Salish",NA,,,48.2,123.2,47.95,-123.55,Revised,
WNAI23,xd1079,Twana,twan1247,Twana Salish (J23),Twana Salish,NA,,,47.3,123,47.3,-123,Original,
WNAI24,xd1085,Quinault,quin1251,Quinault Salish (J24),Quinault Salish,NA,Quinault (NR17),http://ehrafworldcultures.yale.edu/collection?owc=NR17,47.4,124.1,47.4,-124.1,Original,
WNAI25,xd1076,Puyallup,sout2965,Puyallup Salish (J25),Puyallup Salish,NA,,,47.1,122.5,47.1,-122.5,Original,
WNAI26,xd1077,Quileute,quil1240,Quileute Chimakuan (J26),Quileute Chimakuan,NA,,,47.9,124.3,47.9,-124.3,Original,
WNAI27,xd1078,Lower Chinook,chin1286,Lower Chinook (J27),Chinook,NA,Chinookans of the Lower Columbia River (NR06),http://ehrafworldcultures.yale.edu/collection?owc=NR06,46.4,124,46.35,-124,Revised,
WNAI28,xd1080,Tillamook,till1254,Tillamook Salish (J28),"Nehalem, Tillamook Salish",NA,,,45.5,123.9,45.4,-123.82,Revised,
WNAI29,xd1088,Alsea,alse1251,Alsea (J29),,NA,,,44.7,124,44.7,-124,Original,
WNAI30,xd1089,Siuslaw,sius1254,Siuslaw (J30),,NA,,,44,124,44,-124,Original,
WNAI31,xd1081,Coos,coos1249,Coos (J31),,NA,,,43.3,124.2,43.3,-124.2,Original,
WNAI32,xd1092,Tututni,tutu1242,Tututni Athapaskan (J32),Tututni Athapaskan,NA,,,42.5,124.3,42.5,-124.3,Original,
WNAI33,xd1422,Chetco,tolo1259,Chetco Athapaskan (J33),Chetco Athapaskan,NA,,,42.1,124.2,42.1,-124.2,Original,"Note 8Feb2018: KK: changed back to tolo1259, as chet1237 was a bookkeeping language."
WNAI34,xd1423,Taltushtuntede,gali1261,Galice Creek Athapaskan (J34),"Taltushtuntude, Galice Creek or Tal-tuc-tun-te-de",NA,,,42.5,123.5,42.5,-123.5,Original,
WNAI35,xd1103,Tolowa,tolo1259,Tolowa Athapaskan (J35),Tolowa Athapaskan,NA,,,41.7,124.2,41.87,-123.92,Revised,
WNAI36,xd1101,Yurok,yuro1248,Yurok (J36),,NA,Yurok (NS31),http://ehrafworldcultures.yale.edu/collection?owc=NS31,41.5,124,41.5,-124,Original,
WNAI37,xd1095,Karuk,karo1304,Karok (J37),Karok,NA,,,41.4,123.5,41.4,-123.5,Original,
WNAI38,xd1096,Hupa,hupa1239,Hupa Athapaskan (J38),Hupa Athapaskan,NA,,,41,123.5,41,-123.5,Original,
WNAI39,xd1097,Wiyot,wiyo1248,Wiyot (J39),,NA,,,40.8,124,40.8,-124,Original,
WNAI40,xd1100,Sinkyone,wail1244,Sinkyone Athapaskan (J40),Sinkyone Athapaskan,NA,,,40.2,123.8,40.2,-123.8,Original,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
WNAI41,xd1099,Mattole-Bear River,matt1238,Mattole Athapaskan (J41),"Mattole, Bear River",NA,,,40.4,124.1,40.4,-124.1,Original,
WNAI42,xd1434,Nongatl,wail1244,Nongatl Athapaskan (J42),Nongatl Athapaskan,NA,,,40.4,123.6,40.4,-123.6,Original,"Note, Nongatl, Sinkyone and Lassik considered distinct dialects of wlk by some, but glottolog does not provide dialect identifiers"
WNAI43,xd1425,Cahto,kato1244,Kato Athapaskan (J43),"Kato, Kato Athapaskan",NA,,,39.7,123.3,39.7,-123.3,Original,
WNAI44,xd1093,Shasta (East),shas1239,East Shasta (J44),East Shasta,NA,,,41.5,122.3,41.5,-122.3,Original,
WNAI45,xd1093,Shasta (West),shas1239,West Shasta (J45),West Shasta,NA,,,41.8,122.8,41.8,-122.8,Original,
WNAI46,xd1094,Chimariko,chim1301,Chimariko (J46),,NA,,,40.7,123.2,40.7,-123.2,Original,
WNAI47,xd1112,Wintu (Trinity River),nucl1651,Trinity River Wintu (J47),"Northern Wintu, Trinity River Wintu",NA,,,40.6,123.2,40.6,-123.2,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
WNAI48,xd1112,Wintu (McCloud River),nucl1651,McCloud River Wintu (J48),"Northern Wintu, McCloud River Wintu",NA,,,40.8,122.4,40.8,-122.4,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
WNAI49,xd1112,Wintu (Sacramento River),nucl1651,Sacramento River Wintu (J49),"Northern Wintu, Sacramento River Wintu",NA,,,41.2,122.4,41.2,-122.4,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
WNAI50,xd1107,Nomlaki,noml1242,Nomlaki Wintun (J50),"Central Wintun, Nomlaki Wintun",NA,,,39.5,122.5,39.5,-122.5,Original,Changed 15Nov2016 to differentiate Nomlaki from Wintu
WNAI51,xd1108,Achumawi (East),achu1247,East Achomawi (J51),"Achomawi, East Achomawi",NA,,,41.4,120.5,41.4,-120.5,Original,
WNAI52,xd1108,Achumawi (West),achu1247,West Achomawi (J52),"Achomawi, West Achomawi",NA,,,41.2,121.4,41.2,-121.4,Original,
WNAI53,xd1135,Atsugewi,atsu1245,Atsugewei (J53),Atsugewei,NA,,,40.5,121.3,40.5,-121.3,Original,
WNAI54,xd1432,Valley Maidu,vall1252,Valley Maidu (J54),,NA,,,39.7,121.9,39.7,-121.9,Original,
WNAI55,xd1433,Foothill Maidu,nort2951,Foothill Maidu (J55),,NA,,,39.8,121.3,39.8,-121.3,Original,
WNAI56,xd1110,Maidu,nort2952,Mountain Maidu (J56),"Pujunan, Mountain Maidu",NA,,,40.2,121,40.2,-121,Original,
WNAI57,xd1111,Nisenan (Foothill),nise1244,Foothill Nisenan (J57),"Southern Maidu, Nisenan Southern Maidu, Foothill Nisenan",NA,,,39.4,121.1,39.4,-121.1,Original,
WNAI58,xd1111,Nisenan (Mountain),nise1244,Mountain Nisenan (J58),"Southern Maidu, Nisenan Southern Maidu, Mountain Nisenan",NA,,,39.3,120.9,39.3,-120.9,Original,
WNAI59,xd1111,Nisenan (Southern),nise1244,Southern Nisenan (J59),"Southern Maidu, Nisenan Southern Maidu, Southern Nisenan",NA,,,38.8,121,38.8,-121,Original,
WNAI60,xd1113,Coast Yuki,yuki1243,Coast Yuki (J60),,NA,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,39.4,123.6,39.4,-123.6,Original,
WNAI61,xd1138,Yuki,yuki1243,Yuki (J61),,NA,Yuki (NS30),http://ehrafworldcultures.yale.edu/collection?owc=NS30,39.8,123.2,39.8,-123.2,Original,
WNAI62,xd1109,Yana,yana1271,Yana (J62),Nozi,NA,,,40.5,122,40.5,-122,Original,
WNAI63,xd1115,Northern Pomo,nort2966,Northern Pomo (J63),,NA,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39.6,123.3,39.6,-123.3,Original,
WNAI64,xd1116,Eastern Pomo,east2545,Eastern Pomo (J64),"Clear Lake Pomo, Eastern Pomo",NA,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,39,123,39,-123,Original,
WNAI65,xd1117,Southern Pomo,sout2984,Southern Pomo (J65),Southern Pomo,NA,Pomo (NS18),http://ehrafworldcultures.yale.edu/collection?owc=NS18,38.5,123,38.5,-123,Original,
WNAI66,xd1119,Wappo,wapp1239,Wappo Yukian (J66),Wappo Yukian,NA,,,38.7,123,38.7,-123,Original,
WNAI67,xd1121,Patwin,patw1250,Patwin Wintun (J67),"Southern Wintun, Patwin Wintun",NA,,,38.7,122,38.7,-122,Original,
WNAI68,xd1420,Northern Miwok,nort2968,Northern Miwok (J68),,NA,,,38.5,121,38.5,-121,Original,
