id,related
WNAI72,EA: Monachi (Nc23) [Nc23]; Binford: Monache (B157) [B157]
WNAI73,EA: Yokuts (Nc3) [Nc3]; Binford: Yokuts (northern foothill) (B154) [B154]
WNAI70,
WNAI71,Binford: North Fork Mono Paiute (B219) [B219]
WNAI76,EA: Lake Yokuts (Nc24) [Nc24]; Binford: Lake Yokuts (B148) [B148]; SCCS: Yokuts (Lake) (SCCS136) [SCCS136]
WNAI77,EA: Lake Yokuts (Nc24) [Nc24]; Binford: Lake Yokuts (B148) [B148]; SCCS: Yokuts (Lake) (SCCS136) [SCCS136]
WNAI74,
WNAI75,EA: Wukchumni (Nc25) [Nc25]; Binford: Wukchumi (B151) [B151]
WNAI78,EA: Tubatulabal (Nc2) [Nc2]; Binford: Tubatulabal (B152) [B152]
WNAI79,EA: Kawaiisu (Nc27) [Nc27]; Binford: Kawaiisu Shoshoni (B199) [B199]
WNAI123,EA: White Knife (Nd43) [Nd43]; Binford: White Knife Shoshoni (B216) [B216]
WNAI122,EA: Wadaduka (Nd41) [Nd41]; Binford: Wadaduica (Ruby Valley Shoshoni) (B228) [B228]
WNAI121,EA: Spring Valley (Nd39) [Nd39]; Binford: Spring Valley Shoshoni (B215) [B215]; Binford: Antelope Valley Shoshoni (B224) [B224]
WNAI120,EA: Mahaguaduka (Nd35) [Nd35]; Binford: Reese River Shoshoni (B218) [B218]
WNAI127,EA: Hukundika (Nd5) [Nd5]; Binford: Hukundika Shoshoni (B213) [B213]
WNAI126,EA: Agaiduka (Nd46) [Nd46]; Binford: Salmon Eater Shoshoni (B207) [B207]
WNAI125,EA: Bohogue (Nd45) [Nd45]; Binford: Bohogue (Northern Shoshoni) (B229) [B229]
WNAI124,EA: Gosiute (Nd48) [Nd48]; Binford: Gosiute Shoshoni (B214) [B214]
WNAI129,EA: Uintah (Nd58) [Nd58]; Binford: Uintah Ute (B230) [B230]
WNAI128,EA: Wind River (Nd64) [Nd64]; Binford: Wind River Shoshoni (B227) [B227]
WNAI170,EA: Taos (Nh6) [Nh6]
WNAI3,EA: Haida (Nb1) [Nb1]; Binford: Haida (B290) [B290]; SCCS: Haida (SCCS131) [SCCS131]
WNAI61,EA: Yuki (Nc7) [Nc7]; Binford: Yuki (B171) [B171]
WNAI60,EA: Coast Yuki (Nc15) [Nc15]; Binford: Coast Yuki (B177) [B177]
WNAI63,EA: Northern Pomo (Nc17) [Nc17]; Binford: Nothern Pomo (B173) [B173]
WNAI62,EA: Yana (Nc11) [Nc11]; Binford: Northern Yana (B174) [B174]
WNAI65,EA: Southern Pomo (Nc19) [Nc19]
WNAI64,EA: Eastern Pomo (Nc18) [Nc18]; Binford: Eastern Pomo (B158) [B158]; Binford: Clear Lake Pomo (B159) [B159]; SCCS: Pomo (Eastern) (SCCS135) [SCCS135]
WNAI67,EA: Patwin (Nc22) [Nc22]; Binford: Patwin (B155) [B155]
WNAI66,EA: Wappo (Nc20) [Nc20]; Binford: Wappo (B172) [B172]
WNAI69,EA: Miwok (Nc5) [Nc5]; Binford: Sierra Miwok (B175) [B175]
WNAI68,
WNAI130,EA: Uncompahgre (Nd62) [Nd62]; Binford: Uncompahgre Ute (B234) [B234]
WNAI131,EA: Southern Ute (Nd2) [Nd2]; Binford: Southern Ute (Wimonantci Ute) (B222) [B222]
WNAI132,EA: Shivwits (Nd52) [Nd52]
WNAI133,EA: Kaibab (Nd53) [Nd53]; EA: Las Vegas (Nd55) [Nd55]; Binford: Kaibab Southern Paiute (B204) [B204]
WNAI134,EA: San Juan (Nd56) [Nd56]
WNAI135,EA: Chemehuevi (Nd54) [Nd54]
WNAI136,EA: Havasupai (Nd3) [Nd3]; SCCS: Havasupai (SCCS150) [SCCS150]
WNAI137,EA: Walapai (Nd65) [Nd65]; Binford: Walapai (B198) [B198]
WNAI138,EA: Yavapai (Nd66) [Nd66]; Binford: Yavapai (B196) [B196]
WNAI139,EA: Yavapai (Nd66) [Nd66]; Binford: Yavapai (B196) [B196]
WNAI58,EA: Nisenan (Nc13) [Nc13]; Binford: Nisenan (B163) [B163]
WNAI59,EA: Nisenan (Nc13) [Nc13]; Binford: Nisenan (B163) [B163]
WNAI54,
WNAI55,
WNAI56,EA: Maidu (Nc12) [Nc12]; Binford: Mountain Maidu (B185) [B185]
WNAI57,EA: Nisenan (Nc13) [Nc13]; Binford: Nisenan (B163) [B163]
WNAI50,EA: Nomlaki (Nc1) [Nc1]; Binford: Nomlaki (B153) [B153]
WNAI51,EA: Achomawi (Nc10) [Nc10]; Binford: Achomawi (B187) [B187]
WNAI52,EA: Achomawi (Nc10) [Nc10]; Binford: Achomawi (B187) [B187]
WNAI53,EA: Atsugewi (Nc4) [Nc4]; Binford: Atsugewi (B183) [B183]
WNAI109,
WNAI108,EA: Umatilla (Nd19) [Nd19]; Binford: Umatilla (B316) [B316]
WNAI105,EA: Flathead (Nd12) [Nd12]; Binford: Flathead (B330) [B330]
WNAI104,EA: Kalispel (Nd13) [Nd13]; Binford: Kalispel (B326) [B326]
WNAI107,EA: Nez Perce (Nd20) [Nd20]; Binford: Nez Perce (B324) [B324]
WNAI106,EA: Kutenai (Nd7) [Nd7]; Binford: Kutenai (B250) [B250]; SCCS: Kutenai (SCCS139) [SCCS139]
WNAI101,
WNAI100,EA: Sanpoil (Nd4) [Nd4]; Binford: Sanpoil (B323) [B323]
WNAI103,EA: Coeur d'Alene (Nd14) [Nd14]; Binford: Coeur d'Alene (B320) [B320]
WNAI102,EA: Wenatchi (Nd16) [Nd16]; Binford: Wenatchi (B317) [B317]
WNAI169,
WNAI168,EA: Santa Clara (Nh26) [Nh26]
WNAI167,EA: Tewa (Nh11) [Nh11]
WNAI166,
WNAI165,EA: Cochiti (Nh7) [Nh7]
WNAI164,EA: Santo Domingo (Nh27) [Nh27]
WNAI163,EA: Santa Ana (Nh12) [Nh12]
WNAI162,EA: Sia (Nh25) [Nh25]
WNAI161,EA: Acoma (Nh13) [Nh13]
WNAI160,EA: Zuni (Nh4) [Nh4]; SCCS: Zuni (SCCS149) [SCCS149]
WNAI49,EA: Wintu (Nc14) [Nc14]; Binford: Wintu (B160) [B160]
WNAI48,EA: Wintu (Nc14) [Nc14]; Binford: Wintu (B160) [B160]
WNAI43,
WNAI42,
WNAI41,EA: Mattole (Nb38) [Nb38]; Binford: Mattole (B169) [B169]
WNAI40,EA: Sinkyone (Nb39) [Nb39]; Binford: Sinkyone (B166) [B166]
WNAI47,EA: Wintu (Nc14) [Nc14]; Binford: Wintu (B160) [B160]
WNAI46,EA: Chimariko (Nb33) [Nb33]; Binford: Chimariko (B162) [B162]
WNAI45,EA: Shasta (Nb32) [Nb32]; Binford: Shasta (B179) [B179]
