id,category,title,definition,type,notes,source,changes
WNAI392,"Life cycle, Religion, Ritual",Girls' puberty rites or female initiations near puberty: Running,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Girls puberty: running
WNAI24,"Ecology: vegetation, Ecology: overview","Presence of Ponderosa or yellow pine, Pinus ponderosa",,Ordinal,"NOTE:  Case 149 has a score of three, WNAI only lists present and absent as values. This was changed to missing data. [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ponderosa/yellow pine
WNAI191,"Subsistence, Economy",External sources of agricultural products for food,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ext. sources of agriculture for food
WNAI353,"Politics, War, Community organization",Feuds within the local community or extralocal organization,"Feuds refer to conflicts between two families, lineages, clans, sibs, demes, or other kinship groups. They are often protracted series of reprisals that are not settled, mainly because there is no mechanism to settle them",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Feuds within or btwn local communities
WNAI119,Ecology: fish,"Presence of Dolly Varden char, Salvelinus malma",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dolly varden char
WNAI425,"Religion, Ritual",Agents who cause soul- or spirit-loss,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Illness: agents who cause spirit-soul loss
WNAI85,Ecology: aquatic mammals,"Presence of Pacific blackfish or pilot whale, Globicephala scammonii",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pacific blackfish/pilot whale
WNAI243,"Labor, Economy, Subsistence","Division of labor of fishing: all forms of animal extraction from water, including true fishing, capturing of sea-mammals, and shellfishing",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Labor in aquatic animal extraction
WNAI403,"Life cycle, Religion, Ritual",Removal of dying person or corpse from house,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: removal of dying/dead from house
WNAI283,"Economy, Property",Inheritance of women's chattels,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Inheritance of womens chattels
WNAI228,"Labor, Economy, Material culture",Production task-groups for pottery,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Task-groups make pottery
WNAI46,"Ecology: vegetation, Ecology: overview","Presence of Guaco, Cleome serrulata",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Guaco
WNAI166,"Technology, Material culture, Settlement",House-covering made of hide and thatch,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",House-covering made of hide and thatch
WNAI152,"Technology, Material culture, Subsistence, Ecology: vegetation, Economy",Maize cultivated at time of first contact with Europeans,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Maize cultivated at time of first contact
WNAI324,"Marriage, Kinship",Relationships between stipulated kinship units,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Relations among stipulated kin units
WNAI285,"Settlement, Community organization, Population",Compactness of settlement,"This variable assesses the degree to which the local pattern of settlement is dispersed or concentrated. For societies with seasonal differences in settlement patterns, raters were instructed to specify the pattern prevailing for the longest period of the year (and to indicate the alternate pattern in parentheses).",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Compactness of settlement
WNAI438,"Labor, Economy, Property",Status of slaves,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Status of slaves
WNAI435,Kinship,Kinship terms for nieces/nephews (male speaking),,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinship terms for nieces/nephews (male speaking)
WNAI177,"Technology, Material culture, Clothing",Breechclout,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Breechclout
WNAI325,"Marriage, Kinship, Property",Ownership of corporeal property by demonstrated kinship units,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Corporeal property by dem kin units
WNAI329,Kinship,Kinship terms for grandparents,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Kinship terms for grandparents
WNAI269,"Economy, Property","Ownership of key gathering sites, i.e., root grounds, berry bushes, seed grounds, cacti, wild trees, etc",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ownership of key gathering sites
WNAI201,"Subsistence, Economy, Ecology: aquatic mammals, Ecology: fish",Percentage of diet contributed by external aquatic animals,,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Percent diet from ext. aquatic animals
WNAI383,"Life cycle, Religion, Ritual","Cradles, B",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Birth: cradles, b"
WNAI385,"Life cycle, Religion, Ritual",Time of bestowal of name(s) on a person,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Name: time of bestowal
WNAI368,"Politics, War, Ceremony",Public ceremonies associated with warfare or raids,"These ceremonies can be performed before or after a conflict, but are performed in public and not merely for the participants.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Public ceremonies with warfare/raids
WNAI401,"Life cycle, Religion, Ritual",Dominant forms of corpse disposal,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: dominant form of corpse disposal
WNAI257,"Economy, Property",Ceremonialism or etiquette in intracommunity use of privately owned food resources and/or chattels,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Cer/etiq sharing local resource areas
WNAI207,"Subsistence, Economy, Ecology: vegetation","Local gathering--all food sources (nuts, seeds, berries, and roots)",,Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Local gathering
WNAI198,"Subsistence, Economy, Ecology: aquatic mammals, Ecology: fish",Predominant aquatic animal extracted,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Predominant aquatic animal extracted
WNAI404,"Life cycle, Religion, Ritual",Relation of death to house,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Death: relation of death to house
WNAI248,"Labor, Economy, Subsistence",Role of children and the aged in agriculture,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Roles of child/aged in agriculture
WNAI437,"Labor, Economy, Property",Motives for slaving,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Motives for slaving
WNAI30,"Ecology: vegetation, Ecology: overview","Presence of Mescal, Agave parryi",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Mescal - Agave parryi
WNAI284,"Settlement, Community organization, Population",Fixity of settlement,The community is defined as the maximal group of persons who normally reside together in face-to-face association.,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Fixity of settlement
WNAI178,"Technology, Material culture, Clothing",Skirt or kilt made of animal materials,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Skirt/kilt made of animal materials
WNAI122,Ecology: fish,"Presence of Chinook or king salmon, Oncorhynchus tshawytscha",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Chinook/king salmon
WNAI361,"Politics, War, Community organization",Incidence of raiding,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Incidence of raiding
WNAI60,"Ecology: vegetation, Ecology: overview","Presence of Western hazelnut or filbert, Corylus californica",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Western hazlenut-filbert
WNAI278,"Economy, Property",Inheritance of hunting sites,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Inheritance of hunting sites
WNAI300,"Marriage, Kinship",Special marriages other than cousin marriages,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Special marriages (non-lateral)
WNAI131,Ecology: fish,"Presence of Eulachon or candlefish, Thaleichthys pacificus",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Eulachon/candlefish
WNAI311,"Marriage, Kinship",Forms of descent probably observed,"This is an ideological variable which stresses how individuals recognize and assign kin. This is not the same as descent groups, household residence forms, etc. Descent can be stipulated or demonstrated. Where descent is stipulated, membership in the line establishes a putative kinship bond between any two members. Where descent is demonstrated, or reckoned, claim to membership in the unit is validated by an acceptable demonstration of genealogical connection with another member of the line; the ""demonstration"" need not coincide with the actual genealogical tree.",Categorical,"NOTE:  Case 1 had a value of 5. This was changed to missing data. [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Descent form
WNAI271,"Economy, Property","Ownership of key fishing and other aquatic animal extraction-sites (including all forms of animal extraction from water, tidewater flats, sections of river banks, or from weirs and impounds",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Ownership of key fishing sites
WNAI169,"Technology, Material culture, Settlement",House floor-level and entrance,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",House floor-level and entrance
WNAI81,Ecology: aquatic mammals,"Presence of Northern right-whale dolphin, Lissodelphus borealis",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Northern right-whale dolphin
WNAI366,"Politics, War, Community organization",Permanent military organizations,"These are defined as restricted sodalities or armies, conscripted or freely joined, with definite leadership.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Permanent military organizations
WNAI174,"Technology, Material culture, Clothing","Robes or capes made of wool, hair or feathers",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.","Robes/capes of wool, hair or feathers"
WNAI282,"Economy, Property",Inheritance of men's chattels,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Inheritance of mens chattels
WNAI63,"Ecology: vegetation, Ecology: overview","Presence of Tiger-lily, Lilium spp.",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Tiger-lily
WNAI247,"Labor, Economy, Subsistence",Division of labor of animal husbandry,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Labor in animal husbandry
WNAI48,"Ecology: vegetation, Ecology: overview","Presence of Common purslane, Portulaca oleracea",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Common purslane
WNAI415,"Religion, Ritual",Sex of shamans,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Shaman: sex of shamans
WNAI295,"Marriage, Kinship",Dominant form of polygamy,,Categorical,"NOTE:  Cases 32 and 45 had scores of 7. these were changed to missing data [World Cultures 10(2), fall 1999]","Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Dominant form of polygamy
WNAI118,Ecology: fish,"Presence of Cutthroat trout, Salmo clarkii, and Rainbow trout, S. gairdnerii",,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Cutthroat/rainbow trout
WNAI433,"Religion, Ritual",Charms or magical techniques to make persons receptive to love,,Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Love charms or magic
WNAI369,"Community organization, Ceremony",Major public ceremonies performed for people other than members of religious sodalities and the like,"A ""major"" ceremony draws all or most of the sponsoring group together for its performance, and is considered major in importance by the participants.",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Major public ceremonies
