soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
SCCS1,,,MonthlyMeanPrecipitation,17684.0747,,,,
SCCS2,,,MonthlyMeanPrecipitation,89005.31128,,,,
SCCS3,,,MonthlyMeanPrecipitation,134197.5831,,,,
SCCS4,,,MonthlyMeanPrecipitation,105957.4902,,,,
SCCS5,,,MonthlyMeanPrecipitation,122664.1291,,,,
SCCS6,,,MonthlyMeanPrecipitation,138862.8088,,,,
SCCS7,,,MonthlyMeanPrecipitation,126297.4775,,,,
SCCS8,,,MonthlyMeanPrecipitation,110479.4138,,,,
SCCS9,,,MonthlyMeanPrecipitation,86607.65894,,,,
SCCS10,,,MonthlyMeanPrecipitation,116820.557,,,,
SCCS11,,,MonthlyMeanPrecipitation,48525.62043,,,,
SCCS12,,,MonthlyMeanPrecipitation,136714.3062,,,,
SCCS13,,,MonthlyMeanPrecipitation,246503.2234,,,,
SCCS14,,,MonthlyMeanPrecipitation,196079.7625,,,,
SCCS15,,,MonthlyMeanPrecipitation,202490.323,,,,
SCCS16,,,MonthlyMeanPrecipitation,150153.6253,,,,
SCCS17,,,MonthlyMeanPrecipitation,138728.1945,,,,
SCCS18,,,MonthlyMeanPrecipitation,118937.9075,,,,
SCCS19,,,MonthlyMeanPrecipitation,116987.9963,,,,
SCCS20,,,MonthlyMeanPrecipitation,235053.3197,,,,
SCCS21,,,MonthlyMeanPrecipitation,20853.1957,,,,
SCCS22,,,MonthlyMeanPrecipitation,80352.35982,,,,
SCCS23,,,MonthlyMeanPrecipitation,87246.74111,,,,
SCCS24,,,MonthlyMeanPrecipitation,18839.6494,,,,
SCCS25,,,MonthlyMeanPrecipitation,35297.96298,,,,
SCCS26,,,MonthlyMeanPrecipitation,117300.8381,,,,
SCCS27,,,MonthlyMeanPrecipitation,77687.35904,,,,
SCCS28,,,MonthlyMeanPrecipitation,177589.0625,,,,
SCCS29,,,MonthlyMeanPrecipitation,41067.34678,,,,
SCCS30,,,MonthlyMeanPrecipitation,78687.64992,,,,
SCCS31,,,MonthlyMeanPrecipitation,103070.9455,,,,
SCCS32,,,MonthlyMeanPrecipitation,155669.8544,,,,
SCCS33,,,MonthlyMeanPrecipitation,122950.5082,,,,
SCCS34,,,MonthlyMeanPrecipitation,71294.36767,,,,
SCCS35,,,MonthlyMeanPrecipitation,71439.83592,,,,
