taxon,glottocode,xd_ids,soc_ids
Acatec,west2635,,
Achi,achi1256,,
Aguacatec,agua1252,,
Chicomuceltec,chic1271,,
Chol,chol1282,,
Chontal,taba1266,,
Chorti,chor1273,xd1319,
ClassicMaya,epig1241,,
ColonialCakchiquel,kaqc1270,,
ColonialYucatec,yuca1254,,
Huastec,huas1242,xd1297,
Itza,itza1241,,
Ixil,ixil1251,,
Jacaltec,popt1235,xd1315,
Kanjobal,qanj1241,,
Kekchi,kekc1242,,
Lacandon,laca1243,xd1310,
Mam,mamm1241,xd1324,
Mopan,mopa1243,,
Motozintlec,moch1257,,
Pocomam,poqo1253,xd1317,
Pocomchi,poqo1254,,
Quiche,kich1262,xd1313,
Sacapultec,saca1238,,
Sipacapa,sipa1247,,
Teco,tekt1235,,
Tzeltal,tzel1254,xd1318,
Tzotzil,tzot1259,,
Tzutujil,tzut1248,,
Uspantec,uspa1245,,
