Taxon,ISOCode,Glottocode
Afghan,pbu,nort2646
Albanian_C,aae,arbe1236
Albanian_G,aln,gheg1238
Albanian_K,aat,arva1236
Albanian_Top,als,tosk1239
Ancient_Greek,grc,anci1242
Armenian_List,hye,nucl1235
Armenian_Mod,hye,nucl1235
Assamese,asm,assa1263
Avestan,ave,aves1237
Baluchi,bgp,east2304
Bengali,ben,beng1280
Bihari,mai,mait1250
Breton_List,bre,bret1244
Breton_SE,bre,bret1244
Breton_ST,bre,bret1244
Bulgarian,bul,bulg1262
Byelorussian,bel,bela1254
Catalan,cat,stan1289
Classical_Armenian,xcl,clas1249
Cornish,cor,corn1251
Czech,ces,czec1258
Czech_E,ces,czec1258
Danish,dan,dani1285
Digor_Ossetic,oss,osse1243
Dutch_List,nld,dutc1256
English_ST,eng,stan1293
Faroese,fao,faro1244
Flemish,vls,vlaa1240
French,fra,stan1290
Frisian,frs,east2288
Friulian,fur,friu1240
German_ST,deu,stan1295
Gothic,got,goth1244
Greek_ML,ell,
Greek_Mod,ell,mode1248
Gujarati,guj,guja1252
Hindi,hin,hind1269
Hittite,hit,hitt1242
Icelandic_ST,isl,icel1247
Irish_A,gle,iris1253
Iron_Ossetic,oos,iron1242
Italian,ita,ital1282
Kashmiri,kas,kash1277
Kurdish,ckb,cent1972
Ladin,lld,ladi1250
Lahnda,pnb,west2386
Latin,lat,lati1261
Latvian,lav,latv1249
Lithuanian_ST,lit,lith1251
Lusatian_L,dsb,lowe1385
Lusatian_U,hsb,uppe1395
Luvian,hlu,hier1240
Luxembourgish,ltz,luxe1241
Lycian,imy,mily1238
Macedonian,mkd,mace1250
Marathi,mar,mara1378
Marwari,rwr,marw1260
Nepali_List,nep,east1436
Old_Church_Slavonic,chu,chur1257
Old_English,ang,olde1238
Old_High_German,goh,oldh1241
Old_Irish,sga,oldi1245
Old_Norse,non,oldn1244
Old_Persian,peo,oldp1254
Old_Prussian,prg,prus1238
Oriya,ori,nucl1284
Oscan,osc,osca1245
Persian_List,pes,west2369
Polish,pol,poli1260
Portuguese_ST,por,port1283
Provencal,oci,occi1239
Riksmal,nor,norw1258
Romani,rmn,balk1252
Romanian_List,ron,roma1327
Romansh,roh,roma1326
Russian,rus,russ1263
Sardinian_C,sro,camp1261
Sardinian_L,src,logu1236
Sardinian_N,NA,nuor1238
Scots_Gaelic,gla,scot1245
Serbocroatian,srp,serb1264
Sindhi,snd,sind1272
Singhalese,sin,sinh1246
Slovak,slk,slov1269
Slovenian,slv,slov1268
Spanish,spa,stan1288
Swedish_List,swe,swed1254
Swedish_Up,swe,swed1254
Swedish_VL,swe,swed1254
Tadzik,tgk,taji1245
Tocharian_A,xto,tokh1242
Tocharian_B,txb,tokh1243
Ukrainian,ukr,ukra1253
Umbrian,xum,umbr1253
Urdu,urd,urdu1245
Vedic_Sanskrit,san,sans1269
Vlach,rup,arom1237
Wakhi,wbl,wakh1245
Walloon,wln,wall1255
Waziri,pst,waci1238
Welsh_C,cym,wels1247
Welsh_N,cym,wels1247
