Name_on_tree_tip,xd_id,soc_id,fixed_order
Afghan,"xd598, xd601","Ea11, Ea2",1
Albanian_C,,,
Albanian_G,xd528,"Ce1, SCCS48",0
Albanian_K,,,
Albanian_Top,,,
Ancient_Greek,,,
Armenian_List,,,
Armenian_Mod,xd575,"Ci10, SCCS56",0
Assamese,,,
Avestan,,,
Baluchi,xd597,Ea10,0
Bengali,xd664,Ef2,0
Bihari,xd662,Ef10,0
Breton_List,,,
Breton_SE,,,
Breton_ST,,,
Bulgarian,xd569,Ch5,0
Byelorussian,xd570,Ch6,0
Catalan,,,
Classical_Armenian,,,
Cornish,,,
Czech,xd567,Ch3,0
Czech_E,,,
Danish,,,
Digor_Ossetic,xd582,Ci6,0
Dutch_List,xd541,Cg1,0
English_ST,"xd536, xd538","Cf1, Cf3",1
Faroese,,,
Flemish,,,
French,xd540,Cf5,0
Frisian,,,
Friulian,,,
German_ST,,,
Gothic,,,
Greek_ML,,,
Greek_Mod,xd534,Ce7,0
Gujarati,xd671,Ef9,0
Hindi,,,
Hittite,,,
Icelandic_ST,xd542,Cg2,0
Irish_A,xd543,"Cg3, SCCS51",0
Iron_Ossetic,,,
Italian,,,
Kashmiri,xd670,Ef8,0
Kurdish,xd576,"Ci11, SCCS57",0
Ladin,,,
Lahnda,,,
Latin,xd530,"Ce3, SCCS49",0
Latvian,xd559,ch21,0
Lithuanian_ST,xd573,Ch9,0
Lusatian_L,,,
Lusatian_U,,,
Luvian,,,
Luxembourgish,,,
Lycian,,,
Macedonian,,,
Marathi,,,
Marwari,,,
Nepali_List,,,
Old_Church_Slavonic,,,
Old_English,,,
Old_High_German,,,
Old_Irish,,,
Old_Norse,,,
Old_Persian,,,
Old_Prussian,,,
Oriya,xd683,Eg7,0
Oscan,,,
Persian_List,"xd608, xd605","Ea9, Ea6, SCCS58",1
Polish,,,
Portuguese_ST,"xd529, xd539","Ce2, Cf4",1
Provencal,,,
Riksmal,,,
Romani,,,
Romanian_List,"xd547, xd563","Ch10, ch25",1
Romansh,,,
Russian,xd548,"Ch11, SCCS54",0
Sardinian_C,,,
Sardinian_L,,,
Sardinian_N,,,
Scots_Gaelic,,,
Serbocroatian,xd546,Ch1,0
Sindhi,xd596,Ea1,0
Singhalese,xd692,Eh6,0
Slovak,,,
Slovenian,,,
Spanish,xd533,Ce6,0
Swedish_List,,,
Swedish_Up,,,
Swedish_VL,,,
Tadzik,,,
Tocharian_A,,,
Tocharian_B,,,
Ukrainian,"xd571, xd557","Ch7, Ch2",1
Umbrian,,,
Urdu,,,
Vedic_Sanskrit,xd665,Ef3,0
Vlach,,,
Wakhi,,,
Walloon,xd545,Cg5,0
Waziri,,,
Welsh_C,,,
Welsh_N,,,
