taxon,glottocode,xd_ids,soc_ids
Adnyamathanha,adny1235,,
AghuTharrnggala,aghu1254,,
Alngith,alng1239,,
Alyawarr,alya1239,xd964,B117
Aminungo,east2716,,
Antekerrepenhe,ante1238,,
Arabana,arab1267,,
Awabakal,awab1243,,
Ayapathu,ayab1239,xd945,B93
Badimaya,badi1246,,
Badjiri,badj1244,,
Balkurra,,,
Bandjalang,band1339,xd966,B119
Barna,east2716,,
BarrowPoint,barr1247,,
Batyala,east2717,,
Bayali,baya1257,,
Belyando,east2716,,
Bibbulman,,,
BidyaraGungabula,gung1248,,
Bigambal,biga1237,,
Bilinarra,ngar1235,,
Bindal,bind1237,,
Bindjali,warr1257,,
Biri,biri1256,,
Birrpayi,sydn1236,,
Bularnu,bula1255,,
Bunganditj,bung1264,,
CentralAnmatyerr,anma1239,,
ChampionBay,nhan1238,,
Colac,cola1237,,
Coobenpil,yaga1256,,
Coonambella,wulg1239,,
CoopersCreek,,,
Dalla,east2717,,
Darkinyung,awab1243,,
DawsonRiver,waka1274,,
Dhangu,dhan1270,,
Dharawal,thur1254,,
Dharawala,bidy1243,,
Dharuk,sydn1236,,
Dharumbal,dhar1248,,
Dhayyi,djar1245,,
Dhudhuroa,dhud1236,,
Dhurga,dhur1239,,
Dhuwal,dhuw1249,xd777,"Id2, B88"
Dhuwala,mada1281,,
Diyari,dier1241,xd779,"Id4, B121"
Djabugay,dyaa1242,,
Djambarrpuyngu,marr1258,,
Djapu,djap1238,,
Djinang,djin1253,,
Durubul,yaga1256,xd961,B114
Duungidjawu,duun1241,xd962,B115
Dyirbal,dyir1250,"xd954, xd957","B105, B110"
Eucla,mirn1243,,
FlindersIsland,flin1247,xd947,B98
Gamilaraay,gami1243,,
Ganggalida,gang1267,,
Gangulu,gang1268,,
Garlali,kala1380,,
Githabul,gida1240,,
GlenInnes,yuga1244,,
Golpa,yann1237,,
GoorengGooreng,gure1255,,
GraniteRange,,,
Gudang,guda1244,,
Gudjal,gudj1237,,
GuguBadhun,gugu1253,,
Gugumini,gugu1257,,
Gumatj,guma1253,,
Gumbaynggir,kumb1268,,
Gunditjmara,west2443,,
Gundungurra,nort2760,,
Gunggari,kung1258,,
Gunya,guny1241,,
Gupapuyngu,gupa1247,,
Gurindji,guri1247,,
GuuguYimidhirr,gugu1255,,
Guwa,guwa1242,,
Guwamu,guwa1243,,
Guwar,guwa1244,,
Guyani,guya1249,,
HOPKINSRIVER,warr1257,,
Hawkesbury,,,
Ikarranggal,gurd1238,,
Injinoo,urad1238,,
IrwinMurchison,badi1246,,
Iyora,sydn1236,,
Jaitmatang,sout2771,,
Janday,,,
Jaru,jaru1254,xd956,B108
JaruMcC,jaru1254,,
Jiwarli,djiw1241,,
Jiwarliny,walm1241,,
KKY,kala1377,xd937,B82
KLY,kala1377,,
Kaanju,kanj1260,,
Kalaamaya,kala1401,,
Kalkatungu,kalk1246,,
Kamilaroi,gami1243,,
Kaniyang,kani1276,,
Karajarri,kara1476,xd953,B104
KarajarriNW,kara1476,,
Kariyarra,kari1304,xd780,"Id5, B106"
Karree,awab1243,,
Kartujarra,kart1247,,
Karuwali,karr1236,xd963,B116
Katthang,wori1245,,
Kaurna,kaur1267,xd974,B129
Kayardild,kaya1319,xd952,B103
Kaytetye,kayt1238,,
Keerraywoorroong,warr1257,,
Keramin,nort2756,,
KingsCreekandtheGeorginaRiver,,,
KokNar,kokn1236,,
KokoBera,gugu1254,,
KuguNganhcara,wikn1246,,
Kukatj,guga1239,,
Kukatja,kuka1246,,
KukuWura,gugu1256,,
KukuYalanji,kuku1273,xd946,B96
Kungadutyi,ngur1261,,
Kungkari,kuun1236,,
Kunjen,kunj1245,,
Kurnu,darl1243,xd973,B128
Kurrama,kurr1243,,
Kurtjar,gurd1238,,
KuukThaayorre,thay1249,,
KuukuYau,kuuk1238,,
LakeHindmarsh,,,
Lardil,lard1243,xd951,B102
Linngithigh,leni1238,,
LowerBurdekin,,,
Mabuiag,kala1377,,
Malgana,malg1242,,
Malngin,maln1239,,
Malyangapa,yarl1236,,
MangalaMcK,mang1383,,
MangalaNW,mang1383,,
Manjiljarra,mart1256,xd958,B111
Margany,marg1253,,
MartuWangka,many1256,xd958,B111
Martuthunira,mart1255,,
MaryRiverandBunyaBunyaCountry,east2717,,
MathiMathi,west2443,,
MayiKulan,mayk1239,,
MayiKutuna,maya1280,,
MayiThakurti,mayk1239,,
MayiYapi,mayk1239,,
Mbabaram,mbab1239,,
Mbakwithi,angu1242,,
Mbiywom,mbiy1238,,
Minjungbal,band1339,,
Minkin,mink1237,,
Mirniny,mirn1243,,
Mithaka,mith1236,,
Moneroo,sout2771,,
MountFreelingDiyari,dier1241,,
Mpalityan,mpal1237,,
Mudburra,mudb1240,,
MudburraMcC,mudb1240,,
MuliarraTribe,waja1257,,
Muruwari,muru1266,,
Narrungga,naru1238,,
NatalDowns,east2716,,
NedsCornerStation,uppe1415,,
NerangCreek,yugu1249,,
NewNorciaandLeschenaultBay,nyun1247,,
Ngaanyatjarra,ngaa1240,xd965,B118
Ngadjumaya,ngad1258,xd976,B132
Ngadjuri,ngad1257,,
Ngaiawang,nort2756,,
Ngamini,ngam1265,,
Ngardily,nort2753,,
Ngarigu,sout2771,,
Ngarinyman,ngar1235,,
Ngarla,ngar1296,,
Ngarluma,ngar1287,,
Ngarrindjeri,narr1259,xd975,B131
Ngawun,ngaw1240,,
NggoiMwoi,band1339,,
Nggoth,ngko1236,,
Ngiyambaa,wang1291,xd784,"Id9, B130"
Nguburindi,ngub1238,,
Ngunawal,nort2760,,
Nhanta,nhan1238,,
Nhirrpi,yand1252,,
NorthernMangarla,mang1383,,
NorthernNyangumarta,nyan1301,,
Ntrangith,tyan1235,,
Nukunu,nugu1241,,
Nyamal,nyam1271,,
Nyangumarta,nyan1301,,
Nyawaygi,nyaw1247,,
Nyungar,nyun1247,,
Olkola,oyka1239,,
Paakantyi,darl1243,xd973,B128
Pakanh,paka1251,,
Pallanganmiddang,pall1243,,
Panyjima,pany1241,,
Parnkala,bang1339,,
Payungu,bayu1240,,
Piangil,west2443,,
Pinjarra,nyun1247,,
PintupiLuritja,pint1250,xd960,B113
Pirriya,pirr1240,,
Pitjantjatjara,pitj1243,xd967,B120
PittaPitta,pitt1246,,
PortMacQuarie,sydn1236,,
Punthamara,punt1240,,
Purduna,burd1238,,
PytuReach,narr1259,,
Rirratjingu,rirr1238,,
Ritharrngu,rita1239,,
RoxburghDowns-LowerGeorgina,,,
SouthernWalmajarri,walm1241,,
SteeleGDG,wori1245,,
THETATIARRACOUNTRY,west2443,,
Tagalag,taga1279,,
Tambo,bidy1243,,
Tenterfield,yuga1244,,
Thalanyji,dhal1245,,
Thanggatti,dyan1250,,
Tharrgari,dhar1247,,
Thaynakwith,urad1238,,
Thurrawal,thur1254,,
Tjapwurrung,west2443,,
TweedRiverandPointDangar,band1339,,
Umpila,umpi1239,xd945,B93
Umpithamu,umbi1243,,
UpperBrisbaneRiver,east2717,,
UpperParoo,,,
Uradhi,wuth1237,,
UwOykangand,oyka1239,,
Wadikali,yarl1236,,
Wadjabangayi,bidy1243,,
Wailwan,wayi1238,,
Wajarri,waja1257,,
WakaWaka,waka1274,xd961,B114
Wakaya,waga1260,,
Walangama,wala1263,,
WalmajarriBilliluna,walm1241,,
WalmajarriHR,walm1241,,
WalmajarriNW,walm1241,,
Wanamara,,,
Wangkajunga,wang1288,,
Wangkangurru,wang1290,,
Wangkatja,wang1300,,
Wangkayutyuru,wang1289,,
Wangkumara,wong1246,,
WangkumaraMcDWur,wong1246,,
Wardandi,nyun1247,,
Wargamay,warr1255,,
Warlmanpa,warl1255,,
