Name_on_tree_tip,ISO,glottologID,xd_id,other_xd_id,N_xdid,AdminComment,full_matches1,soc_id_matches1,full_matches2,soc_id_matches2,full_matches3,soc_id_matches3,,FINAL_xd_id,FINAL_soc_id,Fixed_order
Adnyamathanha,,,,,,,,,,,,,,,,
AghuTharrnggala,,,,,,,,,,,,,,,,
Alyawarr,aly,alya1239,xd964,,1,,Alyawara (B117),B117,,,,,,xd964,B117,0
Aminungo,,,,,,,,,,,,,,,,
Antekerrepenhe,,,,,,,,,,,,,,,,
Arabana,,,,,,,,,,,,,,,,
Awabakal,,,,,,,,,,,,,,,,
Badimaya,,,,,,,,,,,,,,,,
Badjiri,,,,,,,,,,,,,,,,
Bandjalang,bdy,band1339,xd966,,1,,Badjalang (B119),B119,,,,,,xd966,B119,0
Batyala,,,,,,,,,,,,,,,,
BidyaraGungabula,,,,,,,,,,,,,,,,
Bilinarra,,,,,,,,,,,,,,,,
Bindal,,,,,,,,,,,,,,,,
Biri,,,,,,,,,,,,,,,,
Birrpayi,,,,,,,,,,,,,,,,
Bularnu,,,,,,,,,,,,,,,,
Bunganditj,,,,,,,,,,,,,,,,
Colac,,,,,,,,,,,,,,,,
Darkinyung,,,,,,,,,,,,,,,,
DawsonRiver,,,,,,,,,,,,,,,,
Dhangu,,,,,,,,,,,,,,,,
Dharawal,,,,,,,,,,,,,,,,
Dharuk,,,,,,,,,,,,,,,,
Dharumbal,,,,,,,,,,,,,,,,
Dhayyi,,,,,,,,,,,,,,,,
Dhudhuroa,,,,,,,,,,,,,,,,
Dhurga,,,,,,,,,,,,,,,,
Dhuwal,duj,dhuw1249,xd777,,1,,"Murngin (Id2), Murngin (B88)","Id2, B88",,,,,,xd777,"Id2, B88",0
Dhuwala,,,,,,,,,,,,,,,,
Diyari,dif,dier1241,xd779,,1,,"Dieri (Id4), Dieri (B121)","Id4, B121",,,,,,xd779,"Id4, B121",0
Djabugay,,,,,,,,,,,,,,,,
Djambarrpuyngu,,,,,,,,,,,,,,,,
Djapu,,,,,,,,,,,,,,,,
Djinang,,,,,,,,,,,,,,,,
Durubul,x01,tempxx01,xd961,,1,,Undanbi (B114),B114,,,,,,xd961,B114,0
Duungidjawu,x02,tempxx02,xd962,,1,,Jinibarra (B115),B115,,,,,,xd962,B115,0
Dyirbal,dbl,dyir1250,xd954,xd957,2,,Mamu (B105),B105,Ngatjan (B110),B110,,,,"xd954, xd957","B105, B110",0
FlindersIsland,fln,flin1247,xd947,,1,,Walmbaria (B98),B98,,,,,,xd947,B98,0
Gairi,,,,,,,,,,,,,,,,
Gamilaraay,,,,,,,,,,,,,,,,
Gangulu,,,,,,,,,,,,,,,,
Garlali,,,,,,,,,,,,,,,,
GoorengGooreng,,,,,,,,,,,,,,,,
Gudjal,,,,,,,,,,,,,,,,
Gumatj,,,,,,,,,,,,,,,,
Gumbaynggir,,,,,,,,,,,,,,,,
Gunditjmara,,,,,,,,,,,,,,,,
Gundungurra,,,,,,,,,,,,,,,,
Gunggari,,,,,,,,,,,,,,,,
Gunya,,,,,,,,,,,,,,,,
Gupapuyngu,,,,,,,,,,,,,,,,
Gurindji,,,,,,,,,,,,,,,,
GuuguYimidhirr,,,,,,,,,,,,,,,,
Guwa,,,,,,,,,,,,,,,,
Guyani,,,,,,,,,,,,,,,,
Iyora,,,,,,,,,,,,,,,,
Jaru,ddj,jaru1254,xd956,,1,,Djaru (B108),B108,,,,,,xd956,B108,0
JaruMcC,,,,,,,,,,,,,,,,
Jiwarli,,,,,,,,,,,,,,,,
