Taxon,ISOCode,GlottoCode
Adnyamathanha,,
AghuTharrnggala,,
Alyawarr,aly,alya1239
Aminungo,,
Antekerrepenhe,,
Arabana,,
Awabakal,,
Badimaya,,
Badjiri,,
Bandjalang,bdy,band1339
Batyala,,
BidyaraGungabula,,
Bilinarra,,
Bindal,,
Biri,,
Birrpayi,,
Bularnu,,
Bunganditj,,
Colac,,
Darkinyung,,
DawsonRiver,,
Dhangu,,
Dharawal,,
Dharuk,,
Dharumbal,,
Dhayyi,,
Dhudhuroa,,
Dhurga,,
Dhuwal,duj,dhuw1249
Dhuwala,,
Diyari,dif,dier1241
Djabugay,,
Djambarrpuyngu,,
Djapu,,
Djinang,,
Durubul,x01,tempxx01
Duungidjawu,x02,tempxx02
Dyirbal,dbl,dyir1250
FlindersIsland,fln,flin1247
Gairi,,
Gamilaraay,,
Gangulu,,
Garlali,,
GoorengGooreng,,
Gudjal,,
Gumatj,,
Gumbaynggir,,
Gunditjmara,,
Gundungurra,,
Gunggari,,
Gunya,,
Gupapuyngu,,
Gurindji,,
GuuguYimidhirr,,
Guwa,,
Guyani,,
Iyora,,
Jaru,ddj,jaru1254
JaruMcC,,
Jiwarli,,
Jiwarliny,,
Kaanju,,
Kalkatungu,,
Kamilaroi,,
Karajarri,gbd,kara1476
KarajarriNW,,
Kariyarra,vka,kari1304
Karree,,
Kartujarra,,
Karuwali,rxw,karr1236
Katthang,,
Kaurna,zku,kaur1267
Keramin,,
KuguNganhcara,,
Kukatj,,
Kukatja,,
KukuYalanji,gvn,kuku1273
KukuYalanjiCurr,,
Kungadutyi,,
Kungkari,,
Kurnu,,
Kurrama,,
Kurtjar,,
KuukuYau,,
Linngithigh,,
Mabuiag,,
Malgana,,
Malngin,,
Malyangapa,,
MangalaMcK,,
MangalaNW,,
Margany,,
MartuWangka,mpj,many1256
MaryRiverandBunyaBunyaCountry,,
MathiMathi,,
MayiKulan,,
MayiKutuna,,
MayiThakurti,,
MayiYapi,,
Mbabaram,,
Mbakwithi,,
Minjungbal,,
Mirniny,,
Mithaka,,
MountFreelingDiyari,,
Mudburra,,
MudburraMcC,,
Muruwari,,
Narrungga,,
Ngaanyatjarra,ntj,ngaa1240
Ngadjumaya,nju,ngad1258
Ngadjuri,,
Ngaiawang,,
Ngamini,,
Ngardily,,
Ngarigu,,
Ngarinyman,,
Ngarla,,
Ngarluma,,
Ngarrindjeri,nay,narr1259
Ngawun,,
NggoiMwoi,,
Ngiyambaa,wyb,wang1291
Ngunawal,,
Nhanta,,
Nhirrpi,,
NorthernMangarla,,
NorthernNyangumarta,,
Nyamal,,
Nyangumarta,,
Nyungar,,
Paakantyi,drl,darl1243
Pakanh,,
Pallanganmiddang,,
Panyjima,,
Parnkala,,
Payungu,,
Piangil,,
PintupiLuritja,piu,pint1250
Pirriya,,
Pitjantjatjara,pjt,nucl1331
PittaPitta,,
Rirratjingu,,
Ritharrngu,,
SouthernWalmajarri,,
Thalanyji,,
Tharrgari,,
Umpila,ump,ump1239
Wadjabangayi,,
Wajarri,,
Wakaya,,
WalmajarriBilliluna,,
WalmajarriHR,,
WalmajarriNW,,
Wangkangurru,,
Wangkatja,,
Wangkayutyuru,,
Wangkumara,,
WangkumaraMcDWur,,
Wardandi,,
Wargamay,,
Warlmanpa,,
Warlpiri,wbp,warl1254
Warluwarra,,
Warnman,wbt,wanm1242
Warriyangga,,
Warumungu,,
Warungu,wrg,waru1264
Wathawurrung,,
WathiWathi,,
Watjuk,,
WesternArrarnta,,
WikMungkan,wim,wikm1247
Wiradjuri,,
Wirangu,wgu,wira1265
Woiwurrung,x04,woiw1237
Wulguru,,
YabulaYabula,,
Yagara,,
Yalarnnga,,
Yandruwandha,,
Yannhangu,,
Yanyuwa,,
Yarluyandi,,
Yawarrawarrka,,
Yidiny,,
Yindjibarndi,,
Yindjilandji,,
Yiningay,,
Yirandali,,
YortaYorta,,
Yugambeh,,
Yulparija,,
Yuwaalaraay,kld,gami1243
