taxon,glottocode,xd_ids,soc_ids
Adnyamathanha,adny1235,,
AghuTharrnggala,aghu1254,,
Alyawarr,alya1239,xd964,B117
Aminungo,,,
Antekerrepenhe,,,
Arabana,arab1267,,
Awabakal,,,
Badimaya,badi1246,,
Badjiri,,,
Bandjalang,band1339,xd966,B119
Batyala,,,
BidyaraGungabula,gung1248,,
Bilinarra,,,
Bindal,,,
Biri,biri1256,,
Birrpayi,,,
Bularnu,,,
Bunganditj,,,
Colac,,,
Darkinyung,,,
DawsonRiver,,,
Dhangu,,,
Dharawal,,,
Dharuk,,,
Dharumbal,,,
Dhayyi,,,
Dhudhuroa,,,
Dhurga,,,
Dhuwal,dhuw1249,xd777,"Id2, B88"
Dhuwala,,,
Diyari,dier1241,xd779,"Id4, B121"
Djabugay,,,
Djambarrpuyngu,,,
Djapu,,,
Djinang,,,
Durubul,yaga1256,xd961,B114
Duungidjawu,duun1241,xd962,B115
Dyirbal,dyir1250,"xd954, xd957","B105, B110"
FlindersIsland,flin1247,xd947,B98
Gairi,,,
Gamilaraay,,,
Gangulu,,,
Garlali,,,
GoorengGooreng,,,
Gudjal,,,
Gumatj,,,
Gumbaynggir,,,
Gunditjmara,,,
Gundungurra,,,
Gunggari,,,
Gunya,,,
Gupapuyngu,,,
Gurindji,,,
GuuguYimidhirr,,,
Guwa,,,
Guyani,,,
Iyora,,,
Jaru,jaru1254,xd956,B108
JaruMcC,,,
Jiwarli,,,
Jiwarliny,,,
Kaanju,,,
Kalkatungu,,,
Kamilaroi,,,
Karajarri,kara1476,xd953,B104
KarajarriNW,,,
Kariyarra,kari1304,xd780,"Id5, B106"
Karree,,,
Kartujarra,,,
Karuwali,karr1236,xd963,B116
Katthang,,,
Kaurna,kaur1267,xd974,B129
Keramin,,,
KuguNganhcara,,,
Kukatj,,,
Kukatja,,,
KukuYalanji,kuku1273,xd946,B96
KukuYalanjiCurr,,,
Kungadutyi,,,
Kungkari,,,
Kurnu,,,
Kurrama,,,
Kurtjar,,,
KuukuYau,,,
Linngithigh,,,
Mabuiag,,,
Malgana,,,
Malngin,,,
Malyangapa,,,
MangalaMcK,,,
MangalaNW,,,
Margany,,,
MartuWangka,many1256,xd958,B111
MaryRiverandBunyaBunyaCountry,,,
MathiMathi,,,
MayiKulan,,,
MayiKutuna,,,
MayiThakurti,,,
MayiYapi,,,
Mbabaram,,,
Mbakwithi,,,
Minjungbal,,,
Mirniny,,,
Mithaka,,,
MountFreelingDiyari,,,
Mudburra,,,
MudburraMcC,,,
Muruwari,,,
Narrungga,,,
Ngaanyatjarra,ngaa1240,xd965,B118
Ngadjumaya,ngad1258,xd976,B132
Ngadjuri,,,
Ngaiawang,,,
Ngamini,,,
Ngardily,,,
Ngarigu,,,
Ngarinyman,,,
Ngarla,,,
Ngarluma,,,
Ngarrindjeri,narr1259,xd975,B131
Ngawun,,,
NggoiMwoi,,,
Ngiyambaa,wang1291,xd784,"Id9, B130"
Ngunawal,,,
Nhanta,,,
Nhirrpi,,,
NorthernMangarla,,,
NorthernNyangumarta,,,
Nyamal,,,
Nyangumarta,,,
Nyungar,,,
Paakantyi,darl1243,xd973,B128
Pakanh,,,
Pallanganmiddang,,,
Panyjima,,,
Parnkala,,,
Payungu,,,
Piangil,,,
PintupiLuritja,pint1250,xd960,B113
Pirriya,,,
Pitjantjatjara,pitj1243,xd967,B120
PittaPitta,,,
Rirratjingu,,,
Ritharrngu,,,
SouthernWalmajarri,,,
Thalanyji,,,
Tharrgari,,,
Umpila,umpi1239,xd945,B93
Wadjabangayi,,,
Wajarri,,,
Wakaya,,,
WalmajarriBilliluna,,,
WalmajarriHR,,,
WalmajarriNW,,,
Wangkangurru,,,
Wangkatja,,,
Wangkayutyuru,,,
Wangkumara,,,
WangkumaraMcDWur,,,
Wardandi,,,
Wargamay,,,
Warlmanpa,,,
Warlpiri,warl1254,xd773,"Id10, B109"
Warluwarra,,,
Warnman,wanm1242,xd959,B112
Warriyangga,,,
Warumungu,,,
Warungu,waru1264,xd955,B107
Wathawurrung,,,
WathiWathi,,,
Watjuk,,,
WesternArrarnta,,,
WikMungkan,wikm1247,xd781,"Id6, B90"
Wiradjuri,,,
Wirangu,wira1265,xd972,B127
Woiwurrung,woiw1237,xd978,B134
Wulguru,,,
YabulaYabula,,,
Yagara,,,
Yalarnnga,,,
Yandruwandha,,,
Yannhangu,,,
Yanyuwa,,,
Yarluyandi,,,
Yawarrawarrka,,,
Yidiny,,,
Yindjibarndi,,,
Yindjilandji,,,
Yiningay,,,
Yirandali,,,
YortaYorta,,,
Yugambeh,,,
Yulparija,,,
Yuwaalaraay,yuwa1242,xd970,B125
