taxon,glottocode,xd_ids,soc_ids
Bar,waim1255,,
Barasano,bara1380,,
Bas,,,
Des,,,
Desano,desa1247,,
Kar,,,
Karapan,cara1272,,
Kor,,,
Koreguahe,kore1283,,
Kub,,xd1369,"Se5, SCCS167"
Kubeo,cube1242,,
Kue,,,
Kueretu,cure1236,,
Mai,,,
Maihiki,orej1242,,
Mak,,,
Makuna,macu1260,,
Pir,,,
Piratapuyo,pira1254,,
Pis,,,
Pisamira,pisa1245,,
Proto-Tucanoan,tuca1253,,
Sek,,,
Sekoya,seco1241,,
Sio,,,
Siona,sion1247,,
Sir,,,
Siriano,siri1274,,
Tan,,,
Tanimuka,tani1257,,
Tat,,,
Tatuyo,tatu1247,,
Tuk,,xd1365,Se12
Tukano,tuca1252,,
Tuy,,,
Tuyuka,tuyu1244,,
Wan,,,
Wanano,guan1269,,
Yup,,,
Yupua,jupu1235,,
Yur,,,
Yuruti,yuru1263,,
