taxon,glottocode,xd_ids,soc_ids
Tiv,tivv1240,xd320,"Ah3, SCCS16"
Ama,,,
Amb,ambe1247,,
Asu,iyiv1238,,
Bang,bato1244,,
Mif,,,
Band,ghom1247,,
Dsc,yemb1246,,
Fef1,fefe1239,xd171,Ae5
Baf,fefe1239,xd171,Ae5
A_Mbo,mboc1235,,
A_Dua,dual1243,xd130,Ae12
A_Pon,pong1251,,
A_Lim,mali1280,,
A_Bub,bube1242,xd165,Ae44
A_Noh,bata1285,xd168,Ae47
A_Tan,bata1285,xd168,Ae47
A_Be1,beng1282,,
A_Bas,basa1284,,
A_Kok,bako1249,xd175,Ae53
A_Nen,tune1261,xd173,"Ae51, SCCS15"
A_Lef,lefa1242,,
A_Maj,lefa1242,,
A_Tum,lefa1242,,
A_Kpa,kpaa1242,,
A_Rop,,,
A_Nja,tibe1274,,
A_Tuk,tuki1240,,
A_Gun,nugu1242,,
A_Mma,mmaa1238,,
A_Kal,yang1293,,
A_Eto,eton1253,,
A_Ndo,,,
A_Ewo,ewon1239,,
A_Yao,ewon1239,,
A_Yas,,,
A_Bul,bulu1251,,
A_Fan,fang1246,xd149,Ae3
A_Mak,make1249,,
A_Ntu,ntum1238,,
A_Kw1,ukhw1241,,
A_Kw2,,,
A_Koo,koon1245,,
A_Bek,bekw1242,,
A_Mpy,mpie1238,,
A_Bom,bomw1238,xd164,Ae43
A_San,,,
A_Pom,pomo1271,,
A_Ka2,kako1242,,
B_Pon,mpon1255,,
B_Ga2,galw1238,,
B_Him,simb1254,,
B_Nko,nkom1238,,
B_Sha,osam1235,,
B_Sek,seki1238,,
B_Ung,ngom1270,,
B_Pov,bubi1250,,
B_Mbh,mban1268,,
B_Wu1,wumb1242,,
B_Mah,maho1248,,
B_Sa1,sake1247,,
B_Ko3,kota1274,,
B_Nd1,ndas1238,xd162,Ae41
B_Tsg,tsog1243,xd40,Ac16
B_Pin,pinj1243,,
B_Bon,,,
B_Vu2,vumb1238,,
B_Bwa,,,
B_Shi,sira1266,,
B_Sg2,sang1333,,
B_Pu1,punu1239,,
B_Lu1,lumb1249,,
