Taxon,ISOCode,GlottoCode
Cahuilla,chl,cahu1264
Chemehuevi,ute,chem1251
Comanche,com,coma1245
Cupeno,cup,cupe1243
Gabrielino,xgf,tong1329
Hopi,hop,hopi1249
Huichol,hch,huic1243
Kawaiisu,xaw,kawa1283
Luiseno,lui,luis1253
Mono,mnr,mono1275
NorthernPaiute,pao,nort2954
NorthernTepehuan,ntp,nort2959
Opata,opt,opat1246
Pannamint,par,pana1305
PapagoPima,ood,toho1245
Serrano,ser,serr1255
Shoshoni_GosiuteDialect,shh,gosi1242
SouthernPaiute,ute,sout2969
SouthernUte,ute,utee1244
Tubatulabel,tub,tuba1278
Yaqui,yaq,yaqu1251
Cora,crn,elna1235
Guarijio,var,huar1255
Mayo,mfy,mayo1264
Pipil,ppl,pipi1250
SoutheasternTepehuan,stp,sout2977
ClassicalAztec,nci,clas1250
Tubar,tbu,tuba1279
Aztec_Tetelcingo,nhg,tete1251
Aztec_Zacapoaxtla,ncj,high1278
Eudeve,opt,eude1234
PimadeOnavas,pia,pima1248
Tarahumara,tar,cent2131
Kitanemuk,ser,serr1255
