taxon,glottocode,xd_ids,soc_ids
alba1270,alba1270,,"Na33, B332"
arap1274,arap1274,,"B246, Ne9"
bloo1239,bloo1239,,"B259, Ne13"
cent2136,cent2136,,"Na35, B337"
chey1247,chey1247,,"B245, Ne5"
east2542,east2542,,"Na39, B327"
gros1243,gros1243,,"B253, Ne1"
kick1244,kick1244,,Nf15
lacs1238,lacs1238,,"Na34, B334"
meno1252,meno1252,,Nf9
mesk1242,mesk1242,,Nf7
miam1252,miam1252,,Nf4
mikm1235,mikm1235,,"B329, Na41"
mont1268,mont1268,,"B342, Na32"
nask1242,nask1242,,"B365, Na5"
otta1242,otta1242,,Na40
peno1243,peno1243,,"Ng13, Ng4"
pieg1239,pieg1239,,"B256, B255, Ne12, Ne18"
plai1258,plai1258,,"B258, Ne19"
pota1247,pota1247,,Na42
rain1239,rain1239,,"Na37, B331"
redl1238,redl1238,,Na36
seve1241,seve1241,,"B341, B335"
shaw1249,shaw1249,,Nf13
sout2978,sout2978,,"B338, B360, B340, Na31, Na45"
swam1239,swam1239,,"Na7, B353"
uppe1274,uppe1274,,"Na38, B328"
west1510,west1510,,"B254, Ne14"
wini1244,wini1244,,B339
wiyo1248,wiyo1248,,"B184, Nb36"
yuro1248,yuro1248,,"B186, Nb4"
