taxon,glottocode,xd_ids,soc_ids
beav1236,beav1236,,"B344, Na29"
carr1249,carr1249,,"Na19, B349"
chil1280,chil1280,,"B348, Nd8"
chip1261,chip1261,,"B355, Na30"
dege1248,dege1248,,"Na8, B357"
dogr1252,dogr1252,,"B361, Na15"
eyak1241,eyak1241,,"B295, Nb5"
gwic1235,gwic1235,,"B356, Na20"
hann1241,hann1241,,B351
holi1241,holi1241,,B364
hupa1239,hupa1239,,"B180, Nb35"
jica1244,jica1244,,Nh16
kask1239,kask1239,,"Na4, B346"
kiow1264,kiow1264,,"B244, Ne2"
koyu1237,koyu1237,,B354
lipa1241,lipa1241,,"Nh24, B240"
matt1238,matt1238,,"Nb38, B169"
mesc1238,mesc1238,,"B242, Nh15, Nh1"
nava1243,nava1243,,Nh3
nort2941,nort2941,,B363
nort2942,nort2942,,"Na16, B358, B352, B350"
sars1236,sars1236,,"B260, Ne7"
seka1250,seka1250,,"B343, Na28"
sout2958,sout2958,,"B336, Nb10"
sout2959,sout2959,,"Na17, B345"
tahl1239,tahl1239,,"B347, Na27"
tana1289,tana1289,,"B362, Na26"
tlin1245,tlin1245,,"B292, Nb22"
tolo1259,tolo1259,,"B178, Nb6"
tutu1242,tutu1242,,"B181, Nb31"
uppe1437,uppe1437,,"Na1, B359"
wail1244,wail1244,,"Nb37, Nb39, B167, B166"
west2615,west2615,,Nh17
