taxon,glottocode,xd_ids,soc_ids
abro1238,abro1238,xd217,Af38
abur1243,abur1243,xd220,Af40
adam1253,adam1253,xd471,Cb21
adan1247,adan1247,xd214,Af35
afik1238,afik1238,xd201,Af23
aguu1242,aguu1242,xd215,Af36
akye1239,akye1239,xd189,Af12
alla1248,alla1248,xd224,Af44
amba1263,amba1263,xd127,Ae1
anyi1245,anyi1245,xd218,Af39
asan1239,asan1239,xd208,"Af3, SCCS19"
ashe1269,ashe1269,xd210,Af31
asut1235,asut1235,xd105,Ad36
atsa1241,atsa1241,xd299,Ah10
atti1239,atti1239,xd221,Af41
avik1243,avik1243,xd225,Af45
bafi1243,bafi1243,xd169,Ae48
bafu1246,bafu1246,xd185,Ae9
bain1259,bain1259,xd251,Ag16
baju1245,baju1245,xd76,Ad1
baka1272,baka1272,xd926,B63
bako1249,bako1249,xd175,Ae53
bakw1243,bakw1243,xd226,Af46
bala1301,bala1301,xd250,Ag15
bali1274,bali1274,xd153,Ae33
bamb1264,bamb1264,xd923,B60
bamu1253,bamu1253,xd172,Ae50
band1349,band1349,xd177,Ae55
baou1238,baou1238,xd243,Af9
bara1361,bara1361,xd356,Ai27
basa1282,basa1282,"xd300, xd301","Ah11, Ah12"
bass1258,bass1258,xd257,Ag21
bata1285,bata1285,xd168,Ae47
beka1240,beka1240,xd924,B61
bena1260,bena1260,xd324,Ah33
bena1262,bena1262,xd78,Ad11
bend1258,bend1258,xd85,Ad18
bera1259,bera1259,xd154,Ae34
bero1242,bero1242,xd306,Ah17
biaf1240,biaf1240,xd252,Ag17
bidy1244,bidy1244,xd253,Ag18
bila1255,bila1255,"xd150, xd5","Aa5, Ae30, B65, SCCS13"
bini1246,bini1246,xd202,Af24
binj1250,binj1250,xd159,Ae39
bita1251,bita1251,xd317,Ah27
boky1238,boky1238,xd194,Af17
bomv1238,bomv1238,xd24,Ab21b
bomw1238,bomw1238,xd164,Ae43
boro1274,boro1274,"xd474, xd485","Cb24, Cb8, SCCS25"
boun1243,boun1243,xd272,Ag35
bube1242,bube1242,xd165,Ae44
budu1250,budu1250,xd151,Ae31
budz1238,budz1238,xd157,Ae37
buku1249,buku1249,xd111,Ad41
buli1254,buli1254,xd275,Ag38
bush1247,bush1247,xd66,Ac4
buyu1239,buyu1239,xd57,Ac31
bwaa1238,bwaa1238,xd183,Ae7
came1252,came1252,xd331,Ah4
ceba1235,ceba1235,xd269,Ag32
chew1246,chew1246,xd34,Ac10
