taxon,glottocode,xd_ids,soc_ids
coco1261,coco1261,xd1269,"Nh19, WNAI143"
hava1249,hava1249,xd1163,"Nd3, SCCS150, WNAI136"
kili1268,kili1268,xd1134,"B146, Nc34, WNAI91"
kumi1248,kumi1248,"xd1137, xd1271, xd1437","B147, Nc6, Nh20, WNAI142, WNAI88, WNAI89, WNAI90"
mari1440,mari1440,xd1281,"Nh5, WNAI144"
moha1256,moha1256,xd1272,"Nh21, WNAI140"
paip1241,paip1241,xd1426,WNAI92
quec1382,quec1382,xd1273,"Nh22, WNAI141"
wala1270,wala1270,xd1202,"B198, Nd65, WNAI137"
yava1252,yava1252,"xd1203, xd1204, xd1274","B196, Nd66, Nd67, Nh23, WNAI138, WNAI139"
